Category,C3N.01799,C3L.01890,C3N.00572,C3N.02423,C3N.02729,C3L.00263,C3N.01410,C3N.00578,C3N.02587,C3L.00893,C3N.01488,C3N.01413,C3N.01030,C3N.02588,C3N.00552,C3L.01889,C3N.00169,C3L.00422,C3L.00083,C3N.00551,C3N.02089,C3L.01682,C3N.01016,C3N.00580,C3N.02000,C3N.01489,C3N.00737,C3N.01405,C3N.01416,C3N.02149,C3N.02424,C3L.00279,C3L.00095,C3N.02572,C3N.00559,C3L.02345,C3L.00093,C3L.00510,C3L.00913,C3L.00412,C3N.01415,C3N.00549,C3N.02433,C3N.01021,C3N.00203,C3L.01330,C3N.00574,C3N.01071,C3N.00550,C3N.00167,C3L.00001,C3L.01632,C3N.02155,C3N.00217,C3N.02002,C3N.02145,C3N.02586,C3L.02219,C3N.00180,C3N.00704,C3N.02158,C3N.02421,C3N.00556,C3N.01072,C3L.00094,C3L.00144,C3N.00223,C3L.01924,C3N.00433,C3L.01683,C3N.00293,C3N.02380,C3L.00009,C3N.00546,C3N.01414,C3N.02087,C3L.00140,C3N.02529,C3L.00368,C3N.02067,C3L.00080,C3N.00547,C3N.01023,C3N.01024,C3L.00973,C3L.02348,C3L.02508,C3N.00560,C3L.00604,C3N.00199,C3N.00579,C3N.02582,C3L.02350,C3N.00738,C3N.00959,C3N.02003,C3N.02379,C3N.00175,C3N.01823,C3L.02549,C3L.02365
ECM Glycoproteins,-3.696537234042553,-1.8171894736842105,-1.7548477777777778,-2.2804282828282827,-1.0892875,-1.6444527272727272,-1.8617903846153847,-1.602602564102564,-2.738151063829787,-1.9349428571428573,-2.5060573033707865,-1.8238234567901235,-1.8359697674418605,-1.4100355263157895,-1.7086915662650604,-3.6301451612903226,-0.30644590163934426,-2.096494366197183,1.6373253731343285,-1.2501530864197532,-2.145453086419753,-2.205382191780822,0.8355059701492538,-1.7108102564102563,-1.576625,0.8465826086956522,-1.0559151515151515,-0.9801650793650794,-1.5482151898734178,-0.7713820512820513,-2.663175,0.7181037037037038,0.06874528301886797,-1.4837472527472528,-3.208179775280899,-0.3289151162790698,-2.4573964285714287,-3.937982474226804,-0.3969578947368421,0.8668489361702129,-2.6430236842105264,0.2726382352941177,-1.999242105263158,1.0779876923076923,-3.1023837209302325,-2.461873529411765,0.9548081632653062,-2.3055288461538463,-2.0324640625,-2.8288847222222224,-3.4030942528735633,-0.06785540540540538,-1.1882857142857142,-2.0448246753246755,-3.38895,-2.133455421686747,-2.5437871794871794,-2.3859098591549297,-0.9114375,-1.714621212121212,-3.498746987951807,-1.463390361445783,-1.5098313953488371,-1.2362136363636365,-1.9310857142857143,0.3449257575757576,-2.5574658536585364,-0.9453432835820895,-1.7338894736842105,-2.0387043956043955,-0.999022807017544,-4.261088636363636,2.5549591549295774,-3.1325574257425743,-1.0079232142857142,-2.898348,-3.5909894736842105,-3.3759865853658537,-2.3621576923076923,-1.9028634146341463,-2.6378271739130437,-0.45745901639344266,-1.2669825000000001,-2.775396511627907,-1.973203896103896,-3.049160975609756,3.6752027027027028,-1.990831506849315,-3.4444446601941747,-0.9568031746031745,-2.584831818181818,-3.6792617647058825,-2.971498795180723,-0.07046904761904763,-2.6022162790697676,-1.92053875,-2.360208988764045,0.8000087719298246,-2.143113483146067,-2.264510810810811,-1.5584635135135134
Collagens,-3.8854307692307692,-1.3225117647058824,-2.8733476190476193,-0.61437,-0.6190633333333333,-2.1929814814814814,-1.3385923076923076,0.5168739130434782,-4.194065,-3.56781,0.02752500000000004,-2.81126875,-1.3372586206896553,-2.1926666666666668,-1.5016346153846156,-3.4339142857142857,1.18056875,-3.985365,2.519025,-0.3154863636363636,-3.334569230769231,-2.0324166666666668,0.17574285714285712,-0.6203157894736842,-2.652575,1.79895,-0.08537999999999997,-1.80566,-0.8310333333333333,0.4699095238095237,-2.362970588235294,0.6578080000000001,2.1639823529411766,-2.5840761904761904,-2.9595176470588234,-0.5133083333333335,-3.462439130434783,-4.197496666666667,0.9744222222222222,-0.6869111111111111,-1.9676529411764705,0.27690588235294117,-2.6541363636363635,-0.19746111111111114,-3.2218470588235295,-2.934225,2.9304294117647056,-2.0200636363636364,-3.805190909090909,-3.447077777777778,0.45993999999999996,-0.3941239999999999,-1.5897875,-1.4464466666666667,-3.766368,-1.47562,-2.8902761904761904,-1.515625,0.3971470588235293,0.30003636363636355,-2.619254166666667,-0.7535571428571429,1.2431636363636365,-0.06537142857142865,-1.0165086956521738,-0.35449285714285705,-2.8398210526315792,-0.5574071428571428,-2.0883523809523807,-1.5711705882352942,-2.5016133333333332,-4.638488461538461,2.4868941176470587,-2.9950190476190475,-1.63976,-2.47065,-3.225968181818182,-3.155217391304348,-3.198178947368421,-3.2761,-2.5820391304347825,0.1829166666666666,1.1616,-3.137057894736842,-2.9801349999999998,-3.098158823529412,5.704495454545454,-1.7403727272727272,-3.602076923076923,-0.7748368421052633,-1.8391458333333333,-4.203673076923077,-3.8703307692307694,-0.9415166666666666,-2.3284142857142855,-2.5306333333333333,-2.227055,-0.09082857142857137,-1.158826086956522,-0.3811111111111111,-0.7288882352941176
Proteoglycans,-4.319147368421053,-2.2111799999999997,-3.00463125,-3.23545,-2.81536875,-5.352476923076923,-3.5305733333333333,-3.1397,-4.141735714285714,-1.657181818181818,-3.8829599999999997,-3.4524684210526315,-3.5902823529411765,-2.16578125,-1.7534666666666667,-5.335664705882353,-2.8810000000000002,-4.2069230769230765,1.4780125000000002,-2.55028,-4.5675,-4.8454,-0.389575,-2.525878571428571,-1.18256,-0.9213727272727272,-2.7619214285714286,-3.6182166666666666,-3.282766666666667,-1.9938714285714285,-4.62236875,-2.2580416666666667,-0.11063125000000001,-1.85534375,-3.6172470588235295,-0.3537071428571429,-5.026927777777778,-5.433238888888889,-2.4345333333333334,-0.8048785714285714,-3.288076923076923,-0.9115416666666667,-3.5014933333333333,-1.52285,-4.108847058823529,-4.0904,-2.343035714285714,-3.07205,-2.6376,-3.384475,-2.3210777777777776,-1.83271875,-3.297246153846154,-1.9354000000000002,-3.867023076923077,-2.8298352941176472,-2.4367631578947364,-3.3919615384615383,-1.9414785714285714,-1.4929357142857143,-5.257533333333333,-2.12775,-3.042,-2.830135714285714,-2.4010499999999997,-1.1852153846153848,-2.714429411764706,-1.8963533333333333,-3.3857777777777778,-1.1675529411764705,-2.325209090909091,-4.638583333333333,-1.4933625000000001,-4.637794117647059,-2.811753846153846,-3.61510625,-4.2285,-3.7363263157894737,-3.9537642857142856,-4.954626666666667,-4.02158,-2.5583,-3.54926,-4.368792857142857,-4.074694117647058,-4.413413333333334,-0.49192857142857155,-2.92598125,-5.072042105263158,-0.7993933333333334,-3.63121875,-5.943666666666666,-3.7706769230769233,2.2413499999999997,-2.07958,-2.1861571428571427,-4.877275,-2.116461538461538,-3.704466666666667,-4.3843,-2.9269666666666665
ECM-affiliated Proteins,-4.097510714285714,-1.039125,0.27507894736842103,-3.7209653846153845,-2.2545130434782608,0.07464242424242427,-1.9659470588235295,-0.7826842105263159,-2.6151133333333334,-3.5113694444444445,-2.51326875,-2.6542560975609755,-2.7177384615384614,-1.8721340425531914,-1.90692,-3.0304925,-1.8163454545454545,-0.42786363636363633,-1.6905933333333334,-3.196735294117647,-2.6873073170731705,-2.529693181818182,-1.4471666666666667,-2.99564,-3.377275,-2.726678947368421,-2.2282609756097562,-2.8504071428571427,-1.7820224489795917,-1.245802564102564,-3.4540023809523808,-2.1376631578947367,-2.8888605263157894,-2.58282,-2.862012195121951,-2.046512,-4.288122222222222,-3.69074,-0.25474375000000005,-0.29606875000000005,-3.0143825,-1.233792105263158,-3.2700354166666665,-1.3720999999999999,-3.5359116279069767,-3.3205416666666667,0.6393466666666667,-3.3303864864864865,-1.300132258064516,-2.5437970588235292,-3.7372057142857145,-0.9192250000000001,-1.5443709677419355,-2.6213977272727274,-3.1372735849056603,-2.042231914893617,-1.8179761904761906,-1.2621833333333332,-1.8097071428571427,-2.325115625,-2.73058125,-2.6656644444444444,-3.9628864864864863,-2.824596,-2.1609641509433963,-2.2174533333333333,-3.632156603773585,-2.4714837837837837,-2.855177142857143,-2.957778431372549,-3.4709315789473685,-3.477738,0.2912758620689655,-3.6783113636363636,-2.3415875,-2.439448717948718,-1.8119395833333334,-3.915929268292683,-3.5756239130434784,-3.0393410256410256,-2.240664864864865,-1.7750475,-1.9575825,-1.7452658536585366,-3.165865,-3.0438666666666667,2.6412944444444446,-3.33604375,-4.14485,-1.899436111111111,-3.191505,-4.221716981132076,-2.180222448979592,-0.8650048780487805,-0.9926745098039216,-2.239025641025641,-2.8614886363636365,-2.4293,-2.3837926829268294,-1.378439024390244,-2.157841463414634
ECM Regulators,-3.9412148936170213,-2.465025,-1.3816025641025642,-1.200775652173913,-1.7255268292682926,-1.3424904109589042,-1.503686075949367,-0.35749078947368423,-2.2339955555555555,-3.031098630136986,-1.9657333333333333,-2.557229069767442,-1.2635271739130436,0.38365058823529413,-0.7579721518987341,-3.48146511627907,1.084517543859649,1.009,3.4528345454545453,-0.8890802631578948,-1.332027380952381,-3.051058108108108,0.20232931034482757,-1.2794829268292682,-1.509259493670886,-0.10702682926829266,-1.5392432835820895,-1.358264864864865,-1.489947311827957,-0.4652810810810811,-1.7131733333333332,-0.8386872549019607,-1.71974776119403,-0.648919540229885,-2.500739534883721,-0.32199999999999995,-1.5849173469387756,-3.856471287128713,-0.4307243902439024,1.1610186046511628,-2.4629080459770116,-0.05521044776119403,-3.4244421686746986,0.5668307692307692,-3.44884,-2.75916125,0.9534079365079365,-3.3116028985507246,-1.407193220338983,-1.7870385714285715,-3.8538543209876543,-0.5944545454545455,0.022954838709677426,-2.4736617283950615,-3.2511493975903614,-1.4823404494382022,-2.042863888888889,-1.3105929577464788,-0.9509386363636363,-1.3050246753246753,-3.3965045454545453,-1.6425742574257427,-0.8331510638297872,-1.4882578947368421,-1.58415375,-0.37026097560975607,-2.515196703296703,-0.9691932432432433,-0.33184787234042556,-1.610907843137255,-2.6794094594594595,-3.4506089743589743,3.1534739726027397,-2.4708774193548386,-2.5559225352112676,-1.8067961165048545,-2.4704635294117647,-2.3507811764705884,-2.1126026666666666,-1.60985,-3.2400838709677418,-1.48532625,-1.3553756756756756,-0.5432558823529412,-0.5892967391304348,-2.8745077777777777,2.0562901408450704,-1.8914222222222221,-3.4255969387755103,-0.7030547945205479,-1.8434935064935065,-3.836338043478261,-2.750465277777778,-1.6956204081632653,-2.1560835616438356,-0.5203012048192771,-0.30297386363636364,-0.3879770491803279,-1.6447189873417722,-1.35064,-2.372440506329114
Secreted Factors,-3.5457254545454546,-2.285968292682927,-2.440987804878049,-1.3506053571428571,-1.3632604166666666,-0.5993444444444443,-1.0804682926829268,-0.3505893617021276,-3.5667636363636364,-1.068515909090909,-2.153372,-2.7364347826086957,-0.6953055555555555,-0.022674999999999987,-1.8129285714285714,-3.232225925925926,0.65824,-0.6543571428571429,0.26250810810810815,-0.7454214285714286,-1.4030615384615386,-2.20235,-0.40330769230769226,-1.150695238095238,-1.458674418604651,-0.3010775,-0.9246318181818182,-1.1913636363636364,-1.9366139534883722,0.12061136363636363,-2.403122448979592,0.29952599999999996,0.016117142857142764,-0.48192340425531915,-3.1336851063829787,0.2704196078431373,-1.2526212765957447,-3.334141818181818,0.6531146341463415,-0.594927027027027,-3.0834585365853657,-0.2773595238095238,-2.1748125,0.4957173913043478,-3.6214673076923076,-1.711329411764706,1.8185114285714286,-1.8971184210526315,-1.10914375,-1.5243242424242425,-3.286736170212766,-0.7951469387755103,-0.6962153846153846,-2.8795348837209302,-2.0758978260869565,-0.8574269841269841,-2.4964309523809525,-1.988351219512195,-0.8806608695652174,-0.6593595238095238,-3.0576125,-1.8548338709677419,-1.9027363636363637,-3.389342,-2.022639024390244,-2.009006818181818,-3.056658823529412,-1.12405,-2.9904636363636365,-3.142108474576271,-1.0964948717948717,-2.8100755555555557,1.8229632653061225,-2.3463203703703703,-0.8784461538461538,-2.3267462962962964,-1.3603543859649123,-2.2704176470588235,-2.025586363636364,-1.8881285714285714,-1.5640829268292684,-0.7715025641025641,-0.48203,-1.5374895833333333,-1.1024058823529412,-3.5261871794871795,1.8161311111111111,-1.627709375,-3.3150857142857144,-1.7452833333333333,-3.2557545454545456,-3.6900137931034482,-2.8795644444444446,-1.4432449999999999,-1.0417605263157894,-0.900625641025641,-1.9097813953488372,-0.7990625,-1.6785700000000001,-1.1186166666666666,-1.3702625
