name	prize	Category
ATF4	3.8835999999999995	TF
CDX2	2.5019	TF
CEBPA	3.036766666666667	TF
CEBPB	3.70445	TF
CEBPD	4.3309999999999995	TF
CEBPZ	5.586650000000001	TF
CIITA	3.4087	TF
CREB1	3.74766	TF
DNMT3A	3.1044	TF
E2F1	3.0299400000000003	TF
ELK1	2.7830500000000002	TF
EP300	2.81668	TF
ERG	2.8635	TF
ESR1	4.1013	TF
ETS1	4.258322222222223	TF
ETS2	3.49035	TF
ETV4	4.11995	TF
FLI1	3.4711000000000003	TF
FOS	3.5862499999999997	TF
FOSL1	3.8462	TF
FOXO1	4.423	TF
FOXQ1	3.6430499999999997	TF
GATA4	2.3558000000000003	TF
GLI2	4.852	TF
HDAC1	3.14602	TF
HDAC2	3.544025	TF
HDAC9	5.426533333333333	TF
HIF1A	4.0181249999999995	TF
HOXA10	4.23135	TF
ING4	3.122933333333333	TF
JUN	3.48533	TF
LEF1	3.02875	TF
NFIC	3.48565	TF
NFKB1	3.685888888888889	TF
NFKBIA	3.9741999999999997	TF
NR3C1	3.6820666666666666	TF
NR4A2	4.1423	TF
POU5F1	3.3705	TF
PPARG	3.3725666666666667	TF
RARA	4.0987	TF
RELA	3.6578684210526315	TF
RUNX1	2.2159666666666666	TF
RUNX2	4.108025	TF
SIRT1	2.6064	TF
SMAD3	3.2717	TF
SOX9	3.0879333333333334	TF
SP1	3.38395	TF
SP3	4.00038	TF
STAT3	4.264109090909091	TF
STAT6	3.8259	TF
TCF4	3.3027	TF
TFAP2A	3.7321333333333335	TF
TFCP2	5.19935	TF
TP53	3.0497000000000005	TF
TWIST1	3.6098500000000002	TF
TWIST2	3.43875	TF
VDR	3.032325	TF
WT1	2.4720333333333335	TF
YBX1	5.0986	TF
YY1	3.11245	TF
ZFP36	2.66735	TF
ZNF148	2.89815	TF
IL16	5.776	Secreted Factors
SPP1	5.9684	ECM Glycoproteins
FGA	2.2323	ECM Glycoproteins
ANXA2	4.4553	ECM-affiliated Proteins
MFAP1	4.0723	ECM Glycoproteins
SPARCL1	2.6227	ECM Glycoproteins
ANXA1	2.3967	ECM-affiliated Proteins
VWA5A	2.7834	ECM Glycoproteins
MXRA5	4.9942	ECM Glycoproteins
ANXA5	2.5963000000000003	ECM-affiliated Proteins
FNDC1	6.2925	ECM Glycoproteins
ADAM9	2.3989	ECM Regulators
LTBP1	2.3548	ECM Glycoproteins
ADAM17	3.125	ECM Regulators
VCAN	3.5654	Proteoglycans
HSPG2	3.1980000000000004	Proteoglycans
IGFBP3	4.2117000000000004	ECM Glycoproteins
S100A9	2.0138	Secreted Factors
ELFN2	2.2427	ECM-affiliated Proteins
THBS2	3.6736	ECM Glycoproteins
MUC1	3.9462	ECM-affiliated Proteins
IGFBP5	3.214	ECM Glycoproteins
GREM1	3.0652	ECM-affiliated Proteins
S100A8	7.3019	Secreted Factors
COL3A1	2.6485	Collagens
SERPINB6	2.5145	ECM Regulators
ADAMTSL3	2.7378	ECM Regulators
SPOCK2	2.7092	Proteoglycans
VWA1	2.2393	ECM Glycoproteins
LAMB1	2.1326	ECM Glycoproteins
POSTN	2.3411	ECM Glycoproteins
S100A6	8.9626	Secreted Factors
ITIH2	2.0803	ECM Regulators
LAMB2	2.1078	ECM Glycoproteins
F9	2.174	ECM Regulators
S100A4	3.1056999999999997	Secreted Factors
SDC3	2.603	ECM-affiliated Proteins
CRELD2	3.0609	ECM Glycoproteins
CHRDL1	2.4404	Secreted Factors
S100P	2.7043	Secreted Factors
PAPPA	2.0551	ECM Regulators
ANGPTL2	2.0686	Secreted Factors
SDC2	2.6588	ECM-affiliated Proteins
FNDC7	2.1767	ECM Glycoproteins
ANXA7	4.1581	ECM-affiliated Proteins
PRG3	3.2169	Proteoglycans
IL9	3.4381000000000004	Secreted Factors
