name	prize	Category
ATF4	4.5363	TF
CEBPA	2.52032	TF
CEBPB	3.01755	TF
CEBPZ	6.5973500000000005	TF
CIITA	3.507966666666666	TF
CREB1	2.490275	TF
CREM	2.72	TF
EGR1	2.847625	TF
EGR2	2.62765	TF
EP300	3.4696	TF
ERG	2.3525	TF
ETS1	3.561072727272727	TF
ETS2	2.874325	TF
ETV4	3.7078499999999996	TF
FLI1	3.9084499999999998	TF
FOS	3.0175166666666664	TF
FOSL1	3.73765	TF
FOXQ1	4.0403	TF
HDAC1	2.95622	TF
HDAC2	2.5352749999999995	TF
HDAC5	2.602733333333333	TF
HIF1A	3.94548	TF
HOXB7	3.42035	TF
ING4	2.2522333333333333	TF
JUN	2.661625	TF
JUNB	2.7721	TF
JUND	3.1116666666666664	TF
MYB	4.032749999999999	TF
NFIC	3.1065666666666663	TF
NFIL3	2.45675	TF
NFKB1	2.883168	TF
NFKBIA	3.55545	TF
NR3C1	3.6817333333333333	TF
POU2F1	2.3699000000000003	TF
POU5F1	2.1127000000000002	TF
PPARG	3.0499666666666667	TF
RARA	2.669833333333333	TF
REL	2.3582	TF
RELA	2.883168	TF
RUNX1	3.3344250000000004	TF
SATB1	2.5646000000000004	TF
SIRT1	2.972533333333333	TF
SMAD3	2.05755	TF
SNAI2	3.6959	TF
SOX2	2.4575	TF
SOX9	2.0534499999999998	TF
SP1	2.984256	TF
SP3	2.9610125	TF
SPI1	2.383825	TF
STAT1	2.785325	TF
STAT3	3.5763454545454545	TF
STAT6	3.585133333333333	TF
TBX21	2.29745	TF
TFAP2A	3.6833666666666662	TF
TP53	3.22564	TF
VDR	3.2592000000000003	TF
WT1	3.1189	TF
YY1	2.7462199999999997	TF
ZFP36	2.3521	TF
IL16	5.2944	Secreted Factors
SPP1	2.4045	ECM Glycoproteins
FGA	5.685699999999999	ECM Glycoproteins
ANXA2	5.7120999999999995	ECM-affiliated Proteins
HCFC1	2.4472	Secreted Factors
SPARCL1	3.1338999999999997	ECM Glycoproteins
ANXA1	2.7531999999999996	ECM-affiliated Proteins
PLG	5.1095999999999995	ECM Regulators
ANXA6	2.4187000000000003	ECM-affiliated Proteins
MXRA5	4.8398	ECM Glycoproteins
ANXA5	4.398	ECM-affiliated Proteins
KNG1	2.1163	ECM Regulators
ADAM9	3.4724	ECM Regulators
LTBP1	2.6691	ECM Glycoproteins
SEMA4B	2.4408999999999996	ECM-affiliated Proteins
VCAN	6.5731	Proteoglycans
HSPG2	2.0569	Proteoglycans
SEMA4C	3.6353	ECM-affiliated Proteins
COL6A3	2.0238	Collagens
MUC1	2.9787999999999997	ECM-affiliated Proteins
S100A11	3.639299999999999	Secreted Factors
SERPINC1	2.3709	ECM Regulators
ANXA4	2.127	ECM-affiliated Proteins
SERPINB1	2.3307	ECM Regulators
ANXA3	3.3613999999999997	ECM-affiliated Proteins
TNXB	2.8842999999999996	ECM Glycoproteins
SFTPB	3.4935	ECM-affiliated Proteins
LGALS1	2.6425	ECM-affiliated Proteins
S100A8	5.27	Secreted Factors
COL3A1	2.5684	Collagens
EMCN	3.0906	ECM-affiliated Proteins
ITIH4	2.6374	ECM Regulators
SERPINB6	2.0754	ECM Regulators
SPOCK2	3.5816	Proteoglycans
VWA1	2.3656	ECM Glycoproteins
CST3	2.6752	ECM Regulators
FGB	2.5991	ECM Glycoproteins
S100A6	7.1151	Secreted Factors
LAMB2	2.5351	ECM Glycoproteins
F9	3.0918	ECM Regulators
PRELP	2.8784	Proteoglycans
S100A4	2.1416	Secreted Factors
CRELD2	2.1943	ECM Glycoproteins
S100P	3.4996	Secreted Factors
ANGPTL2	3.1475	Secreted Factors
SDC2	2.3635	ECM-affiliated Proteins
ADAM28	2.9715	ECM Regulators
IGFBP1	2.3079	ECM Glycoproteins
SPAM1	5.0617	ECM Regulators
SERPINF2	2.5495	ECM Regulators
FGF16	3.6778	Secreted Factors
PRG3	5.381600000000001	Proteoglycans
