name	prize	Category
BRCA1	3.6767333333333334	TF
CIITA	3.0355	TF
EGR1	2.922766666666667	TF
ELF3	2.04375	TF
ETS1	3.7554499999999997	TF
ETS2	3.10285	TF
FOS	2.7560000000000002	TF
IRF1	2.9953000000000003	TF
JUN	3.4531375	TF
KLF4	2.8571500000000007	TF
KLF5	2.0494000000000003	TF
NFIL3	3.538666666666667	TF
NFKB1	3.1322357142857142	TF
NFKBIA	2.7719333333333336	TF
POU5F1	3.3619999999999997	TF
RARA	2.8790500000000003	TF
RELA	3.2793	TF
RUNX2	4.138733333333334	TF
SIRT1	2.0718	TF
SOX2	3.29405	TF
SP1	3.515233333333333	TF
SP3	2.852933333333333	TF
SRF	2.83435	TF
STAT1	3.4457	TF
STAT3	2.79716	TF
TFAP2A	3.0532	TF
TWIST2	3.3728500000000006	TF
ZNF148	4.46685	TF
IL16	7.771100000000001	Secreted Factors
SPP1	3.4593000000000007	ECM Glycoproteins
FGA	6.674200000000001	ECM Glycoproteins
ANXA2	2.5737	ECM-affiliated Proteins
HCFC1	2.5111	Secreted Factors
MFAP1	2.0014	ECM Glycoproteins
PLG	4.1107	ECM Regulators
MXRA5	6.7029000000000005	ECM Glycoproteins
SERPINA1	2.4477	ECM Regulators
TNC	3.0100999999999996	ECM Glycoproteins
ZFP91	3.6149	Secreted Factors
KNG1	2.6839	ECM Regulators
LTBP1	2.7486	ECM Glycoproteins
LTBP2	5.545400000000001	ECM Glycoproteins
SEMA4B	2.0419	ECM-affiliated Proteins
ADAM17	4.3808	ECM Regulators
VCAN	4.3404	Proteoglycans
IGFBP3	2.6203000000000003	ECM Glycoproteins
S100A9	5.0119	Secreted Factors
ELFN2	3.0266	ECM-affiliated Proteins
FBLN2	3.2349	ECM Glycoproteins
TGM2	3.3522	ECM Regulators
MUC1	2.6021	ECM-affiliated Proteins
S100A11	2.3044	Secreted Factors
HRNR	2.9463	Secreted Factors
SERPINC1	2.5687	ECM Regulators
SERPINA10	2.7664999999999997	ECM Regulators
FBLN1	5.2543999999999995	ECM Glycoproteins
SEMA4D	2.9556	ECM-affiliated Proteins
PRG4	2.9436	Proteoglycans
LGALS1	2.3523	ECM-affiliated Proteins
SPOCK2	2.1117	Proteoglycans
ABI3BP	2.4385	ECM Glycoproteins
AGRN	2.0853	ECM Glycoproteins
LAMA4	2.4392	ECM Glycoproteins
MUC21	3.8239	ECM-affiliated Proteins
S100A16	2.5419	Secreted Factors
VWA1	2.6323999999999996	ECM Glycoproteins
LAMB1	2.3107	ECM Glycoproteins
FGB	2.0246	ECM Glycoproteins
THSD4	2.5071	ECM Glycoproteins
COL20A1	3.2207999999999997	Collagens
S100A6	4.769	Secreted Factors
ITIH2	2.8982	ECM Regulators
LAMB2	2.6986	ECM Glycoproteins
TGFBI	2.2653	ECM Glycoproteins
IGFBP7	2.3509	ECM Glycoproteins
SDC1	3.9132	ECM-affiliated Proteins
PLXNB3	2.2334	ECM-affiliated Proteins
MEPE	2.1485000000000003	ECM Glycoproteins
VWA3B	4.01	ECM Glycoproteins
CLC	3.4649	ECM-affiliated Proteins
SDC2	13.6674	ECM-affiliated Proteins
LAMC1	2.0179	ECM Glycoproteins
HMCN2	4.9074	ECM Glycoproteins
ITIH1	2.7704999999999997	ECM Regulators
PLOD2	3.2941	ECM Regulators
COL19A1	3.3222	Collagens
IGFBP1	3.3954	ECM Glycoproteins
SPAM1	4.192	ECM Regulators
FGF1	2.0058	Secreted Factors
PRG3	5.0123999999999995	Proteoglycans
FST	4.6952	Secreted Factors
CRLF1	6.365	Secreted Factors
ADAMTS3	2.7682	ECM Regulators
NTN1	2.1642	ECM Glycoproteins
