name	prize	Category
AHR	5.403700000000001	TF
ATF2	2.0647	TF
ATF4	3.43588	TF
CEBPA	4.441725	TF
CEBPB	4.5086200000000005	TF
CREB1	2.961533333333333	TF
DDIT3	4.7008	TF
DNMT1	3.41325	TF
EGR1	3.3856666666666664	TF
EP300	3.8592666666666666	TF
ERG	3.83162	TF
ETS1	3.3708636363636364	TF
ETS2	3.5363	TF
ETV4	4.275	TF
EZH2	3.9864333333333333	TF
FLI1	4.179566666666666	TF
FOS	3.6192666666666664	TF
FOSL2	2.39585	TF
FOXO1	5.2097999999999995	TF
GATA3	3.961666666666667	TF
GATA6	2.5382000000000002	TF
HDAC1	4.613733333333333	TF
HDAC11	2.1359500000000002	TF
HDAC2	2.3666	TF
HDAC4	3.0427500000000003	TF
HDAC5	2.37035	TF
HDAC9	3.8493000000000004	TF
HIF1A	3.329525	TF
HMGA1	3.39135	TF
HOXA10	2.9189499999999997	TF
HOXB7	3.08555	TF
ING4	4.727399999999999	TF
IRF8	3.0191500000000002	TF
JUN	3.479542857142857	TF
JUND	3.6708999999999996	TF
KLF4	4.327866666666667	TF
NCOA3	3.102	TF
NFIC	3.0764666666666667	TF
NFIL3	3.4848500000000002	TF
NFKB1	3.4375541666666667	TF
NFKBIA	4.141500000000001	TF
NR1I2	2.06905	TF
NR4A2	4.8585	TF
PARP1	2.3909000000000002	TF
PAX5	4.61265	TF
PGR	2.82525	TF
POU2F1	3.536375	TF
POU5F1	5.009499999999999	TF
PPARA	4.422466666666667	TF
PPARD	2.4849499999999995	TF
RARA	3.5872	TF
REL	3.736375	TF
RELA	3.4235125	TF
RUNX2	3.554475	TF
SMAD3	2.3545666666666665	TF
SOX2	3.0037000000000003	TF
SP1	3.566913043478261	TF
SP3	3.0643285714285713	TF
SRF	2.3826000000000005	TF
STAT1	3.2513125	TF
STAT3	3.2159199999999997	TF
STAT6	2.764625	TF
TBP	4.76615	TF
TWIST1	3.9697999999999998	TF
VDR	3.8067666666666664	TF
XBP1	3.840333333333333	TF
ZFP36	4.7008	TF
ZNF300	4.7008	TF
IL16	6.1919	Secreted Factors
SPP1	3.5544	ECM Glycoproteins
FGA	8.5785	ECM Glycoproteins
ANXA2	3.7557	ECM-affiliated Proteins
HCFC1	3.3720999999999997	Secreted Factors
SPARCL1	4.9011	ECM Glycoproteins
ANXA1	3.9201	ECM-affiliated Proteins
PLG	4.7322	ECM Regulators
COL17A1	2.8585000000000003	Collagens
VWA5A	3.4151	ECM Glycoproteins
MXRA5	2.9825	ECM Glycoproteins
SERPINA1	4.9141	ECM Regulators
TNC	2.3585000000000003	ECM Glycoproteins
ZFP91	5.2532	Secreted Factors
KNG1	4.675800000000001	ECM Regulators
LTBP1	3.7646	ECM Glycoproteins
LTBP2	3.5679	ECM Glycoproteins
SEMA4B	3.742	ECM-affiliated Proteins
ADAM17	5.6645	ECM Regulators
VCAN	4.0194	Proteoglycans
S100A9	2.0940000000000003	Secreted Factors
ELFN2	6.765000000000001	ECM-affiliated Proteins
ECM2	5.9986	ECM Glycoproteins
THBS2	3.3697	ECM Glycoproteins
MUC1	2.6005000000000003	ECM-affiliated Proteins
VTN	2.6184	ECM Glycoproteins
S100A11	2.3251	Secreted Factors
HRNR	2.0467999999999997	Secreted Factors
SERPINC1	5.6137	ECM Regulators
SERPINA10	4.394299999999999	ECM Regulators
EGLN1	4.0621	ECM Regulators
SERPINH1	3.1803999999999997	ECM Regulators
ANXA3	4.952500000000001	ECM-affiliated Proteins
SFTPA1	3.5431	ECM-affiliated Proteins
IGFBP5	2.0336999999999996	ECM Glycoproteins
F13A1	2.9747	ECM Regulators
PRG4	6.507	Proteoglycans
FGG	2.9669	ECM Glycoproteins
SFTPB	2.0711999999999997	ECM-affiliated Proteins
COL3A1	2.0173	Collagens
ADAMTSL3	4.9074	ECM Regulators
SPOCK2	4.2843	Proteoglycans
LAMA4	2.3258	ECM Glycoproteins
MUC21	5.8182	ECM-affiliated Proteins
S100A13	2.8514	Secreted Factors
PLXNC1	3.7687	ECM-affiliated Proteins
CTF1	2.4492000000000003	Secreted Factors
ANXA11	3.1113999999999997	ECM-affiliated Proteins
DCN	2.765	Proteoglycans
FGB	4.1174	ECM Glycoproteins
POSTN	2.9279	ECM Glycoproteins
COL20A1	4.949	Collagens
ITIH2	4.1909	ECM Regulators
TGFBI	2.1619	ECM Glycoproteins
F9	2.3433	ECM Regulators
PRELP	2.9427	Proteoglycans
SDC1	2.6462	ECM-affiliated Proteins
PARM1	3.4694	ECM-affiliated Proteins
S100P	2.5815999999999995	Secreted Factors
CLC	2.9745	ECM-affiliated Proteins
PAPPA	9.5126	ECM Regulators
ANGPT2	3.1034	Secreted Factors
SDC2	5.160500000000001	ECM-affiliated Proteins
HMCN2	4.0543	ECM Glycoproteins
TECTA	2.7694	ECM Glycoproteins
PPBP	5.2421	Secreted Factors
ANXA7	5.9147	ECM-affiliated Proteins
MATN3	2.1776999999999997	ECM Glycoproteins
GDF6	4.7122	Secreted Factors
NID2	2.0301	ECM Glycoproteins
COL19A1	2.5236	Collagens
IGFBP1	3.0706	ECM Glycoproteins
SULF2	2.765	ECM Regulators
SPAM1	7.5508	ECM Regulators
PRG3	8.166699999999999	Proteoglycans
FST	4.8335	Secreted Factors
FREM3	4.2411	ECM-affiliated Proteins
