name	prize	Category
ATF2	3.8277333333333337	TF
ATF4	2.9233	TF
CEBPA	4.831525	TF
CEBPB	4.0468	TF
CEBPD	3.0641	TF
CEBPZ	6.04875	TF
CIITA	4.282366666666666	TF
CREB1	3.71184	TF
CTNNB1	3.95745	TF
DNMT1	4.07995	TF
DNMT3A	4.07995	TF
E2F1	3.0935875	TF
EGR1	3.40205	TF
ELF4	3.3379	TF
EP300	3.72095	TF
EPAS1	3.2070333333333334	TF
ERG	4.51515	TF
ETS1	4.059907692307692	TF
ETS2	4.147216666666667	TF
ETV4	5.112025	TF
FLI1	5.021475	TF
FOS	4.956283333333333	TF
FOSL1	6.095599999999999	TF
FOSL2	2.85245	TF
FOXA2	3.77875	TF
FOXQ1	5.77285	TF
GATA3	5.35265	TF
GATA4	3.13705	TF
GATA6	2.8763000000000005	TF
GLI1	2.4697500000000003	TF
HDAC1	4.66545	TF
HDAC11	3.2945	TF
HDAC2	2.9334666666666664	TF
HDAC4	4.4261	TF
HDAC9	3.8033	TF
HOXA10	3.8197	TF
HSF1	3.12735	TF
IKBKB	3.3379	TF
ING4	5.6382666666666665	TF
IRF1	3.8491333333333335	TF
IRF3	3.9385000000000003	TF
JUN	4.23401875	TF
KLF8	2.9527	TF
LEF1	3.9234999999999998	TF
MAZ	5.278466666666667	TF
MSC	4.0347	TF
MYB	3.937975	TF
NCOA3	5.73405	TF
NFIC	3.6692	TF
NFIL3	3.6294000000000004	TF
NFKB1	3.5259885714285715	TF
NFKBIA	5.1442749999999995	TF
NKX2-1	3.2597	TF
NR1I2	2.8755999999999995	TF
NR4A1	3.12735	TF
NR4A2	6.5708	TF
NR5A1	2.84175	TF
PARP1	3.783025	TF
PAX5	6.2715499999999995	TF
PGR	3.363	TF
POU2F1	4.58315	TF
POU5F1	6.300000000000001	TF
PPARA	3.2853	TF
PPARG	5.6819	TF
RARA	3.2335000000000003	TF
REL	3.2798499999999997	TF
RELA	3.653579411764706	TF
RFX5	4.104	TF
RUNX1	2.899	TF
RUNX2	3.5762	TF
RUNX3	2.9104	TF
SIRT1	2.94178	TF
SMAD3	3.55785	TF
SOX2	3.0330500000000002	TF
SOX9	3.0634	TF
SP1	3.981065217391304	TF
SPDEF	4.21805	TF
SPI1	2.9642	TF
SRF	3.31095	TF
STAT1	3.64409	TF
STAT3	4.167925	TF
STAT6	3.6712499999999997	TF
TBX21	4.58945	TF
USF1	3.5359	TF
USF2	2.455366666666666	TF
VDR	3.4112999999999998	TF
XBP1	2.8927499999999995	TF
YY1	3.5354400000000004	TF
ZEB1	2.73815	TF
IL16	4.2517	Secreted Factors
SPP1	8.5544	ECM Glycoproteins
FGA	7.4015	ECM Glycoproteins
ANXA2	3.0092999999999996	ECM-affiliated Proteins
MFAP1	2.5945	ECM Glycoproteins
SPARCL1	6.0899	ECM Glycoproteins
ANXA1	2.6776999999999997	ECM-affiliated Proteins
PLG	4.383	ECM Regulators
COL17A1	5.2903	Collagens
MXRA5	10.9772	ECM Glycoproteins
SERPINA1	3.3529	ECM Regulators
TNC	5.2237	ECM Glycoproteins
KNG1	4.4046	ECM Regulators
LTBP1	6.827400000000001	ECM Glycoproteins
LTBP2	7.724	ECM Glycoproteins
ADAM17	2.3155	ECM Regulators
VCAN	6.8862	Proteoglycans
HSPG2	2.0071	Proteoglycans
S100A9	3.2575000000000003	Secreted Factors
FBLN2	4.2034	ECM Glycoproteins
COL6A3	2.2279	Collagens
TGM2	2.9401	ECM Regulators
THBS2	2.627	ECM Glycoproteins
FN1	2.4758	ECM Glycoproteins
MUC1	3.6828	ECM-affiliated Proteins
VTN	2.6694	ECM Glycoproteins
SERPINC1	4.2254000000000005	ECM Regulators
SERPINA10	2.2556	ECM Regulators
FBLN1	5.4125000000000005	ECM Glycoproteins
SERPINH1	2.2868	ECM Regulators
IGFBP5	2.1287000000000003	ECM Glycoproteins
F13A1	2.9494	ECM Regulators
SEMA4D	3.521	ECM-affiliated Proteins
PRG4	2.9567	Proteoglycans
GREM1	3.58	ECM-affiliated Proteins
SFTPB	2.0864000000000003	ECM-affiliated Proteins
COL3A1	8.535	Collagens
EMCN	6.082599999999999	ECM-affiliated Proteins
ADAMTSL3	4.577500000000001	ECM Regulators
SPOCK2	6.3163	Proteoglycans
LAMA4	4.1987	ECM Glycoproteins
S100A16	2.4739	Secreted Factors
ADAM8	2.3568	ECM Regulators
LAMA3	3.2288	ECM Glycoproteins
VWA1	2.2398	ECM Glycoproteins
LAMB1	2.1759	ECM Glycoproteins
FGB	4.439500000000001	ECM Glycoproteins
POSTN	7.074	ECM Glycoproteins
FSTL1	2.2662	Secreted Factors
AEBP1	5.6609	ECM Glycoproteins
S100A6	3.236	Secreted Factors
LAMB2	5.1515	ECM Glycoproteins
IGFBP7	3.2629	ECM Glycoproteins
CLEC4A	4.305	ECM-affiliated Proteins
F9	2.3499	ECM Regulators
FBN1	4.8103	ECM Glycoproteins
PRELP	3.2336	Proteoglycans
PLXNB3	2.625	ECM-affiliated Proteins
MEPE	3.0873	ECM Glycoproteins
VWA3B	6.3247	ECM Glycoproteins
CLC	2.8703	ECM-affiliated Proteins
PAPPA	2.2363999999999997	ECM Regulators
ANGPTL2	4.0604	Secreted Factors
TECTA	6.8763	ECM Glycoproteins
COL6A2	2.3438	Collagens
PLOD2	2.6454	ECM Regulators
ADAM28	6.0447	ECM Regulators
HTRA3	2.1445999999999996	ECM Regulators
IGFBP1	3.0824999999999996	ECM Glycoproteins
SPAM1	3.362	ECM Regulators
S100A3	4.8934	Secreted Factors
SERPINF2	2.2728	ECM Regulators
FGF1	3.05	Secreted Factors
FGF16	8.1082	Secreted Factors
PRG3	2.8564999999999996	Proteoglycans
SVEP1	5.65	ECM Glycoproteins
IL9	4.239	Secreted Factors
COL6A6	4.4864999999999995	Collagens
ADAMTS3	3.2614	ECM Regulators
FREM3	2.1062	ECM-affiliated Proteins
ANGPTL7	2.1729000000000003	Secreted Factors
NTN1	2.7103	ECM Glycoproteins
