Covering_nodes,Total_nodes,Component_number,Terminal_coverage,w,b,g
126,195,1,1,2,2,2
126,190,1,1,2,2,3
126,182,1,1,2,2,4
126,233,2,1,2,2,5
126,195,1,1,2,3,2
126,190,1,1,2,3,3
126,182,1,1,2,3,4
126,233,2,1,2,3,5
126,195,1,1,2,4,2
126,190,1,1,2,4,3
126,182,1,1,2,4,4
126,233,2,1,2,4,5
126,195,1,1,2,5,2
126,190,1,1,2,5,3
126,182,1,1,2,5,4
126,233,2,1,2,5,5
126,195,1,1,3,2,2
126,190,1,1,3,2,3
126,182,1,1,3,2,4
126,236,1,1,3,2,5
126,195,1,1,3,3,2
126,190,1,1,3,3,3
126,182,1,1,3,3,4
126,236,1,1,3,3,5
126,195,1,1,3,4,2
126,190,1,1,3,4,3
126,182,1,1,3,4,4
126,236,1,1,3,4,5
126,195,1,1,3,5,2
126,190,1,1,3,5,3
126,182,1,1,3,5,4
126,236,1,1,3,5,5
126,195,1,1,4,2,2
126,190,1,1,4,2,3
126,182,1,1,4,2,4
126,236,1,1,4,2,5
126,195,1,1,4,3,2
126,190,1,1,4,3,3
126,182,1,1,4,3,4
126,236,1,1,4,3,5
126,195,1,1,4,4,2
126,190,1,1,4,4,3
126,182,1,1,4,4,4
126,236,1,1,4,4,5
126,195,1,1,4,5,2
126,190,1,1,4,5,3
126,182,1,1,4,5,4
126,236,1,1,4,5,5
126,195,1,1,5,2,2
126,190,1,1,5,2,3
126,182,1,1,5,2,4
126,236,1,1,5,2,5
126,195,1,1,5,3,2
126,190,1,1,5,3,3
126,182,1,1,5,3,4
126,236,1,1,5,3,5
126,195,1,1,5,4,2
126,190,1,1,5,4,3
126,182,1,1,5,4,4
126,236,1,1,5,4,5
126,195,1,1,5,5,2
126,190,1,1,5,5,3
126,182,1,1,5,5,4
126,236,1,1,5,5,5
