poorest,poor,rich,richest
S100A1,IRF3,S100A1,NFIC
S100A11,FGB,S100A11,MUC5AC
CREBBP,ABL1,CDH1,CITED2
SMAD3,PRKCD,CREBBP,PAPPA
MUC1,FLI1,JUNB,NFIL3
HDAC1,ITIH4,SMAD3,IGFBP3
KRTAP10-8,S100A6,IGF1,ETV4
ADAM9,SEMA7A,MUC1,SNAI2
SERPINC1,VCAN,SERPINB6,SDC2
CTNND1,PCNA,HDAC1,TBP
ADAMTSL3,S100A11,TCF4,TFCP2
NOTCH2NL,S100A1,SERPINC1,PPARG
SRF,CREBBP,CTNND1,RUNX1
NFIC,CDH1,SRF,FN1
MTA1,JUNB,NFIC,STAT3
CLCF1,SMAD3,MTA1,REL
OS9,IGF1,CLCF1,ETS1
PAPPA,MUC1,CITED2,SP1
NFIL3,HDAC1,PAPPA,FOSL2
ETV4,RB1,NFIL3,FGA
SNAI2,SPDEF,IGFBP3,VWA5A
TBP,ELF3,ETV4,TNC
SDC2,KRTAP10-8,TBP,COL1A1
TFCP2,ADAM9,SNAI2,DNMT3L
RUNX1,SERPINC1,SDC2,NFE4
FN1,CTNND1,IL9,CXCR2
STAT3,ADAMTSL3,IL9R,LAMB2
PARP2,NOTCH2NL,TFCP2,CIITA
REL,SRF,PPARG,ANXA1
ETS1,NFIC,RUNX1,ANXA3
SP1,PAPPA,ARNT,NR3C1
FGA,NFIL3,FN1,SPARCL1
ESR1,IGFBP3,STAT3,PPP1R13L
VWA5A,ETV4,REL,CEBPB
ELK1,SDC2,ETS1,ANGPTL2
TNC,SNAI2,SP1,NFKB1
DNMT3L,TFCP2,FOSL2,STAT2
AR,RUNX1,FGA,DDIT3
GATA1,ARNT,VWA5A,SAP30
NFE4,PPARG,TNC,STAT6
ZFP91,FN1,DNMT3L,LILRB2
COL6A3,STAT3,AHR,KNG1
LAMB2,REL,AR,RUNX3
PLXNB3,PARP2,USF1,PPP1CA
ANXA1,ETS1,GATA1,PRELP
ANXA3,SP1,NFE4,CREB1
NR3C1,FGA,ZFP91,TFAP2A
SPARCL1,VWA5A,IRF9,TWIST1
CNTFR,ELK1,SMOC1,SOX2
PPP1R13L,TNC,LAMB2,MYB
