,prize,Category,terminal,type,degree
KTN1,0.0,,False,protein,30
FAM156B,0.0,,False,protein,5
ZNF223,0.0,,False,protein,4
HILPDA,0.0,,False,protein,2
LOC142937,0.0,,False,protein,1
EIF1,0.0,,False,protein,8
SERPIND1,3.792100000000001,ECM Regulators,True,protein,3
FAM174A,0.0,,False,protein,1
DCN,0.0,,False,protein,34
FAM168B,0.0,,False,protein,1
PRMT1,0.0,,False,protein,136
SAC3D1,0.0,,False,protein,1
HLA-DRB1,0.0,,False,protein,15
RAB11A,0.0,,False,protein,60
MYH10,0.0,,False,protein,75
ASXL1,0.0,,False,protein,17
ZCCHC10,0.0,,False,protein,50
HIP1,0.0,,False,protein,25
RAP2B,0.0,,False,protein,12
CSDE1,0.0,,False,protein,39
ZNF681,0.0,,False,protein,1
GATA6,2.45345,TF,True,protein,9
CLDN2,0.0,,False,protein,10
GBE1,0.0,,False,protein,8
PPIC,0.0,,False,protein,8
ARHGAP6,0.0,,False,protein,1
NAIF1,0.0,,False,protein,7
ZFP42,0.0,,False,protein,5
ABLIM1,0.0,,False,protein,23
KLRC1,0.0,,False,protein,6
PTPRS,0.0,,False,protein,26
CTPS1,0.0,,False,protein,44
IFT20,0.0,,False,protein,31
OTUB2,0.0,,False,protein,36
GNG12,0.0,,False,protein,16
NPC2,0.0,,False,protein,11
ATP1A3,0.0,,False,protein,5
STAG3,0.0,,False,protein,2
COLEC12,0.0,,False,protein,1
CNOT10,0.0,,False,protein,16
SLC9A4,0.0,,False,protein,2
CCDC91,0.0,,False,protein,5
ZNF428,0.0,,False,protein,3
WDR48,0.0,,False,protein,68
CASK,0.0,,False,protein,71
LOC102724652,0.0,,False,protein,18
ZNF71,0.0,,False,protein,4
SLK,0.0,,False,protein,10
KCNN4,0.0,,False,protein,6
TPTE,0.0,,False,protein,2
HLA-F,0.0,,False,protein,3
PLOD1,0.0,,False,protein,26
EPDR1,0.0,,False,protein,1
SRSF9,0.0,,False,protein,58
TIRAP,0.0,,False,protein,41
TMEM183A,0.0,,False,protein,1
FNTA,0.0,,False,protein,15
EIF4A2,0.0,,False,protein,65
MEIS2,0.0,,False,protein,17
ADAM2,0.0,,False,protein,4
NUP43,0.0,,False,protein,17
CCL1,0.0,,False,protein,3
RPL9,0.0,,False,protein,123
KLHL34,0.0,,False,protein,4
CDH15,0.0,,False,protein,10
DIO3,0.0,,False,protein,2
C1ORF105,0.0,,False,protein,1
COL13A1,0.0,,False,protein,6
ANKS1B,0.0,,False,protein,12
LEMD3,0.0,,False,protein,9
SETSIP,0.0,,False,protein,7
ARPC4-TTLL3,0.0,,False,protein,43
LDB2,0.0,,False,protein,14
LGALS7B,0.0,,False,protein,15
PLEKHH2,0.0,,False,protein,3
SLC22A16,0.0,,False,protein,1
PSMC5,0.0,,False,protein,136
TNIP1,0.0,,False,protein,70
GNL3,0.0,,False,protein,69
C1D,0.0,,False,protein,10
PSMD10,0.0,,False,protein,55
XRN2,0.0,,False,protein,61
NRCAM,0.0,,False,protein,8
NHS,0.0,,False,protein,2
TRIM25,0.0,,False,protein,60
FMNL2,0.0,,False,protein,7
EIF3G,0.0,,False,protein,39
ENTPD1,0.0,,False,protein,2
PMF1-BGLAP,0.0,,False,protein,17
AAK1,0.0,,False,protein,2
NGF,0.0,,False,protein,10
LPAR1,0.0,,False,protein,6
CCDC153,0.0,,False,protein,6
ZMYND8,0.0,,False,protein,23
NUDT13,0.0,,False,protein,1
GABARAP,0.0,,False,protein,88
ARHGEF19,0.0,,False,protein,4
ZC3HAV1,0.0,,False,protein,36
IMPA1,0.0,,False,protein,4
SLC20A2,0.0,,False,protein,1
C10ORF62,0.0,,False,protein,8
TINAG,0.0,,False,protein,3
MRPL30,0.0,,False,protein,3
STARD13,0.0,,False,protein,15
CCDC37,0.0,,False,protein,3
ZBTB10,0.0,,False,protein,11
FAM21C,0.0,,False,protein,11
PLEKHJ1,0.0,,False,protein,8
PCYT1A,0.0,,False,protein,6
ECH1,0.0,,False,protein,22
SLC29A1,0.0,,False,protein,2
IL7R,0.0,,False,protein,16
CITED4,0.0,,False,protein,4
GABBR2,0.0,,False,protein,10
CDKL5,0.0,,False,protein,7
SPAG16,0.0,,False,protein,3
CERCAM,0.0,,False,protein,3
CLK2,0.0,,False,protein,66
NEFM,0.0,,False,protein,19
ZMPSTE24,0.0,,False,protein,21
TMEM30A,0.0,,False,protein,9
AREL1,0.0,,False,protein,6
FBN3,0.0,,False,protein,14
PNKD,0.0,,False,protein,6
LDHAL6B,0.0,,False,protein,15
FBXO3,0.0,,False,protein,13
ITFG1,0.0,,False,protein,9
UPK2,0.0,,False,protein,2
ATP6V1G2,0.0,,False,protein,2
PPIP5K1,0.0,,False,protein,10
MRTO4,0.0,,False,protein,27
HTR1A,0.0,,False,protein,9
IFNA16,0.0,,False,protein,1
MAD2L2,0.0,,False,protein,34
STAR,0.0,,False,protein,6
DLST,0.0,,False,protein,28
ANK3,0.0,,False,protein,20
PNPLA6,0.0,,False,protein,3
HSP90B1,0.0,,False,protein,97
CNST,0.0,,False,protein,12
COL19A1,2.8355,Collagens,True,protein,1
PAFAH1B3,0.0,,False,protein,41
MPP3,0.0,,False,protein,34
PLEKHG4,0.0,,False,protein,2
SRGN,0.0,,False,protein,16
MAP6,0.0,,False,protein,6
GRHL2,0.0,,False,protein,2
IFT122,0.0,,False,protein,2
SUPT7L,0.0,,False,protein,18
CSNK1A1,0.0,,False,protein,95
ELMSAN1,0.0,,False,protein,12
ADNP,0.0,,False,protein,25
ARHGAP12,0.0,,False,protein,5
HSP90AB1,0.0,,False,protein,638
MAST4,0.0,,False,protein,1
ADH4,0.0,,False,protein,2
OLFM4,0.0,,False,protein,6
WNT9B,0.0,,False,protein,1
AQP1,0.0,,False,protein,43
TUBA4A,0.0,,False,protein,119
TNFRSF13B,0.0,,False,protein,11
BMP3,0.0,,False,protein,7
DUX3,0.0,,False,protein,1
AIFM2,0.0,,False,protein,1
ANKMY2,0.0,,False,protein,17
CECR2,0.0,,False,protein,4
PRKRIR,0.0,,False,protein,9
SKIV2L2,0.0,,False,protein,47
SPTLC1,0.0,,False,protein,17
AHSG,0.0,,False,protein,15
WWC3,0.0,,False,protein,5
AIP,0.0,,False,protein,37
ACCS,0.0,,False,protein,2
KRT23,0.0,,False,protein,1
HJURP,0.0,,False,protein,12
TRIM39-RPP21,0.0,,False,protein,1
NVL,0.0,,False,protein,7
MGP,0.0,,False,protein,1
PDZD8,0.0,,False,protein,1
GNE,0.0,,False,protein,27
HEATR1,0.0,,False,protein,23
ZFAND3,0.0,,False,protein,2
TMX2,0.0,,False,protein,6
SEMA4A,0.0,,False,protein,6
NOL4,0.0,,False,protein,8
CLGN,0.0,,False,protein,9
C22ORF39,0.0,,False,protein,6
CCDC74A,0.0,,False,protein,1
REXO4,0.0,,False,protein,3
SNURF,0.0,,False,protein,8
UGGT2,0.0,,False,protein,8
VIPR1,0.0,,False,protein,16
TADA2B,0.0,,False,protein,7
IVD,0.0,,False,protein,3
RAB6B,0.0,,False,protein,12
ZNF227,0.0,,False,protein,7
IQCG,0.0,,False,protein,2
RGS8,0.0,,False,protein,2
OMG,0.0,,False,protein,2
NCOR1,0.0,,False,protein,149
B4GALT1,0.0,,False,protein,7
TSEN34,0.0,,False,protein,11
B3GALT2,0.0,,False,protein,1
VHL,0.0,,False,protein,421
PDILT,0.0,,False,protein,1
SPCS2,0.0,,False,protein,14
E2F2,0.0,,False,protein,24
ACVR1B,0.0,,False,protein,30
KIF5B,0.0,,False,protein,88
PRKD2,0.0,,False,protein,36
BRAP,0.0,,False,protein,26
COTL1,0.0,,False,protein,11
SUGT1,0.0,,False,protein,60
SYNGAP1,0.0,,False,protein,15
CRLF1,0.0,,False,protein,2
SCRG1,0.0,,False,protein,1
PHOSPHO2-KLHL23,0.0,,False,protein,11
RYR2,0.0,,False,protein,25
EDNRB,0.0,,False,protein,9
PML,0.0,,False,protein,191
NUPL1,0.0,,False,protein,14
SH2B2,0.0,,False,protein,23
TREM2,0.0,,False,protein,1
AGPS,0.0,,False,protein,17
TRIM52,0.0,,False,protein,4
N6AMT2,0.0,,False,protein,1
