name	prize	Category	Division
MMP23B	2.6800999999999995	ECM Regulators	Matrisome-associated
CELA2A	2.0171	ECM Regulators	Matrisome-associated
CELA2B	2.9239	ECM Regulators	Matrisome-associated
NTNG1	5.8591999999999995	ECM Glycoproteins	Core matrisome
ECM1	3.3642999999999996	ECM Glycoproteins	Core matrisome
ADAM15	2.3605	ECM Regulators	Matrisome-associated
BCAN	4.2988	Proteoglycans	Core matrisome
PAPPA2	3.3117	ECM Regulators	Matrisome-associated
HMCN1	2.4313999999999996	ECM Glycoproteins	Core matrisome
PRG4	3.6523	Proteoglycans	Core matrisome
TGFB2	2.6332	Secreted Factors	Matrisome-associated
WNT3A	2.8141	Secreted Factors	Matrisome-associated
FCN3	4.687	ECM-affiliated Proteins	Matrisome-associated
RSPO1	3.8875	ECM Glycoproteins	Core matrisome
CDCP2	2.3390000000000004	ECM Glycoproteins	Core matrisome
COL11A1	7.4869	Collagens	Core matrisome
S100A12	4.772	Secreted Factors	Matrisome-associated
S100A8	2.9634	Secreted Factors	Matrisome-associated
S100A3	3.7697000000000003	Secreted Factors	Matrisome-associated
S100A14	2.2356000000000007	Secreted Factors	Matrisome-associated
ITLN1	8.4122	ECM-affiliated Proteins	Matrisome-associated
ITLN2	9.7035	ECM-affiliated Proteins	Matrisome-associated
DPT	2.6524	ECM Glycoproteins	Core matrisome
TNR	3.023	ECM Glycoproteins	Core matrisome
BRINP3	2.8975	Secreted Factors	Matrisome-associated
PLXNA2	2.0115	ECM-affiliated Proteins	Matrisome-associated
LEFTY2	2.2855	Secreted Factors	Matrisome-associated
CRIM1	2.7601000000000004	ECM Glycoproteins	Core matrisome
VIT	4.3816	ECM Glycoproteins	Core matrisome
VWA3B	4.0739	ECM Glycoproteins	Core matrisome
ADAM23	2.4602	ECM Regulators	Matrisome-associated
INHA	2.4235	Secreted Factors	Matrisome-associated
COL4A3	3.0241000000000007	Collagens	Core matrisome
EFEMP1	2.7514000000000003	ECM Glycoproteins	Core matrisome
CLEC4F	3.1669	ECM-affiliated Proteins	Matrisome-associated
SFTPB	2.7862	ECM-affiliated Proteins	Matrisome-associated
IHH	5.146299999999999	Secreted Factors	Matrisome-associated
COL4A4	2.0728	Collagens	Core matrisome
TGM4	4.0903	ECM Regulators	Matrisome-associated
