name	prize	Category	Division
VWA1	2.6403999999999996	ECM Glycoproteins	Core matrisome
CELA2B	2.472	ECM Regulators	Matrisome-associated
NTNG1	2.5575	ECM Glycoproteins	Core matrisome
ADAMTSL4	2.051	ECM Regulators	Matrisome-associated
BCAN	2.5461	Proteoglycans	Core matrisome
BRINP2	2.1574	Secreted Factors	Matrisome-associated
HMCN1	2.3489999999999998	ECM Glycoproteins	Core matrisome
PRG4	5.5055	Proteoglycans	Core matrisome
WNT3A	3.794	Secreted Factors	Matrisome-associated
MEGF6	2.267	Secreted Factors	Matrisome-associated
FCN3	4.572	ECM-affiliated Proteins	Matrisome-associated
RSPO1	5.0699	ECM Glycoproteins	Core matrisome
CDCP2	3.3919	ECM Glycoproteins	Core matrisome
COL11A1	7.8608	Collagens	Core matrisome
S100A12	4.2399	Secreted Factors	Matrisome-associated
S100A8	3.0203	Secreted Factors	Matrisome-associated
S100A5	2.4325	Secreted Factors	Matrisome-associated
S100A4	2.5679	Secreted Factors	Matrisome-associated
ITLN1	10.853299999999999	ECM-affiliated Proteins	Matrisome-associated
ITLN2	4.9952	ECM-affiliated Proteins	Matrisome-associated
DPT	3.1235999999999997	ECM Glycoproteins	Core matrisome
TNR	3.0699	ECM Glycoproteins	Core matrisome
CTSE	4.6574	ECM Regulators	Matrisome-associated
LEFTY2	2.5724	Secreted Factors	Matrisome-associated
WNT9A	2.0028	Secreted Factors	Matrisome-associated
TPO	3.3706	Secreted Factors	Matrisome-associated
VIT	2.935	ECM Glycoproteins	Core matrisome
IL1RN	2.2430000000000003	Secreted Factors	Matrisome-associated
INHBB	2.2616	Secreted Factors	Matrisome-associated
IGFBP2	2.4231000000000007	ECM Glycoproteins	Core matrisome
WNT6	2.3919	Secreted Factors	Matrisome-associated
SDC1	2.212200000000001	ECM-affiliated Proteins	Matrisome-associated
CLEC4F	3.4507	ECM-affiliated Proteins	Matrisome-associated
IHH	2.9768000000000003	Secreted Factors	Matrisome-associated
TGM4	3.0518	ECM Regulators	Matrisome-associated
CLEC3B	3.8768	ECM-affiliated Proteins	Matrisome-associated
TDGF1	2.9112	Secreted Factors	Matrisome-associated
SEMA3B	3.0677000000000003	ECM-affiliated Proteins	Matrisome-associated
ITIH1	2.5294000000000003	ECM Regulators	Matrisome-associated
ITIH3	2.4252	ECM Regulators	Matrisome-associated
ZPLD1	2.593	ECM Glycoproteins	Core matrisome
CSTA	2.2304	ECM Regulators	Matrisome-associated
COL6A6	4.2601	Collagens	Core matrisome
KNG1	2.3918	ECM Regulators	Matrisome-associated
TIMP4	2.3108999999999997	ECM Regulators	Matrisome-associated
WNT7A	4.6162	Secreted Factors	Matrisome-associated
SEMA3G	2.2108	ECM-affiliated Proteins	Matrisome-associated
ABI3BP	3.4216	ECM Glycoproteins	Core matrisome
PCOLCE2	3.0895	ECM Glycoproteins	Core matrisome
PLOD2	2.0185999999999997	ECM Regulators	Matrisome-associated
IGSF10	4.1683	ECM Glycoproteins	Core matrisome
MUC4	6.4724	ECM-affiliated Proteins	Matrisome-associated
C1QTNF7	2.0042	ECM-affiliated Proteins	Matrisome-associated
SLIT2	2.7800000000000002	ECM Glycoproteins	Core matrisome
CXCL1	2.1151999999999997	Secreted Factors	Matrisome-associated
EPGN	2.3706	Secreted Factors	Matrisome-associated
EREG	3.3432	Secreted Factors	Matrisome-associated
CXCL13	3.8687	Secreted Factors	Matrisome-associated
FRAS1	2.4926	ECM Glycoproteins	Core matrisome
ANXA3	2.3398	ECM-affiliated Proteins	Matrisome-associated
DSPP	3.8370000000000006	ECM Glycoproteins	Core matrisome
IBSP	2.1524	ECM Glycoproteins	Core matrisome
SPP1	6.4325	ECM Glycoproteins	Core matrisome
MMRN1	4.2501999999999995	ECM Glycoproteins	Core matrisome
EGF	3.1700999999999997	Secreted Factors	Matrisome-associated
FGF2	2.0305	Secreted Factors	Matrisome-associated
ADAM29	2.1574	ECM Regulators	Matrisome-associated
FGFBP2	3.5394	Secreted Factors	Matrisome-associated
PF4	4.3179	Secreted Factors	Matrisome-associated
PPBP	6.4363	Secreted Factors	Matrisome-associated
CXCL5	3.8894	Secreted Factors	Matrisome-associated
SPARCL1	2.6837999999999997	ECM Glycoproteins	Core matrisome
EMCN	2.5417000000000005	ECM-affiliated Proteins	Matrisome-associated
FGA	3.4446	ECM Glycoproteins	Core matrisome
FGG	2.5412000000000003	ECM Glycoproteins	Core matrisome
SPOCK3	5.5314	Proteoglycans	Core matrisome
CRHBP	2.0242	Secreted Factors	Matrisome-associated
MEGF10	2.9400999999999997	Secreted Factors	Matrisome-associated
ADAMTS19	4.0241	ECM Regulators	Matrisome-associated
CSF2	2.8584	Secreted Factors	Matrisome-associated
GDNF	3.5151	Secreted Factors	Matrisome-associated
CCL28	2.098	Secreted Factors	Matrisome-associated
FGF10	3.5976999999999997	Secreted Factors	Matrisome-associated
SEMA6A	2.4825999999999997	ECM-affiliated Proteins	Matrisome-associated
HBEGF	2.3206	Secreted Factors	Matrisome-associated
IL17B	2.5149999999999997	Secreted Factors	Matrisome-associated
C1QTNF2	2.9112	ECM-affiliated Proteins	Matrisome-associated
SLIT3	3.6285999999999996	ECM Glycoproteins	Core matrisome
F12	2.2358	ECM Regulators	Matrisome-associated
BMP6	2.2858	Secreted Factors	Matrisome-associated
MUC21	2.9299999999999997	ECM-affiliated Proteins	Matrisome-associated
RSPO3	2.8513	ECM Glycoproteins	Core matrisome
PLG	4.5293	ECM Regulators	Matrisome-associated
TNXB	4.5923	ECM Glycoproteins	Core matrisome
COL10A1	2.8808	Collagens	Core matrisome
THBS2	2.1745999999999994	ECM Glycoproteins	Core matrisome
BMPER	4.0046	ECM Glycoproteins	Core matrisome
VWC2	2.2399000000000004	Secreted Factors	Matrisome-associated
MUC12	2.7329000000000003	ECM-affiliated Proteins	Matrisome-associated
COL28A1	2.2954	Collagens	Core matrisome
VWDE	5.2541	ECM Glycoproteins	Core matrisome
IGFBP3	2.1795999999999998	ECM Glycoproteins	Core matrisome
CCL24	6.0737000000000005	Secreted Factors	Matrisome-associated
SEMA3E	2.4703999999999997	ECM-affiliated Proteins	Matrisome-associated
SEMA3D	2.5539	ECM-affiliated Proteins	Matrisome-associated
RELN	2.7955	ECM Glycoproteins	Core matrisome
SFTPC	6.6747000000000005	ECM-affiliated Proteins	Matrisome-associated
ADAM28	2.1699	ECM Regulators	Matrisome-associated
SULF1	2.4005	ECM Regulators	Matrisome-associated
CTHRC1	3.2371000000000008	ECM Glycoproteins	Core matrisome
LGI3	6.8324	ECM Glycoproteins	Core matrisome
SFRP1	3.4025	Secreted Factors	Matrisome-associated
PLAT	3.3177000000000003	ECM Regulators	Matrisome-associated
SBSPON	2.0879	ECM Glycoproteins	Core matrisome
ANGPT1	3.4659999999999993	Secreted Factors	Matrisome-associated
RSPO2	5.438	ECM Glycoproteins	Core matrisome
PRSS3	2.5151000000000003	ECM Regulators	Matrisome-associated
HMCN2	2.6016	ECM Glycoproteins	Core matrisome
FCN2	2.3918	ECM-affiliated Proteins	Matrisome-associated
EGFL7	2.1425	Secreted Factors	Matrisome-associated
FREM1	2.3513	ECM-affiliated Proteins	Matrisome-associated
IFNA5	2.252	Secreted Factors	Matrisome-associated
CCL21	2.1702	Secreted Factors	Matrisome-associated
OGN	3.1134000000000004	Proteoglycans	Core matrisome
ECM2	2.0069	ECM Glycoproteins	Core matrisome
SVEP1	2.9893	ECM Glycoproteins	Core matrisome
TNC	3.8935000000000004	ECM Glycoproteins	Core matrisome
FCN1	4.4597	ECM-affiliated Proteins	Matrisome-associated
ANXA8L1	4.2578	ECM-affiliated Proteins	Matrisome-associated
GDF10	4.6331	Secreted Factors	Matrisome-associated
PLAU	2.0134999999999996	ECM Regulators	Matrisome-associated
NRG3	3.1784999999999997	Secreted Factors	Matrisome-associated
HABP2	3.6984	ECM Regulators	Matrisome-associated
DMBT1	4.7328	ECM Glycoproteins	Core matrisome
ITIH5	4.0892	ECM Regulators	Matrisome-associated
ANXA8	4.3853	ECM-affiliated Proteins	Matrisome-associated
SPOCK2	3.3381000000000003	Proteoglycans	Core matrisome
SFTPD	2.6554	ECM-affiliated Proteins	Matrisome-associated
MMRN2	2.7188999999999997	ECM Glycoproteins	Core matrisome
SFRP5	5.2399	Secreted Factors	Matrisome-associated
HPSE2	3.9279	ECM Regulators	Matrisome-associated
FGF8	2.252	Secreted Factors	Matrisome-associated
MUC5AC	2.252	ECM-affiliated Proteins	Matrisome-associated
MUC5B	9.0232	ECM-affiliated Proteins	Matrisome-associated
NELL1	5.5618	ECM Glycoproteins	Core matrisome
F2	2.0700000000000003	ECM Regulators	Matrisome-associated
ADAMTS15	2.9745999999999997	ECM Regulators	Matrisome-associated
PAMR1	2.1900000000000004	ECM Regulators	Matrisome-associated
MMP7	2.302	ECM Regulators	Matrisome-associated
MMP3	3.0033	ECM Regulators	Matrisome-associated
MMP12	3.6593999999999998	ECM Regulators	Matrisome-associated
C1QTNF5	2.0698999999999996	ECM-affiliated Proteins	Matrisome-associated
ADAMTS8	3.0593	ECM Regulators	Matrisome-associated
CLEC4D	2.8069	ECM-affiliated Proteins	Matrisome-associated
CLEC12A	3.1130999999999998	ECM-affiliated Proteins	Matrisome-associated
CLEC12B	2.5029	ECM-affiliated Proteins	Matrisome-associated
VWF	2.9601000000000006	ECM Glycoproteins	Core matrisome
CLEC4C	3.3179	ECM-affiliated Proteins	Matrisome-associated
CLEC4E	3.1695	ECM-affiliated Proteins	Matrisome-associated
A2M	3.1483	ECM Regulators	Matrisome-associated
PZP	2.1222000000000003	ECM Regulators	Matrisome-associated
CLEC1B	2.6175	ECM-affiliated Proteins	Matrisome-associated
CLEC1A	2.2003	ECM-affiliated Proteins	Matrisome-associated
ADAMTS20	3.3919000000000006	ECM Regulators	Matrisome-associated
WIF1	6.7406	Secreted Factors	Matrisome-associated
DCN	2.2611999999999997	Proteoglycans	Core matrisome
GPC5	5.9428	ECM-affiliated Proteins	Matrisome-associated
F10	2.6401	ECM Regulators	Matrisome-associated
C1QTNF9B	5.3895	Secreted Factors	Matrisome-associated
SERPINA5	3.3919000000000006	ECM Regulators	Matrisome-associated
TGM1	2.8535000000000004	ECM Regulators	Matrisome-associated
CTSG	3.9051	ECM Regulators	Matrisome-associated
EGLN3	3.1384999999999996	ECM Regulators	Matrisome-associated
CLEC14A	2.9453	ECM-affiliated Proteins	Matrisome-associated
ISM2	2.6549000000000005	Secreted Factors	Matrisome-associated
SERPINA9	3.9443	ECM Regulators	Matrisome-associated
GREM1	3.6391	ECM-affiliated Proteins	Matrisome-associated
THBS1	3.795399999999999	ECM Glycoproteins	Core matrisome
SEMA6D	2.1183	ECM-affiliated Proteins	Matrisome-associated
ADAMTSL3	3.3673	ECM Regulators	Matrisome-associated
SEMA4B	2.8274	ECM-affiliated Proteins	Matrisome-associated
VWA3A	4.9154	ECM Glycoproteins	Core matrisome
CCL17	2.7413000000000003	Secreted Factors	Matrisome-associated
IL34	2.3126	Secreted Factors	Matrisome-associated
IGFALS	2.4391	ECM Glycoproteins	Core matrisome
CBLN1	2.6548999999999996	Secreted Factors	Matrisome-associated
CCL13	2.3152999999999997	Secreted Factors	Matrisome-associated
CCL18	2.5659	Secreted Factors	Matrisome-associated
WNT9B	4.0175	Secreted Factors	Matrisome-associated
CLEC10A	2.9465	ECM-affiliated Proteins	Matrisome-associated
MFAP4	3.6519	ECM Glycoproteins	Core matrisome
LGALS9B	2.3918	ECM-affiliated Proteins	Matrisome-associated
MMP28	2.0426	ECM Regulators	Matrisome-associated
CCL16	3.3179	Secreted Factors	Matrisome-associated
CCL14	4.1884999999999994	Secreted Factors	Matrisome-associated
CCL23	2.5456999999999996	Secreted Factors	Matrisome-associated
C1QL1	2.3918	ECM-affiliated Proteins	Matrisome-associated
WNT3	4.1112	Secreted Factors	Matrisome-associated
COL1A1	2.2318	Collagens	Core matrisome
LAMA3	2.0560000000000005	ECM Glycoproteins	Core matrisome
HMSD	2.2398000000000002	ECM Regulators	Matrisome-associated
CCBE1	5.2549	Secreted Factors	Matrisome-associated
FGF22	4.3918	Secreted Factors	Matrisome-associated
ELANE	2.8773	ECM Regulators	Matrisome-associated
TNFSF9	2.2743	Secreted Factors	Matrisome-associated
ANGPTL4	2.7366	Secreted Factors	Matrisome-associated
CILP2	2.6826000000000003	ECM Glycoproteins	Core matrisome
LTBP4	2.1797999999999997	ECM Glycoproteins	Core matrisome
LRG1	2.8915000000000006	ECM Glycoproteins	Core matrisome
CLEC4G	2.9279	ECM-affiliated Proteins	Matrisome-associated
MUC16	3.4497000000000004	ECM-affiliated Proteins	Matrisome-associated
COMP	2.7409	ECM Glycoproteins	Core matrisome
HAPLN4	2.6548999999999996	Proteoglycans	Core matrisome
LGI4	2.7912	ECM Glycoproteins	Core matrisome
CLC	2.6549	ECM-affiliated Proteins	Matrisome-associated
NTF4	2.5293	Secreted Factors	Matrisome-associated
WISP2	3.0855	ECM Glycoproteins	Core matrisome
PI3	3.0699	ECM Regulators	Matrisome-associated
MMP9	2.5001	ECM Regulators	Matrisome-associated
COL20A1	3.8773	Collagens	Core matrisome
ANGPT4	2.9444	Secreted Factors	Matrisome-associated
RSPO4	2.6174	ECM Glycoproteins	Core matrisome
ADAM33	3.7073	ECM Regulators	Matrisome-associated
CST2	5.0069	ECM Regulators	Matrisome-associated
SLPI	3.1731	ECM Regulators	Matrisome-associated
MMP11	6.3997	ECM Regulators	Matrisome-associated
FBLN1	2.933	ECM Glycoproteins	Core matrisome
C1QTNF6	2.1264	ECM-affiliated Proteins	Matrisome-associated
SCUBE1	2.7611	Secreted Factors	Matrisome-associated
WNT7B	2.9692	Secreted Factors	Matrisome-associated
AMELX	2.8141	ECM Glycoproteins	Core matrisome
COL4A5	2.2108	Collagens	Core matrisome
PLXNB3	5.209099999999999	ECM-affiliated Proteins	Matrisome-associated
SRPX	2.4093999999999998	ECM Glycoproteins	Core matrisome
ITIH6	2.7373999999999996	ECM Regulators	Matrisome-associated
CHRDL1	3.5515000000000003	Secreted Factors	Matrisome-associated
GPC4	2.1900999999999997	ECM-affiliated Proteins	Matrisome-associated
GPC3	2.7475	ECM-affiliated Proteins	Matrisome-associated
FGF13	2.3315	Secreted Factors	Matrisome-associated
