name	prize	Category	Division
VWF	3.3615999999999997	ECM Glycoproteins	Core matrisome
A2M	2.952	ECM Regulators	Matrisome-associated
PZP	2.9659999999999997	ECM Regulators	Matrisome-associated
CLEC1A	2.4819	ECM-affiliated Proteins	Matrisome-associated
MGP	3.2741999999999996	ECM Glycoproteins	Core matrisome
NELL2	2.1992	ECM Glycoproteins	Core matrisome
DHH	2.3516	Secreted Factors	Matrisome-associated
WIF1	11.2311	Secreted Factors	Matrisome-associated
EPYC	4.601	Proteoglycans	Core matrisome
SERPINE3	2.3409	ECM Regulators	Matrisome-associated
F10	2.6146	ECM Regulators	Matrisome-associated
SERPINA5	2.5495	ECM Regulators	Matrisome-associated
SERPINA3	4.4265	ECM Regulators	Matrisome-associated
TGM1	2.6629	ECM Regulators	Matrisome-associated
CTSG	4.1222	ECM Regulators	Matrisome-associated
CLEC14A	3.1725999999999996	ECM-affiliated Proteins	Matrisome-associated
FBLN5	2.6217000000000006	ECM Glycoproteins	Core matrisome
GREM1	2.7234000000000003	ECM-affiliated Proteins	Matrisome-associated
ADAMTSL3	3.2019	ECM Regulators	Matrisome-associated
TGM5	2.4728	ECM Regulators	Matrisome-associated
CILP	4.5573	ECM Glycoproteins	Core matrisome
NRG4	2.8714	Secreted Factors	Matrisome-associated
VWA3A	5.509	ECM Glycoproteins	Core matrisome
CCL22	3.2045999999999997	Secreted Factors	Matrisome-associated
CCL17	2.2489999999999997	Secreted Factors	Matrisome-associated
CBLN1	2.1711	Secreted Factors	Matrisome-associated
SERPINF2	2.5292	ECM Regulators	Matrisome-associated
NTN1	2.6471999999999998	ECM Glycoproteins	Core matrisome
LGALS9C	2.8491	ECM-affiliated Proteins	Matrisome-associated
CCL7	3.7359	Secreted Factors	Matrisome-associated
CCL11	2.1282	Secreted Factors	Matrisome-associated
CSF3	6.419	Secreted Factors	Matrisome-associated
WNT9B	2.4341	Secreted Factors	Matrisome-associated
CCL5	2.0218	Secreted Factors	Matrisome-associated
CCL14	4.4859	Secreted Factors	Matrisome-associated
CCL15	6.4638	Secreted Factors	Matrisome-associated
CCL3L3	2.4341	Secreted Factors	Matrisome-associated
WNT3	2.3397	Secreted Factors	Matrisome-associated
COL1A1	3.5005000000000006	Collagens	Core matrisome
MEP1B	2.0970000000000004	ECM Regulators	Matrisome-associated
SERPINB10	2.2641	ECM Regulators	Matrisome-associated
CCBE1	4.5112	Secreted Factors	Matrisome-associated
SERPINB3	3.5973	ECM Regulators	Matrisome-associated
CILP2	2.8678999999999997	ECM Glycoproteins	Core matrisome
ADAMTSL5	2.9583	ECM Regulators	Matrisome-associated
FBN3	3.6904	ECM Glycoproteins	Core matrisome
PODNL1	2.1275999999999997	Proteoglycans	Core matrisome
