name	prize	Category	Division
VWA1	2.1205	ECM Glycoproteins	Core matrisome
BMP8A	2.9429	Secreted Factors	Matrisome-associated
HAPLN2	2.7622999999999998	Proteoglycans	Core matrisome
BCAN	2.9236	Proteoglycans	Core matrisome
PAPPA2	2.7622999999999998	ECM Regulators	Matrisome-associated
IL20	2.1763	Secreted Factors	Matrisome-associated
WNT3A	3.2068	Secreted Factors	Matrisome-associated
FCN3	2.9512	ECM-affiliated Proteins	Matrisome-associated
RSPO1	2.7321	ECM Glycoproteins	Core matrisome
COL9A2	3.4240000000000004	Collagens	Core matrisome
FLG2	2.0460999999999996	Secreted Factors	Matrisome-associated
S100A12	2.4758	Secreted Factors	Matrisome-associated
S100A3	3.8147	Secreted Factors	Matrisome-associated
S100A14	2.2439	Secreted Factors	Matrisome-associated
MUC1	2.7969999999999997	ECM-affiliated Proteins	Matrisome-associated
ITLN1	3.8237000000000005	ECM-affiliated Proteins	Matrisome-associated
ITLN2	3.8777	ECM-affiliated Proteins	Matrisome-associated
ADAMTS4	3.2554000000000003	ECM Regulators	Matrisome-associated
TNR	3.7775	ECM Glycoproteins	Core matrisome
CTSE	2.8828000000000005	ECM Regulators	Matrisome-associated
AGT	2.6469	ECM Regulators	Matrisome-associated
VIT	4.1275	ECM Glycoproteins	Core matrisome
VWA3B	2.373	ECM Glycoproteins	Core matrisome
WNT10A	2.9837000000000002	Secreted Factors	Matrisome-associated
IHH	5.524100000000001	Secreted Factors	Matrisome-associated
TGM4	3.3473	ECM Regulators	Matrisome-associated
CLEC3B	3.0953999999999997	ECM-affiliated Proteins	Matrisome-associated
TDGF1	3.0831999999999997	Secreted Factors	Matrisome-associated
SEMA3F	2.7061	ECM-affiliated Proteins	Matrisome-associated
MUC20	2.2554	ECM-affiliated Proteins	Matrisome-associated
WNT7A	4.9973	Secreted Factors	Matrisome-associated
HYAL1	2.4662999999999995	ECM Regulators	Matrisome-associated
HYAL2	2.1292999999999997	ECM Regulators	Matrisome-associated
SEMA3G	3.1665	ECM-affiliated Proteins	Matrisome-associated
IGSF10	2.1276	ECM Glycoproteins	Core matrisome
FGF12	2.0716	Secreted Factors	Matrisome-associated
S100P	3.8122	Secreted Factors	Matrisome-associated
CXCL8	2.5979	Secreted Factors	Matrisome-associated
CXCL6	2.5242000000000004	Secreted Factors	Matrisome-associated
CXCL1	2.9739	Secreted Factors	Matrisome-associated
BMP3	2.6954	Secreted Factors	Matrisome-associated
DMP1	2.5389	ECM Glycoproteins	Core matrisome
MEPE	2.7497	ECM Glycoproteins	Core matrisome
SPP1	5.1838	ECM Glycoproteins	Core matrisome
EGF	3.0415	Secreted Factors	Matrisome-associated
FGF2	2.245	Secreted Factors	Matrisome-associated
HHIP	3.9676	Secreted Factors	Matrisome-associated
ADAM29	2.3680999999999996	ECM Regulators	Matrisome-associated
FGFBP2	2.8301	Secreted Factors	Matrisome-associated
PF4	2.3091	Secreted Factors	Matrisome-associated
PPBP	3.3617	Secreted Factors	Matrisome-associated
CXCL2	3.1683	Secreted Factors	Matrisome-associated
EMCN	2.5444	ECM-affiliated Proteins	Matrisome-associated
SFRP2	4.0164	Secreted Factors	Matrisome-associated
FGA	3.0606999999999998	ECM Glycoproteins	Core matrisome
FGG	2.4951	ECM Glycoproteins	Core matrisome
VEGFC	2.3295000000000003	Secreted Factors	Matrisome-associated
SEMA5A	3.2931000000000004	ECM-affiliated Proteins	Matrisome-associated
FGF10	2.3143000000000002	Secreted Factors	Matrisome-associated
