name	prize	Category	Division
NTNG1	4.1514	ECM Glycoproteins	Core matrisome
ECM1	2.1444	ECM Glycoproteins	Core matrisome
ADAMTSL4	3.1227	ECM Regulators	Matrisome-associated
BCAN	5.6287	Proteoglycans	Core matrisome
PAPPA2	2.0836000000000006	ECM Regulators	Matrisome-associated
HMCN1	2.0399000000000003	ECM Glycoproteins	Core matrisome
PRG4	4.5593	Proteoglycans	Core matrisome
PRELP	2.1882	Proteoglycans	Core matrisome
IL19	2.6686	Secreted Factors	Matrisome-associated
TGFB2	2.0295	Secreted Factors	Matrisome-associated
WNT3A	5.891	Secreted Factors	Matrisome-associated
WNT4	2.4223999999999997	Secreted Factors	Matrisome-associated
FCN3	6.8327	ECM-affiliated Proteins	Matrisome-associated
RSPO1	4.0001	ECM Glycoproteins	Core matrisome
COL11A1	4.105700000000001	Collagens	Core matrisome
TCHH	2.2092	Secreted Factors	Matrisome-associated
S100A12	3.9487	Secreted Factors	Matrisome-associated
S100A8	2.6058	Secreted Factors	Matrisome-associated
S100A5	5.118	Secreted Factors	Matrisome-associated
S100A4	2.6314	Secreted Factors	Matrisome-associated
S100A2	2.1372999999999998	Secreted Factors	Matrisome-associated
ITLN1	2.5431	ECM-affiliated Proteins	Matrisome-associated
ITLN2	5.954	ECM-affiliated Proteins	Matrisome-associated
TNR	4.599799999999999	ECM Glycoproteins	Core matrisome
PLXNA2	2.9833	ECM-affiliated Proteins	Matrisome-associated
LEFTY1	2.2383000000000006	Secreted Factors	Matrisome-associated
LEFTY2	3.756	Secreted Factors	Matrisome-associated
AGT	3.7237	ECM Regulators	Matrisome-associated
TPO	2.306	Secreted Factors	Matrisome-associated
CRIM1	2.2581999999999995	ECM Glycoproteins	Core matrisome
VIT	4.476	ECM Glycoproteins	Core matrisome
COL3A1	3.3418	Collagens	Core matrisome
VWC2L	4.4189	Secreted Factors	Matrisome-associated
INHA	2.2535	Secreted Factors	Matrisome-associated
CCL20	3.56	Secreted Factors	Matrisome-associated
CLEC4F	2.4896000000000003	ECM-affiliated Proteins	Matrisome-associated
SFTPB	2.567	ECM-affiliated Proteins	Matrisome-associated
IL1B	2.7318999999999996	Secreted Factors	Matrisome-associated
C1QL2	2.4055999999999997	ECM-affiliated Proteins	Matrisome-associated
COL5A2	2.0896999999999997	Collagens	Core matrisome
IHH	5.2536	Secreted Factors	Matrisome-associated
SERPINE2	2.2451	ECM Regulators	Matrisome-associated
TGM4	2.0556	ECM Regulators	Matrisome-associated
CLEC3B	4.482	ECM-affiliated Proteins	Matrisome-associated
CSTA	2.7971	ECM Regulators	Matrisome-associated
COL6A5	2.3212	Collagens	Core matrisome
COL6A6	3.0341000000000005	Collagens	Core matrisome
KNG1	2.7237	ECM Regulators	Matrisome-associated
WNT7A	5.026199999999999	Secreted Factors	Matrisome-associated
CSPG5	2.5145	ECM-affiliated Proteins	Matrisome-associated
SEMA3G	3.004	ECM-affiliated Proteins	Matrisome-associated
ABI3BP	2.5614	ECM Glycoproteins	Core matrisome
PCOLCE2	3.6873	ECM Glycoproteins	Core matrisome
IGSF10	4.5816	ECM Glycoproteins	Core matrisome
SERPINI2	3.0096	ECM Regulators	Matrisome-associated
MASP1	3.7955	ECM Regulators	Matrisome-associated
S100P	2.6686	Secreted Factors	Matrisome-associated
C1QTNF7	3.0065	ECM-affiliated Proteins	Matrisome-associated
SLIT2	2.4585999999999997	ECM Glycoproteins	Core matrisome
CXCL1	3.6874000000000002	Secreted Factors	Matrisome-associated
EPGN	3.2888	Secreted Factors	Matrisome-associated
EREG	2.1049	Secreted Factors	Matrisome-associated
CXCL13	6.4386	Secreted Factors	Matrisome-associated
FRAS1	2.8756999999999997	ECM Glycoproteins	Core matrisome
ANXA3	3.9143000000000003	ECM-affiliated Proteins	Matrisome-associated
IBSP	2.9164000000000003	ECM Glycoproteins	Core matrisome
MEPE	2.0837000000000003	ECM Glycoproteins	Core matrisome
SPP1	3.931	ECM Glycoproteins	Core matrisome
NPNT	3.5272	ECM Glycoproteins	Core matrisome
EGF	3.1851000000000003	Secreted Factors	Matrisome-associated
HHIP	3.3026999999999997	Secreted Factors	Matrisome-associated
FGB	4.2092	ECM Glycoproteins	Core matrisome
ADAM29	3.1425	ECM Regulators	Matrisome-associated
FGFBP1	2.8178	Secreted Factors	Matrisome-associated
FGFBP2	3.6619	Secreted Factors	Matrisome-associated
LGI2	3.1407	ECM Glycoproteins	Core matrisome
PPBP	4.0222	Secreted Factors	Matrisome-associated
CXCL5	3.4444	Secreted Factors	Matrisome-associated
CXCL3	3.7057	Secreted Factors	Matrisome-associated
CXCL2	3.801800000000001	Secreted Factors	Matrisome-associated
CXCL9	4.7711	Secreted Factors	Matrisome-associated
CXCL10	2.9061000000000003	Secreted Factors	Matrisome-associated
CXCL11	3.4362	Secreted Factors	Matrisome-associated
EMCN	2.4451	ECM-affiliated Proteins	Matrisome-associated
PRSS12	2.4626	ECM Regulators	Matrisome-associated
IL2	3.4412000000000003	Secreted Factors	Matrisome-associated
ADAMTS16	5.211399999999999	ECM Regulators	Matrisome-associated
EGFLAM	2.2039999999999997	ECM Glycoproteins	Core matrisome
MEGF10	3.1388	Secreted Factors	Matrisome-associated
