name	prize	Category	Division
AGRN	2.8522000000000003	ECM Glycoproteins	Core matrisome
MMP23B	2.3773999999999997	ECM Regulators	Matrisome-associated
CELA2A	4.3494	ECM Regulators	Matrisome-associated
NTNG1	3.1418	ECM Glycoproteins	Core matrisome
BCAN	3.4293	Proteoglycans	Core matrisome
XCL1	3.155	Secreted Factors	Matrisome-associated
FASLG	2.6156	Secreted Factors	Matrisome-associated
IL19	2.06	Secreted Factors	Matrisome-associated
FCN3	4.2218	ECM-affiliated Proteins	Matrisome-associated
COL9A2	3.7771000000000003	Collagens	Core matrisome
COL11A1	2.0399000000000003	Collagens	Core matrisome
S100A12	3.5473	Secreted Factors	Matrisome-associated
S100A8	2.0016	Secreted Factors	Matrisome-associated
S100A3	2.5574	Secreted Factors	Matrisome-associated
S100A2	2.4802	Secreted Factors	Matrisome-associated
MUC1	2.7994000000000003	ECM-affiliated Proteins	Matrisome-associated
ITLN2	5.8165000000000004	ECM-affiliated Proteins	Matrisome-associated
XCL2	3.2359	Secreted Factors	Matrisome-associated
DPT	2.377	ECM Glycoproteins	Core matrisome
TNR	3.4886	ECM Glycoproteins	Core matrisome
IL10	4.2316	Secreted Factors	Matrisome-associated
VWA3B	3.513	ECM Glycoproteins	Core matrisome
INHBB	2.1646	Secreted Factors	Matrisome-associated
VWC2L	4.2363	Secreted Factors	Matrisome-associated
WNT6	2.06	Secreted Factors	Matrisome-associated
IHH	2.914	Secreted Factors	Matrisome-associated
TGM4	3.7474	ECM Regulators	Matrisome-associated
CLEC3B	4.0855999999999995	ECM-affiliated Proteins	Matrisome-associated
TDGF1	2.4929999999999994	Secreted Factors	Matrisome-associated
ITIH1	2.8469	ECM Regulators	Matrisome-associated
COL6A5	2.8154	Collagens	Core matrisome
COL6A6	3.2132999999999994	Collagens	Core matrisome
ADIPOQ	2.1380000000000003	ECM Glycoproteins	Core matrisome
MUC20	2.9875000000000003	ECM-affiliated Proteins	Matrisome-associated
WNT7A	2.8639	Secreted Factors	Matrisome-associated
SEMA3G	2.7534	ECM-affiliated Proteins	Matrisome-associated
MUC13	5.6207	ECM-affiliated Proteins	Matrisome-associated
MASP1	3.0846	ECM Regulators	Matrisome-associated
MUC4	5.1076	ECM-affiliated Proteins	Matrisome-associated
S100P	2.5931	Secreted Factors	Matrisome-associated
CXCL6	6.4246	Secreted Factors	Matrisome-associated
CXCL1	2.0075999999999996	Secreted Factors	Matrisome-associated
FRAS1	2.2387	ECM Glycoproteins	Core matrisome
ANXA3	2.3241	ECM-affiliated Proteins	Matrisome-associated
DMP1	3.4385999999999997	ECM Glycoproteins	Core matrisome
IBSP	5.1304	ECM Glycoproteins	Core matrisome
MEPE	3.3626	ECM Glycoproteins	Core matrisome
SPP1	5.460100000000001	ECM Glycoproteins	Core matrisome
MMRN1	2.7413000000000003	ECM Glycoproteins	Core matrisome
NPNT	2.5423999999999998	ECM Glycoproteins	Core matrisome
EGF	2.1713999999999998	Secreted Factors	Matrisome-associated
HHIP	2.9412	Secreted Factors	Matrisome-associated
TLL1	2.0534	ECM Regulators	Matrisome-associated
FGFBP2	3.5039999999999996	Secreted Factors	Matrisome-associated
PF4	4.0693	Secreted Factors	Matrisome-associated
CXCL9	4.0029	Secreted Factors	Matrisome-associated
CXCL10	3.1943	Secreted Factors	Matrisome-associated
CXCL11	2.8623	Secreted Factors	Matrisome-associated
SPARCL1	2.143600000000001	ECM Glycoproteins	Core matrisome
EMCN	2.9548000000000005	ECM-affiliated Proteins	Matrisome-associated
FREM3	2.1116	ECM-affiliated Proteins	Matrisome-associated
VEGFC	2.1436	Secreted Factors	Matrisome-associated
CRHBP	2.1879999999999997	Secreted Factors	Matrisome-associated
IL4	2.908	Secreted Factors	Matrisome-associated
SEMA5A	2.0999	ECM-affiliated Proteins	Matrisome-associated
CCL28	2.3513	Secreted Factors	Matrisome-associated
SEMA6A	2.1699	ECM-affiliated Proteins	Matrisome-associated
CXCL14	4.4291	Secreted Factors	Matrisome-associated
F12	3.0011	ECM Regulators	Matrisome-associated
BMP6	2.3221	Secreted Factors	Matrisome-associated
MUC21	7.8035000000000005	ECM-affiliated Proteins	Matrisome-associated
MUC22	5.738099999999999	ECM-affiliated Proteins	Matrisome-associated
TNF	2.0182	Secreted Factors	Matrisome-associated
VWA7	2.0769	ECM Glycoproteins	Core matrisome
COL12A1	2.4500999999999995	Collagens	Core matrisome
IL6	3.4397	Secreted Factors	Matrisome-associated
BMPER	3.1486	ECM Glycoproteins	Core matrisome
VWC2	3.0090999999999997	Secreted Factors	Matrisome-associated
ZP3	2.5648999999999997	ECM Glycoproteins	Core matrisome
MUC3A	9.761299999999999	ECM-affiliated Proteins	Matrisome-associated
MUC12	2.4678	ECM-affiliated Proteins	Matrisome-associated
PRSS1	2.0692	ECM Regulators	Matrisome-associated
