name	prize	Category	Division
CELA2A	2.1826	ECM Regulators	Matrisome-associated
ARTN	3.3093000000000004	Secreted Factors	Matrisome-associated
NTNG1	4.5045	ECM Glycoproteins	Core matrisome
CSF1	3.7054	Secreted Factors	Matrisome-associated
WNT2B	2.0652999999999997	Secreted Factors	Matrisome-associated
ADAMTSL4	2.5930999999999997	ECM Regulators	Matrisome-associated
ANXA9	2.5561000000000003	ECM-affiliated Proteins	Matrisome-associated
S100A9	3.3873000000000006	Secreted Factors	Matrisome-associated
LAMC2	2.2834000000000003	ECM Glycoproteins	Core matrisome
PRG4	2.9785	Proteoglycans	Core matrisome
IL20	2.1826999999999996	Secreted Factors	Matrisome-associated
TGFB2	2.6469	Secreted Factors	Matrisome-associated
MFAP2	2.1607000000000003	ECM Glycoproteins	Core matrisome
FCN3	5.0556	ECM-affiliated Proteins	Matrisome-associated
RSPO1	3.9814	ECM Glycoproteins	Core matrisome
COL11A1	6.205	Collagens	Core matrisome
NGF	3.9195999999999995	Secreted Factors	Matrisome-associated
TCHH	2.3123	Secreted Factors	Matrisome-associated
S100A12	4.4573	Secreted Factors	Matrisome-associated
S100A8	4.119800000000001	Secreted Factors	Matrisome-associated
S100A3	3.1091	Secreted Factors	Matrisome-associated
ITLN1	6.8191	ECM-affiliated Proteins	Matrisome-associated
ITLN2	4.3525	ECM-affiliated Proteins	Matrisome-associated
ADAMTS4	3.6767999999999996	ECM Regulators	Matrisome-associated
TNR	3.2397	ECM Glycoproteins	Core matrisome
CTSE	2.6422999999999996	ECM Regulators	Matrisome-associated
PLXNA2	3.0335	ECM-affiliated Proteins	Matrisome-associated
LEFTY2	4.0571	Secreted Factors	Matrisome-associated
TPO	2.1826999999999996	Secreted Factors	Matrisome-associated
CRIM1	2.31	ECM Glycoproteins	Core matrisome
SEMA4F	2.1418999999999997	ECM-affiliated Proteins	Matrisome-associated
VWA3B	3.3632	ECM Glycoproteins	Core matrisome
TNFAIP6	3.6473000000000004	ECM Glycoproteins	Core matrisome
COL3A1	3.2672999999999996	Collagens	Core matrisome
WNT10A	2.3093	Secreted Factors	Matrisome-associated
INHA	6.3682	Secreted Factors	Matrisome-associated
CCL20	3.059	Secreted Factors	Matrisome-associated
MATN3	2.1292999999999997	ECM Glycoproteins	Core matrisome
TGFA	2.6938	Secreted Factors	Matrisome-associated
CLEC4F	3.3345999999999996	ECM-affiliated Proteins	Matrisome-associated
SFTPB	3.1291	ECM-affiliated Proteins	Matrisome-associated
IL1A	4.4187	Secreted Factors	Matrisome-associated
IL1B	4.385199999999999	Secreted Factors	Matrisome-associated
IHH	4.6851	Secreted Factors	Matrisome-associated
TGM4	2.3029	ECM Regulators	Matrisome-associated
CLEC3B	3.5709	ECM-affiliated Proteins	Matrisome-associated
TDGF1	2.3632	Secreted Factors	Matrisome-associated
IL12A	2.4408	Secreted Factors	Matrisome-associated
ADIPOQ	2.4023000000000003	ECM Glycoproteins	Core matrisome
MUC20	3.9649	ECM-affiliated Proteins	Matrisome-associated
WNT7A	4.1624	Secreted Factors	Matrisome-associated
COL7A1	2.8173	Collagens	Core matrisome
MST1	2.8783000000000003	Secreted Factors	Matrisome-associated
HYAL3	2.4053	ECM Regulators	Matrisome-associated
HYAL1	2.2023	ECM Regulators	Matrisome-associated
ADAMTS9	3.5509999999999997	ECM Regulators	Matrisome-associated
ABI3BP	2.0127	ECM Glycoproteins	Core matrisome
MUC13	6.7861	ECM-affiliated Proteins	Matrisome-associated
PLOD2	2.036	ECM Regulators	Matrisome-associated
IGSF10	2.8902	ECM Glycoproteins	Core matrisome
MASP1	2.8771	ECM Regulators	Matrisome-associated
FGF12	5.1069	Secreted Factors	Matrisome-associated
MUC4	3.081	ECM-affiliated Proteins	Matrisome-associated
S100P	5.225300000000001	Secreted Factors	Matrisome-associated
C1QTNF7	2.4538	ECM-affiliated Proteins	Matrisome-associated
SLIT2	2.0645999999999995	ECM Glycoproteins	Core matrisome
CXCL8	4.0345	Secreted Factors	Matrisome-associated
CXCL6	4.8456	Secreted Factors	Matrisome-associated
CXCL1	5.228	Secreted Factors	Matrisome-associated
EPGN	4.9552	Secreted Factors	Matrisome-associated
EREG	2.6302	Secreted Factors	Matrisome-associated
AREG	2.7478	Secreted Factors	Matrisome-associated
CXCL13	3.4898	Secreted Factors	Matrisome-associated
ANXA3	3.1689	ECM-affiliated Proteins	Matrisome-associated
BMP3	3.1928	Secreted Factors	Matrisome-associated
DMP1	4.157299999999999	ECM Glycoproteins	Core matrisome
SPP1	4.020700000000001	ECM Glycoproteins	Core matrisome
MMRN1	2.3262	ECM Glycoproteins	Core matrisome
NPNT	2.5387	ECM Glycoproteins	Core matrisome
EGF	2.4439	Secreted Factors	Matrisome-associated
FGF2	3.4525	Secreted Factors	Matrisome-associated
HHIP	3.6301	Secreted Factors	Matrisome-associated
FGB	9.6629	ECM Glycoproteins	Core matrisome
TLL1	2.1854	ECM Regulators	Matrisome-associated
ADAM29	4.9552000000000005	ECM Regulators	Matrisome-associated
FGFBP2	5.0351	Secreted Factors	Matrisome-associated
PF4	5.1705000000000005	Secreted Factors	Matrisome-associated
PPBP	5.3525	Secreted Factors	Matrisome-associated
CXCL5	3.0327999999999995	Secreted Factors	Matrisome-associated
CXCL3	3.6839999999999997	Secreted Factors	Matrisome-associated
CXCL2	4.272399999999999	Secreted Factors	Matrisome-associated
BTC	3.8859	Secreted Factors	Matrisome-associated
CXCL9	2.2808	Secreted Factors	Matrisome-associated
SPARCL1	2.2786	ECM Glycoproteins	Core matrisome
EMCN	2.9598	ECM-affiliated Proteins	Matrisome-associated
COL25A1	2.2415	Collagens	Core matrisome
NDNF	2.7070999999999996	ECM Glycoproteins	Core matrisome
FGA	5.293200000000001	ECM Glycoproteins	Core matrisome
FGG	4.9261	ECM Glycoproteins	Core matrisome
ADAMTS16	2.3441	ECM Regulators	Matrisome-associated
FST	2.8269	Secreted Factors	Matrisome-associated
FGF18	4.3391	Secreted Factors	Matrisome-associated
SEMA5A	3.1110999999999995	ECM-affiliated Proteins	Matrisome-associated
CCL28	2.3701	Secreted Factors	Matrisome-associated
FGF10	2.3819	Secreted Factors	Matrisome-associated
HBEGF	2.982	Secreted Factors	Matrisome-associated
FGF1	2.6407	Secreted Factors	Matrisome-associated
SLIT3	2.6604	ECM Glycoproteins	Core matrisome
F12	2.5782	ECM Regulators	Matrisome-associated
BMP6	2.2701000000000002	Secreted Factors	Matrisome-associated
MUC21	3.5083	ECM-affiliated Proteins	Matrisome-associated
FNDC1	3.1270000000000002	ECM Glycoproteins	Core matrisome
SERPINB1	2.2394	ECM Regulators	Matrisome-associated
SERPINB9	2.3916	ECM Regulators	Matrisome-associated
TNXB	3.1245	ECM Glycoproteins	Core matrisome
COL11A2	4.015	Collagens	Core matrisome
BMP5	2.2437	Secreted Factors	Matrisome-associated
THBS2	2.9696000000000002	ECM Glycoproteins	Core matrisome
IL6	5.482900000000001	Secreted Factors	Matrisome-associated
BMPER	4.3001000000000005	ECM Glycoproteins	Core matrisome
IGFBP1	3.0424	ECM Glycoproteins	Core matrisome
VWC2	3.8071	Secreted Factors	Matrisome-associated
ZP3	3.6503	ECM Glycoproteins	Core matrisome
PCOLCE	2.1191999999999998	ECM Glycoproteins	Core matrisome
EPO	4.0462	Secreted Factors	Matrisome-associated
COL26A1	6.1902	Collagens	Core matrisome
HYAL4	4.4468	ECM Regulators	Matrisome-associated
LEP	3.3091999999999997	Secreted Factors	Matrisome-associated
CLEC2L	4.8617	ECM-affiliated Proteins	Matrisome-associated
VWDE	3.7845	ECM Glycoproteins	Core matrisome
SEMA3E	3.1839999999999997	ECM-affiliated Proteins	Matrisome-associated
GPC2	2.1768	ECM-affiliated Proteins	Matrisome-associated
KCP	2.2611999999999997	ECM Glycoproteins	Core matrisome
PTN	2.9354	Secreted Factors	Matrisome-associated
SHH	2.9624	Secreted Factors	Matrisome-associated
SFTPC	3.8963	ECM-affiliated Proteins	Matrisome-associated
ADAMDEC1	2.3090000000000006	ECM Regulators	Matrisome-associated
NRG1	3.6587	Secreted Factors	Matrisome-associated
SULF1	2.1859	ECM Regulators	Matrisome-associated
CTHRC1	3.3806	ECM Glycoproteins	Core matrisome
COLEC10	2.7132000000000005	ECM-affiliated Proteins	Matrisome-associated
NOV	3.018	ECM Glycoproteins	Core matrisome
FGL1	4.4555	ECM Glycoproteins	Core matrisome
LGI3	3.5747	ECM Glycoproteins	Core matrisome
ADAM2	5.4898	ECM Regulators	Matrisome-associated
SFRP1	3.5541	Secreted Factors	Matrisome-associated
PLAT	3.6636999999999995	ECM Regulators	Matrisome-associated
SBSPON	2.066	ECM Glycoproteins	Core matrisome
IL7	4.1572	Secreted Factors	Matrisome-associated
RSPO2	3.3525	ECM Glycoproteins	Core matrisome
IFNK	2.0153000000000003	Secreted Factors	Matrisome-associated
PRSS3	3.1825999999999994	ECM Regulators	Matrisome-associated
ANXA1	2.7112	ECM-affiliated Proteins	Matrisome-associated
PAPPA	2.2812	ECM Regulators	Matrisome-associated
NTNG2	2.5746000000000002	ECM Glycoproteins	Core matrisome
INSL6	2.5976000000000004	Secreted Factors	Matrisome-associated
OGN	3.0978	Proteoglycans	Core matrisome
CTSV	5.8344000000000005	ECM Regulators	Matrisome-associated
SVEP1	2.0286	ECM Glycoproteins	Core matrisome
FCN1	2.3288	ECM-affiliated Proteins	Matrisome-associated
ITIH2	2.2415	ECM Regulators	Matrisome-associated
ANXA8L1	4.0309	ECM-affiliated Proteins	Matrisome-associated
GDF10	3.8363	Secreted Factors	Matrisome-associated
SFTPA1	3.9044999999999996	ECM-affiliated Proteins	Matrisome-associated
NRG3	3.9998	Secreted Factors	Matrisome-associated
SEMA4G	2.9943	ECM-affiliated Proteins	Matrisome-associated
KAZALD1	3.2466999999999997	ECM Regulators	Matrisome-associated
TECTB	2.1826	ECM Glycoproteins	Core matrisome
DMBT1	3.3393	ECM Glycoproteins	Core matrisome
ITIH5	2.8833	ECM Regulators	Matrisome-associated
ANXA8	3.9123	ECM-affiliated Proteins	Matrisome-associated
SPOCK2	2.7632	Proteoglycans	Core matrisome
SFTPA2	3.7996999999999996	ECM-affiliated Proteins	Matrisome-associated
SFTPD	2.9555000000000007	ECM-affiliated Proteins	Matrisome-associated
TLL2	3.0462000000000002	ECM Regulators	Matrisome-associated
SFRP5	3.0424	Secreted Factors	Matrisome-associated
FGF8	2.7676000000000003	Secreted Factors	Matrisome-associated
ADAM12	2.3810000000000002	ECM Regulators	Matrisome-associated
MUC5AC	2.4049999999999994	ECM-affiliated Proteins	Matrisome-associated
OTOG	6.0023	ECM Glycoproteins	Core matrisome
NELL1	2.1826	ECM Glycoproteins	Core matrisome
MDK	3.725	Secreted Factors	Matrisome-associated
F2	4.7243	ECM Regulators	Matrisome-associated
CNTF	2.4372	Secreted Factors	Matrisome-associated
ZP1	2.083	ECM Glycoproteins	Core matrisome
IGF2	2.3529	Secreted Factors	Matrisome-associated
SCUBE2	2.5995999999999997	Secreted Factors	Matrisome-associated
BDNF	2.586	Secreted Factors	Matrisome-associated
PRG2	2.7445	Proteoglycans	Core matrisome
CLCF1	2.2735	Secreted Factors	Matrisome-associated
ANGPTL5	2.5976999999999997	Secreted Factors	Matrisome-associated
MMP10	3.2497000000000003	ECM Regulators	Matrisome-associated
MMP12	2.6832	ECM Regulators	Matrisome-associated
ADAMTS8	4.1361	ECM Regulators	Matrisome-associated
CLEC4D	3.3477	ECM-affiliated Proteins	Matrisome-associated
A2ML1	4.205	ECM Regulators	Matrisome-associated
CLEC9A	2.2651	ECM-affiliated Proteins	Matrisome-associated
INHBC	2.7243	Secreted Factors	Matrisome-associated
INHBE	3.4899	Secreted Factors	Matrisome-associated
MMP17	2.2371	ECM Regulators	Matrisome-associated
VWF	2.5647	ECM Glycoproteins	Core matrisome
CLEC4E	2.5825	ECM-affiliated Proteins	Matrisome-associated
MFAP5	2.9196	ECM Glycoproteins	Core matrisome
CLEC1A	2.8794	ECM-affiliated Proteins	Matrisome-associated
ADAMTS20	3.7947000000000006	ECM Regulators	Matrisome-associated
DHH	2.4721	Secreted Factors	Matrisome-associated
MMP19	2.2156000000000002	ECM Regulators	Matrisome-associated
WIF1	4.4008	Secreted Factors	Matrisome-associated
NTN4	2.5431999999999997	ECM Glycoproteins	Core matrisome
GPC5	3.4255	ECM-affiliated Proteins	Matrisome-associated
F7	5.3658	ECM Regulators	Matrisome-associated
ADAM21	2.0652999999999997	ECM Regulators	Matrisome-associated
SERPINA3	4.2249	ECM Regulators	Matrisome-associated
CTSG	2.1319	ECM Regulators	Matrisome-associated
SFTA3	2.0023	ECM-affiliated Proteins	Matrisome-associated
FBLN5	2.3886	ECM Glycoproteins	Core matrisome
SERPINA10	2.5452000000000004	ECM Regulators	Matrisome-associated
SERPINA1	2.8353	ECM Regulators	Matrisome-associated
GREM1	3.9962	ECM-affiliated Proteins	Matrisome-associated
THBS1	2.1311999999999998	ECM Glycoproteins	Core matrisome
SEMA6D	3.41	ECM-affiliated Proteins	Matrisome-associated
GLDN	3.1298	ECM Glycoproteins	Core matrisome
ADAMTSL3	2.4309000000000003	ECM Regulators	Matrisome-associated
CILP	3.0256	ECM Glycoproteins	Core matrisome
NTN3	3.0564	ECM Glycoproteins	Core matrisome
MMP25	2.7551	ECM Regulators	Matrisome-associated
CLEC19A	3.2605999999999997	ECM-affiliated Proteins	Matrisome-associated
VWA3A	2.879	ECM Glycoproteins	Core matrisome
CX3CL1	4.5851	Secreted Factors	Matrisome-associated
CCL17	2.0229	Secreted Factors	Matrisome-associated
CRISPLD2	2.0862000000000003	ECM Glycoproteins	Core matrisome
CBLN1	2.0127	Secreted Factors	Matrisome-associated
FGF11	5.5969	Secreted Factors	Matrisome-associated
LGALS9C	2.7675000000000005	ECM-affiliated Proteins	Matrisome-associated
CCL2	4.248799999999999	Secreted Factors	Matrisome-associated
CCL11	2.1826	Secreted Factors	Matrisome-associated
CCL8	2.0620000000000003	Secreted Factors	Matrisome-associated
CCL18	2.6413	Secreted Factors	Matrisome-associated
CCL4	3.175	Secreted Factors	Matrisome-associated
CCL4L2	2.5152	Secreted Factors	Matrisome-associated
CSF3	5.7067	Secreted Factors	Matrisome-associated
ADAM11	2.2096999999999998	ECM Regulators	Matrisome-associated
WFIKKN2	4.5907	Secreted Factors	Matrisome-associated
C1QTNF1	2.2427	ECM-affiliated Proteins	Matrisome-associated
MFAP4	2.8682	ECM Glycoproteins	Core matrisome
CCL16	3.5977	Secreted Factors	Matrisome-associated
CCL14	2.9902	Secreted Factors	Matrisome-associated
CCL23	2.5487	Secreted Factors	Matrisome-associated
CCL3	3.1744000000000003	Secreted Factors	Matrisome-associated
CCL3L3	2.0759999999999996	Secreted Factors	Matrisome-associated
COL1A1	3.3191999999999995	Collagens	Core matrisome
CHAD	3.2708	Proteoglycans	Core matrisome
FAM20A	2.0198	ECM Regulators	Matrisome-associated
SERPINB5	5.4685	ECM Regulators	Matrisome-associated
SERPINB12	2.1028000000000002	ECM Regulators	Matrisome-associated
SERPINB13	4.5977	ECM Regulators	Matrisome-associated
SERPINB7	5.3566	ECM Regulators	Matrisome-associated
SERPINB2	3.4754	ECM Regulators	Matrisome-associated
SERPINB8	2.7827	ECM Regulators	Matrisome-associated
CCBE1	2.8581	Secreted Factors	Matrisome-associated
SERPINB3	3.5722000000000005	ECM Regulators	Matrisome-associated
FSTL3	2.1505	Secreted Factors	Matrisome-associated
ELANE	3.4556	ECM Regulators	Matrisome-associated
AMH	2.4023	Secreted Factors	Matrisome-associated
NRTN	2.3702	Secreted Factors	Matrisome-associated
CLEC4M	3.1826	ECM-affiliated Proteins	Matrisome-associated
CILP2	5.0027	ECM Glycoproteins	Core matrisome
ADAMTSL5	4.3167	ECM Regulators	Matrisome-associated
TNFSF14	3.0946	Secreted Factors	Matrisome-associated
MUC16	3.2258	ECM-affiliated Proteins	Matrisome-associated
CPAMD8	3.3245	ECM Regulators	Matrisome-associated
HAPLN4	2.4024	Proteoglycans	Core matrisome
LGALS4	2.3872	ECM-affiliated Proteins	Matrisome-associated
CLC	2.2701000000000002	ECM-affiliated Proteins	Matrisome-associated
NTF4	3.2096999999999998	Secreted Factors	Matrisome-associated
BMP2	3.7180999999999997	Secreted Factors	Matrisome-associated
PI3	2.991	ECM Regulators	Matrisome-associated
MMP9	2.7779000000000003	ECM Regulators	Matrisome-associated
COL20A1	4.309200000000001	Collagens	Core matrisome
ANGPT4	4.0658	Secreted Factors	Matrisome-associated
ADAM33	2.8219	ECM Regulators	Matrisome-associated
CST1	4.309200000000001	ECM Regulators	Matrisome-associated
CST5	5.0571	ECM Regulators	Matrisome-associated
SLPI	3.0039000000000007	ECM Regulators	Matrisome-associated
SDC4	2.0223000000000004	ECM-affiliated Proteins	Matrisome-associated
CBLN4	3.1826	Secreted Factors	Matrisome-associated
BMP7	3.4848999999999997	Secreted Factors	Matrisome-associated
ADAMTS1	3.0324999999999998	ECM Regulators	Matrisome-associated
SERPIND1	2.0259	ECM Regulators	Matrisome-associated
MMP11	4.5279	ECM Regulators	Matrisome-associated
TIMP3	2.2243999999999993	ECM Regulators	Matrisome-associated
LIF	2.7794	Secreted Factors	Matrisome-associated
OSM	2.7315	Secreted Factors	Matrisome-associated
C1QTNF6	3.7562	ECM-affiliated Proteins	Matrisome-associated
ELFN2	2.6637000000000004	ECM-affiliated Proteins	Matrisome-associated
SCUBE1	3.7698	Secreted Factors	Matrisome-associated
WNT7B	2.9785	Secreted Factors	Matrisome-associated
S100G	2.4023	Secreted Factors	Matrisome-associated
PLXNB3	2.2874	ECM-affiliated Proteins	Matrisome-associated
SRPX	3.0641000000000003	ECM Glycoproteins	Core matrisome
COL4A6	2.7445	Collagens	Core matrisome
CHRDL1	3.1768	Secreted Factors	Matrisome-associated
GPC3	2.9563000000000006	ECM-affiliated Proteins	Matrisome-associated
