name	prize	Category	Division
AGRN	2.0483	ECM Glycoproteins	Core matrisome
VWA5B1	3.3556000000000004	ECM Glycoproteins	Core matrisome
NTNG1	4.8604	ECM Glycoproteins	Core matrisome
FNDC7	2.2883000000000004	ECM Glycoproteins	Core matrisome
ECM1	2.4167	ECM Glycoproteins	Core matrisome
ADAMTSL4	2.0193	ECM Regulators	Matrisome-associated
HAPLN2	2.5513	Proteoglycans	Core matrisome
BCAN	2.8625	Proteoglycans	Core matrisome
PAPPA2	2.212	ECM Regulators	Matrisome-associated
PRG4	3.9632	Proteoglycans	Core matrisome
IL19	2.2883	Secreted Factors	Matrisome-associated
WNT3A	4.331300000000001	Secreted Factors	Matrisome-associated
MFAP2	2.3471	ECM Glycoproteins	Core matrisome
FCN3	6.947500000000001	ECM-affiliated Proteins	Matrisome-associated
COL8A2	2.873	Collagens	Core matrisome
RSPO1	3.7092	ECM Glycoproteins	Core matrisome
COL9A2	3.3084000000000007	Collagens	Core matrisome
COL11A1	6.957400000000001	Collagens	Core matrisome
CTSK	3.0112999999999994	ECM Regulators	Matrisome-associated
S100A12	4.1765	Secreted Factors	Matrisome-associated
S100A8	3.0195	Secreted Factors	Matrisome-associated
S100A3	3.8619999999999997	Secreted Factors	Matrisome-associated
ITLN1	4.7201	ECM-affiliated Proteins	Matrisome-associated
ITLN2	7.1068999999999996	ECM-affiliated Proteins	Matrisome-associated
ADAMTS4	2.5552	ECM Regulators	Matrisome-associated
TNR	5.1573	ECM Glycoproteins	Core matrisome
LEFTY2	3.0191999999999997	Secreted Factors	Matrisome-associated
TPO	3.2091999999999996	Secreted Factors	Matrisome-associated
COLEC11	2.6826	ECM-affiliated Proteins	Matrisome-associated
VIT	2.4357000000000006	ECM Glycoproteins	Core matrisome
VWA3B	3.5787	ECM Glycoproteins	Core matrisome
INHBB	3.0550999999999995	Secreted Factors	Matrisome-associated
COL3A1	3.8537	Collagens	Core matrisome
VWC2L	2.4518	Secreted Factors	Matrisome-associated
WNT6	2.8732	Secreted Factors	Matrisome-associated
WNT10A	4.2672	Secreted Factors	Matrisome-associated
CCL20	3.4773000000000005	Secreted Factors	Matrisome-associated
PXDN	2.0848999999999998	ECM Glycoproteins	Core matrisome
SDC1	2.644	ECM-affiliated Proteins	Matrisome-associated
SFTPB	2.5180000000000007	ECM-affiliated Proteins	Matrisome-associated
IL1A	3.3724999999999996	Secreted Factors	Matrisome-associated
IL1B	3.3145000000000002	Secreted Factors	Matrisome-associated
COL5A2	2.8403	Collagens	Core matrisome
IHH	6.6484	Secreted Factors	Matrisome-associated
COL6A3	2.7743	Collagens	Core matrisome
TGM4	2.4121	ECM Regulators	Matrisome-associated
CLEC3B	5.0156	ECM-affiliated Proteins	Matrisome-associated
SEMA3B	2.7209999999999996	ECM-affiliated Proteins	Matrisome-associated
ITIH1	2.5512999999999995	ECM Regulators	Matrisome-associated
COL8A1	2.1934000000000005	Collagens	Core matrisome
ZPLD1	7.832599999999999	ECM Glycoproteins	Core matrisome
COL6A6	3.7589999999999995	Collagens	Core matrisome
