name	prize	Category	Division
CELA2A	4.135199999999999	ECM Regulators	Matrisome-associated
CELA2B	3.0197	ECM Regulators	Matrisome-associated
VWA5B1	4.1350999999999996	ECM Glycoproteins	Core matrisome
BMP8A	3.0734	Secreted Factors	Matrisome-associated
NTNG1	5.615	ECM Glycoproteins	Core matrisome
FNDC7	2.8497999999999997	ECM Glycoproteins	Core matrisome
WNT2B	2.5638	Secreted Factors	Matrisome-associated
HAPLN2	3.2421	Proteoglycans	Core matrisome
XCL1	2.8942	Secreted Factors	Matrisome-associated
PRG4	4.499700000000001	Proteoglycans	Core matrisome
PRELP	2.1932	Proteoglycans	Core matrisome
TGFB2	2.631	Secreted Factors	Matrisome-associated
MASP2	2.7115	ECM Regulators	Matrisome-associated
MFAP2	2.2683	ECM Glycoproteins	Core matrisome
FCN3	6.306	ECM-affiliated Proteins	Matrisome-associated
COL8A2	2.1243	Collagens	Core matrisome
RSPO1	6.3982	ECM Glycoproteins	Core matrisome
COL9A2	4.3285	Collagens	Core matrisome
COL11A1	7.753399999999999	Collagens	Core matrisome
RPTN	2.1503000000000005	Secreted Factors	Matrisome-associated
S100A12	4.5222	Secreted Factors	Matrisome-associated
S100A8	2.944	Secreted Factors	Matrisome-associated
S100A3	2.5797999999999996	Secreted Factors	Matrisome-associated
S100A2	3.0997000000000003	Secreted Factors	Matrisome-associated
MUC1	3.1344	ECM-affiliated Proteins	Matrisome-associated
ITLN1	8.0469	ECM-affiliated Proteins	Matrisome-associated
ITLN2	7.5257000000000005	ECM-affiliated Proteins	Matrisome-associated
TNR	5.685700000000001	ECM Glycoproteins	Core matrisome
ANGPTL1	2.3948	Secreted Factors	Matrisome-associated
BRINP3	2.7201	Secreted Factors	Matrisome-associated
VIT	3.8039999999999994	ECM Glycoproteins	Core matrisome
REG1A	2.1502999999999997	ECM-affiliated Proteins	Matrisome-associated
COL3A1	2.7985999999999995	Collagens	Core matrisome
ADAM23	2.5111	ECM Regulators	Matrisome-associated
IGFBP2	2.1313000000000004	ECM Glycoproteins	Core matrisome
INHA	2.0678	Secreted Factors	Matrisome-associated
COL4A3	2.4497000000000004	Collagens	Core matrisome
CCL20	2.2877	Secreted Factors	Matrisome-associated
CLEC4F	3.7184999999999997	ECM-affiliated Proteins	Matrisome-associated
ASTL	2.1715999999999998	ECM Regulators	Matrisome-associated
IL1A	2.7662	Secreted Factors	Matrisome-associated
COL5A2	2.2647000000000004	Collagens	Core matrisome
IHH	3.7566	Secreted Factors	Matrisome-associated
