name	prize	Category	Division
CELA2A	2.9594	ECM Regulators	Matrisome-associated
CELA2B	2.7801	ECM Regulators	Matrisome-associated
NTNG1	2.5773	ECM Glycoproteins	Core matrisome
S100A9	3.1435000000000004	Secreted Factors	Matrisome-associated
HAPLN2	3.4999	Proteoglycans	Core matrisome
WNT3A	2.7512	Secreted Factors	Matrisome-associated
MFAP2	2.9953999999999996	ECM Glycoproteins	Core matrisome
FCN3	6.208	ECM-affiliated Proteins	Matrisome-associated
COL8A2	3.0004999999999997	Collagens	Core matrisome
COL11A1	8.1365	Collagens	Core matrisome
REG4	10.068000000000001	ECM-affiliated Proteins	Matrisome-associated
CTSK	2.9737	ECM Regulators	Matrisome-associated
CRNN	3.9593999999999996	Secreted Factors	Matrisome-associated
S100A12	5.95	Secreted Factors	Matrisome-associated
S100A8	4.600300000000001	Secreted Factors	Matrisome-associated
S100A3	3.4972000000000003	Secreted Factors	Matrisome-associated
ITLN1	2.4442000000000004	ECM-affiliated Proteins	Matrisome-associated
ITLN2	2.1136	ECM-affiliated Proteins	Matrisome-associated
SERPINC1	2.2003999999999997	ECM Regulators	Matrisome-associated
TNR	4.4204	ECM Glycoproteins	Core matrisome
CTSE	5.7363	ECM Regulators	Matrisome-associated
TPO	2.4668	Secreted Factors	Matrisome-associated
VIT	2.0004	ECM Glycoproteins	Core matrisome
VWA3B	2.7824	ECM Glycoproteins	Core matrisome
COL3A1	4.5788	Collagens	Core matrisome
WNT10A	2.4189	Secreted Factors	Matrisome-associated
ASTL	3.8219	ECM Regulators	Matrisome-associated
IL1B	2.0732	Secreted Factors	Matrisome-associated
FRZB	2.7405999999999997	Secreted Factors	Matrisome-associated
COL5A2	3.4155999999999995	Collagens	Core matrisome
SERPINE2	2.3905000000000003	ECM Regulators	Matrisome-associated
COL6A3	2.1505	Collagens	Core matrisome
TGM4	3.9262	ECM Regulators	Matrisome-associated
CLEC3B	2.0952	ECM-affiliated Proteins	Matrisome-associated
TDGF1	2.9594000000000005	Secreted Factors	Matrisome-associated
ITIH1	2.3745000000000003	ECM Regulators	Matrisome-associated
COL8A1	2.5323	Collagens	Core matrisome
ZPLD1	3.3074000000000003	ECM Glycoproteins	Core matrisome
COL6A6	2.0846999999999998	Collagens	Core matrisome
IL12A	2.4798	Secreted Factors	Matrisome-associated
COL7A1	2.9693	Collagens	Core matrisome
SEMA3G	3.0537000000000005	ECM-affiliated Proteins	Matrisome-associated
WNT5A	2.4867	Secreted Factors	Matrisome-associated
MUC13	5.5722000000000005	ECM-affiliated Proteins	Matrisome-associated
KY	3.7072	ECM Regulators	Matrisome-associated
IGSF10	2.7693	ECM Glycoproteins	Core matrisome
SERPINI2	3.8959	ECM Regulators	Matrisome-associated
HGFAC	3.6699	Secreted Factors	Matrisome-associated
S100P	4.0839	Secreted Factors	Matrisome-associated
PF4V1	3.8922999999999996	Secreted Factors	Matrisome-associated
EPGN	2.9671000000000003	Secreted Factors	Matrisome-associated
AREG	2.3153	Secreted Factors	Matrisome-associated
CXCL13	3.8305999999999996	Secreted Factors	Matrisome-associated
MEPE	4.3073999999999995	ECM Glycoproteins	Core matrisome
SPP1	7.3613	ECM Glycoproteins	Core matrisome
HHIP	3.4137	Secreted Factors	Matrisome-associated
FGB	2.6699	ECM Glycoproteins	Core matrisome
ANXA10	9.2641	ECM-affiliated Proteins	Matrisome-associated
ADAM29	2.5544000000000002	ECM Regulators	Matrisome-associated
FGFBP2	3.8091	Secreted Factors	Matrisome-associated
LGI2	2.069	ECM Glycoproteins	Core matrisome
PF4	5.54	Secreted Factors	Matrisome-associated
PPBP	8.0974	Secreted Factors	Matrisome-associated
CXCL5	2.2861000000000002	Secreted Factors	Matrisome-associated
CXCL2	3.1693	Secreted Factors	Matrisome-associated
ADAMTS16	4.4418	ECM Regulators	Matrisome-associated
EGFLAM	2.4165	ECM Glycoproteins	Core matrisome
FST	2.0719	Secreted Factors	Matrisome-associated
VCAN	2.6316999999999995	Proteoglycans	Core matrisome
MEGF10	2.0405999999999995	Secreted Factors	Matrisome-associated
ADAMTS12	2.0280000000000005	ECM Regulators	Matrisome-associated
GDNF	5.7095	Secreted Factors	Matrisome-associated
FGF10	2.5995	Secreted Factors	Matrisome-associated
HAPLN1	2.2725999999999997	Proteoglycans	Core matrisome
SEMA6A	2.9017	ECM-affiliated Proteins	Matrisome-associated
IL5	2.2077999999999998	Secreted Factors	Matrisome-associated
CXCL14	3.3107	Secreted Factors	Matrisome-associated
HBEGF	2.5559000000000003	Secreted Factors	Matrisome-associated
