name	prize	Category	Division
CELA2B	2.17	ECM Regulators	Matrisome-associated
TINAGL1	2.4605	ECM Glycoproteins	Core matrisome
NTNG1	5.3216	ECM Glycoproteins	Core matrisome
ECM1	3.2064999999999997	ECM Glycoproteins	Core matrisome
XCL1	3.3945	Secreted Factors	Matrisome-associated
FASLG	2.7034	Secreted Factors	Matrisome-associated
PRG4	4.5161999999999995	Proteoglycans	Core matrisome
IL20	4.4456	Secreted Factors	Matrisome-associated
WNT3A	3.9856999999999996	Secreted Factors	Matrisome-associated
FCN3	7.8988	ECM-affiliated Proteins	Matrisome-associated
COL8A2	2.3754999999999997	Collagens	Core matrisome
RSPO1	4.1434999999999995	ECM Glycoproteins	Core matrisome
COL11A1	7.7317	Collagens	Core matrisome
REG4	3.7783999999999995	ECM-affiliated Proteins	Matrisome-associated
TCHHL1	3.7784	Secreted Factors	Matrisome-associated
S100A12	3.5544	Secreted Factors	Matrisome-associated
S100A8	2.6043999999999996	Secreted Factors	Matrisome-associated
S100A3	2.0236	Secreted Factors	Matrisome-associated
MUC1	2.3604000000000003	ECM-affiliated Proteins	Matrisome-associated
ITLN1	8.6377	ECM-affiliated Proteins	Matrisome-associated
ITLN2	8.9398	ECM-affiliated Proteins	Matrisome-associated
XCL2	3.6225	Secreted Factors	Matrisome-associated
DPT	2.8155	ECM Glycoproteins	Core matrisome
TNR	4.7383	ECM Glycoproteins	Core matrisome
CTSE	3.4131	ECM Regulators	Matrisome-associated
IL10	2.2846	Secreted Factors	Matrisome-associated
LEFTY2	3.1509	Secreted Factors	Matrisome-associated
WNT9A	2.6756	Secreted Factors	Matrisome-associated
AGT	2.2426	ECM Regulators	Matrisome-associated
COLEC11	2.2599	ECM-affiliated Proteins	Matrisome-associated
VIT	2.1350000000000002	ECM Glycoproteins	Core matrisome
VWA3B	7.688	ECM Glycoproteins	Core matrisome
IL1F10	2.6628999999999996	Secreted Factors	Matrisome-associated
TNFAIP6	2.2363999999999997	ECM Glycoproteins	Core matrisome
COL3A1	2.501899999999999	Collagens	Core matrisome
CCL20	2.7784	Secreted Factors	Matrisome-associated
C1QL2	6.8593	ECM-affiliated Proteins	Matrisome-associated
COL5A2	2.1118999999999994	Collagens	Core matrisome
SERPINE2	2.0715	ECM Regulators	Matrisome-associated
TGM4	2.4639	ECM Regulators	Matrisome-associated
CLEC3B	5.6075	ECM-affiliated Proteins	Matrisome-associated
TDGF1	4.0095	Secreted Factors	Matrisome-associated
SEMA3B	3.5611999999999995	ECM-affiliated Proteins	Matrisome-associated
COL6A5	4.4145	Collagens	Core matrisome
COL6A6	5.2652	Collagens	Core matrisome
WNT7A	6.4735000000000005	Secreted Factors	Matrisome-associated
CSPG5	2.2304000000000004	ECM-affiliated Proteins	Matrisome-associated
HYAL1	4.134799999999999	ECM Regulators	Matrisome-associated
HYAL2	2.3945	ECM Regulators	Matrisome-associated
SEMA3G	4.4616	ECM-affiliated Proteins	Matrisome-associated
ABI3BP	2.9019	ECM Glycoproteins	Core matrisome
IGSF10	4.3266	ECM Glycoproteins	Core matrisome
SERPINI2	5.147	ECM Regulators	Matrisome-associated
MASP1	5.0786	ECM Regulators	Matrisome-associated
MUC4	2.2656	ECM-affiliated Proteins	Matrisome-associated
SLIT2	2.5	ECM Glycoproteins	Core matrisome
EPGN	2.2439	Secreted Factors	Matrisome-associated
EREG	2.0376	Secreted Factors	Matrisome-associated
BMP3	2.2303	Secreted Factors	Matrisome-associated
DSPP	2.9785	ECM Glycoproteins	Core matrisome
DMP1	4.1114	ECM Glycoproteins	Core matrisome
IBSP	3.23	ECM Glycoproteins	Core matrisome
MEPE	2.677	ECM Glycoproteins	Core matrisome
SPP1	6.8175	ECM Glycoproteins	Core matrisome
MMRN1	4.987299999999999	ECM Glycoproteins	Core matrisome
NPNT	3.8320000000000003	ECM Glycoproteins	Core matrisome
FGF2	2.4642	Secreted Factors	Matrisome-associated
FGB	3.8853	ECM Glycoproteins	Core matrisome
ADAM29	4.3549999999999995	ECM Regulators	Matrisome-associated
FGFBP2	6.4573	Secreted Factors	Matrisome-associated
PF4	3.6946000000000003	Secreted Factors	Matrisome-associated
CXCL5	2.5036	Secreted Factors	Matrisome-associated
SPARCL1	2.406999999999999	ECM Glycoproteins	Core matrisome
EMCN	3.5619	ECM-affiliated Proteins	Matrisome-associated
IL2	2.585	Secreted Factors	Matrisome-associated
FGA	4.5078	ECM Glycoproteins	Core matrisome
FGG	6.3868	ECM Glycoproteins	Core matrisome
SPOCK3	2.3547000000000002	Proteoglycans	Core matrisome
ADAMTS16	2.0529	ECM Regulators	Matrisome-associated
VCAN	2.1573999999999995	Proteoglycans	Core matrisome
MEGF10	5.0951	Secreted Factors	Matrisome-associated
GDNF	3.9525000000000006	Secreted Factors	Matrisome-associated
FGF10	2.5587999999999997	Secreted Factors	Matrisome-associated
HAPLN1	3.3192999999999997	Proteoglycans	Core matrisome
SEMA6A	3.9033	ECM-affiliated Proteins	Matrisome-associated
IL5	2.524	Secreted Factors	Matrisome-associated
CXCL14	3.0502000000000002	Secreted Factors	Matrisome-associated
SPOCK1	2.296	Proteoglycans	Core matrisome
SLIT3	2.0368000000000004	ECM Glycoproteins	Core matrisome
BMP6	2.3586	Secreted Factors	Matrisome-associated
MUC21	4.336	ECM-affiliated Proteins	Matrisome-associated
RSPO3	2.4208	ECM Glycoproteins	Core matrisome
FNDC1	4.536300000000001	ECM Glycoproteins	Core matrisome
PLG	2.7294	ECM Regulators	Matrisome-associated
SFTA2	2.5896	ECM-affiliated Proteins	Matrisome-associated
TNXB	3.0095	ECM Glycoproteins	Core matrisome
BMP5	5.2968	Secreted Factors	Matrisome-associated
LAMA4	2.0138	ECM Glycoproteins	Core matrisome
COL10A1	3.4845	Collagens	Core matrisome
LPA	2.8289	ECM Regulators	Matrisome-associated
THBS2	3.6744	ECM Glycoproteins	Core matrisome
IL6	4.6573	Secreted Factors	Matrisome-associated
BMPER	4.782500000000001	ECM Glycoproteins	Core matrisome
VWC2	3.0595999999999997	Secreted Factors	Matrisome-associated
PRSS1	2.2440000000000007	ECM Regulators	Matrisome-associated
PRSS2	2.7294	ECM Regulators	Matrisome-associated
CCL24	2.9616	Secreted Factors	Matrisome-associated
SEMA3E	4.0928	ECM-affiliated Proteins	Matrisome-associated
SEMA3D	2.1145	ECM-affiliated Proteins	Matrisome-associated
RELN	3.6841999999999997	ECM Glycoproteins	Core matrisome
WNT2	2.1213	Secreted Factors	Matrisome-associated
PTN	2.4421999999999997	Secreted Factors	Matrisome-associated
CLEC5A	2.0518	ECM-affiliated Proteins	Matrisome-associated
FGF17	4.779999999999999	Secreted Factors	Matrisome-associated
NRG1	3.1022	Secreted Factors	Matrisome-associated
MATN2	2.0347000000000004	ECM Glycoproteins	Core matrisome
CTHRC1	3.1235999999999997	ECM Glycoproteins	Core matrisome
COLEC10	3.1598	ECM-affiliated Proteins	Matrisome-associated
WISP1	2.4092	ECM Glycoproteins	Core matrisome
LGI3	3.5945	ECM Glycoproteins	Core matrisome
SFRP1	3.1447000000000003	Secreted Factors	Matrisome-associated
ANGPT1	3.5281000000000002	Secreted Factors	Matrisome-associated
COL22A1	4.5397	Collagens	Core matrisome
HMCN2	2.8208	ECM Glycoproteins	Core matrisome
LAMC3	3.4775	ECM Glycoproteins	Core matrisome
COL5A1	2.1024000000000003	Collagens	Core matrisome
EGFL7	2.094	Secreted Factors	Matrisome-associated
FREM1	2.9559	ECM-affiliated Proteins	Matrisome-associated
CCL21	4.2013	Secreted Factors	Matrisome-associated
SVEP1	2.8409	ECM Glycoproteins	Core matrisome
TNFSF15	2.6213999999999995	Secreted Factors	Matrisome-associated
TNC	3.1718999999999995	ECM Glycoproteins	Core matrisome
FCN1	2.8641	ECM-affiliated Proteins	Matrisome-associated
ITIH2	2.7824	ECM Regulators	Matrisome-associated
ANXA8L1	9.2462	ECM-affiliated Proteins	Matrisome-associated
GDF10	4.7324	Secreted Factors	Matrisome-associated
COL13A1	2.2503	Collagens	Core matrisome
ADAMTS14	4.2405	ECM Regulators	Matrisome-associated
NRG3	4.0195	Secreted Factors	Matrisome-associated
WNT8B	2.0688999999999997	Secreted Factors	Matrisome-associated
TECTB	2.0779	ECM Glycoproteins	Core matrisome
HABP2	7.3349	ECM Regulators	Matrisome-associated
DMBT1	4.450799999999999	ECM Glycoproteins	Core matrisome
ITIH5	2.5027	ECM Regulators	Matrisome-associated
CXCL12	2.5100999999999996	Secreted Factors	Matrisome-associated
ANXA8	6.0942	ECM-affiliated Proteins	Matrisome-associated
SPOCK2	4.7172	Proteoglycans	Core matrisome
SFTPA2	2.610199999999999	ECM-affiliated Proteins	Matrisome-associated
MMRN2	2.9126000000000003	ECM Glycoproteins	Core matrisome
HPSE2	2.4208	ECM Regulators	Matrisome-associated
COL17A1	4.2861	Collagens	Core matrisome
MUC5B	5.453	ECM-affiliated Proteins	Matrisome-associated
NELL1	2.7294000000000005	ECM Glycoproteins	Core matrisome
CTSW	2.4643999999999995	ECM Regulators	Matrisome-associated
CST6	2.7989	ECM Regulators	Matrisome-associated
ADAMTS15	2.6441	ECM Regulators	Matrisome-associated
SCUBE2	3.4435000000000002	Secreted Factors	Matrisome-associated
PRG2	3.2532	Proteoglycans	Core matrisome
ANGPTL5	2.4414	Secreted Factors	Matrisome-associated
MMP7	4.9928	ECM Regulators	Matrisome-associated
MMP10	2.3999	ECM Regulators	Matrisome-associated
MMP1	3.9116	ECM Regulators	Matrisome-associated
MMP3	2.4930000000000003	ECM Regulators	Matrisome-associated
MMP12	4.3023	ECM Regulators	Matrisome-associated
MMP13	4.0255	ECM Regulators	Matrisome-associated
ADAMTS8	3.9862	ECM Regulators	Matrisome-associated
CLEC9A	3.3503	ECM-affiliated Proteins	Matrisome-associated
IGFBP6	2.7508	ECM Glycoproteins	Core matrisome
MUCL1	6.4831	ECM-affiliated Proteins	Matrisome-associated
INHBE	2.3998999999999997	Secreted Factors	Matrisome-associated
VWF	3.5564999999999998	ECM Glycoproteins	Core matrisome
CLEC4E	3.1470000000000002	ECM-affiliated Proteins	Matrisome-associated
A2M	2.9409	ECM Regulators	Matrisome-associated
PZP	2.3617999999999997	ECM Regulators	Matrisome-associated
CLEC1A	3.4271	ECM-affiliated Proteins	Matrisome-associated
NELL2	2.2874	ECM Glycoproteins	Core matrisome
COL2A1	2.2479000000000005	Collagens	Core matrisome
WIF1	4.528	Secreted Factors	Matrisome-associated
IFNG	2.7965	Secreted Factors	Matrisome-associated
IL26	2.7965	Secreted Factors	Matrisome-associated
EPYC	5.2874	Proteoglycans	Core matrisome
F10	2.2635	ECM Regulators	Matrisome-associated
TGM1	2.5612	ECM Regulators	Matrisome-associated
CTSG	2.1395	ECM Regulators	Matrisome-associated
EGLN3	2.2887	ECM Regulators	Matrisome-associated
CLEC14A	3.6874000000000002	ECM-affiliated Proteins	Matrisome-associated
BMP4	2.2141	Secreted Factors	Matrisome-associated
FBLN5	2.2479	ECM Glycoproteins	Core matrisome
GREM1	2.9503	ECM-affiliated Proteins	Matrisome-associated
SEMA6D	2.8131999999999997	ECM-affiliated Proteins	Matrisome-associated
ADAMTSL3	2.3872	ECM Regulators	Matrisome-associated
ACAN	3.7933000000000003	Proteoglycans	Core matrisome
CILP	2.5434	ECM Glycoproteins	Core matrisome
MEGF11	2.1313999999999997	Secreted Factors	Matrisome-associated
NRG4	2.1445	Secreted Factors	Matrisome-associated
PCSK6	2.0383999999999998	ECM Regulators	Matrisome-associated
CLEC19A	2.7510000000000003	ECM-affiliated Proteins	Matrisome-associated
VWA3A	4.3901	ECM Glycoproteins	Core matrisome
ZP2	4.0920000000000005	ECM Glycoproteins	Core matrisome
CBLN1	3.1369000000000002	Secreted Factors	Matrisome-associated
FGF11	3.6128	Secreted Factors	Matrisome-associated
LGALS9C	2.5069999999999997	ECM-affiliated Proteins	Matrisome-associated
CCL7	2.5374	Secreted Factors	Matrisome-associated
CCL4	2.0446	Secreted Factors	Matrisome-associated
CSF3	3.7882999999999996	Secreted Factors	Matrisome-associated
WNT9B	2.396	Secreted Factors	Matrisome-associated
WFIKKN2	3.1700000000000004	Secreted Factors	Matrisome-associated
MFAP4	3.1742	ECM Glycoproteins	Core matrisome
LGALS9B	3.507	ECM-affiliated Proteins	Matrisome-associated
MMP28	2.0743	ECM Regulators	Matrisome-associated
CCL5	2.1825000000000006	Secreted Factors	Matrisome-associated
CCL16	5.7294	Secreted Factors	Matrisome-associated
CCL14	4.6716	Secreted Factors	Matrisome-associated
CCL15	4.0920000000000005	Secreted Factors	Matrisome-associated
CCL23	2.8345	Secreted Factors	Matrisome-associated
C1QL1	2.3815000000000004	ECM-affiliated Proteins	Matrisome-associated
COL1A1	4.0169	Collagens	Core matrisome
CCBE1	7.2931	Secreted Factors	Matrisome-associated
CBLN2	4.3483	Secreted Factors	Matrisome-associated
ELANE	2.3409999999999997	ECM Regulators	Matrisome-associated
CLEC4M	7.5145	ECM-affiliated Proteins	Matrisome-associated
GDF15	2.1881999999999997	Secreted Factors	Matrisome-associated
CILP2	6.012700000000001	ECM Glycoproteins	Core matrisome
LTBP4	2.8549999999999995	ECM Glycoproteins	Core matrisome
LRG1	2.3521	ECM Glycoproteins	Core matrisome
TNFSF14	2.5474	Secreted Factors	Matrisome-associated
FBN3	3.7700000000000005	ECM Glycoproteins	Core matrisome
MUC16	3.9288000000000003	ECM-affiliated Proteins	Matrisome-associated
PODNL1	2.4776	Proteoglycans	Core matrisome
COMP	8.233600000000001	ECM Glycoproteins	Core matrisome
LGI4	2.7672	ECM Glycoproteins	Core matrisome
LGALS4	4.0556	ECM-affiliated Proteins	Matrisome-associated
IL11	3.0780000000000003	Secreted Factors	Matrisome-associated
TGM3	4.0920000000000005	ECM Regulators	Matrisome-associated
CST7	2.4511000000000003	ECM Regulators	Matrisome-associated
MMP9	2.8244	ECM Regulators	Matrisome-associated
RSPO4	3.1184	ECM Glycoproteins	Core matrisome
ADAM33	2.2995	ECM Regulators	Matrisome-associated
CST2	4.2602	ECM Regulators	Matrisome-associated
CBLN4	3.0521000000000003	Secreted Factors	Matrisome-associated
BMP7	3.0133	Secreted Factors	Matrisome-associated
TMPRSS15	2.6628999999999996	ECM Regulators	Matrisome-associated
TSPEAR	3.9229	ECM Glycoproteins	Core matrisome
MMP11	5.4498	ECM Regulators	Matrisome-associated
FBLN1	2.2181999999999995	ECM Glycoproteins	Core matrisome
ELFN2	3.5376999999999996	ECM-affiliated Proteins	Matrisome-associated
SCUBE1	6.2417	Secreted Factors	Matrisome-associated
WNT7B	2.0606999999999998	Secreted Factors	Matrisome-associated
AMELX	3.7549	ECM Glycoproteins	Core matrisome
EGFL6	2.207	Secreted Factors	Matrisome-associated
S100G	2.1849	Secreted Factors	Matrisome-associated
PLXNB3	2.0578	ECM-affiliated Proteins	Matrisome-associated
MXRA5	2.0147000000000004	ECM Glycoproteins	Core matrisome
SRPX	2.2429999999999994	ECM Glycoproteins	Core matrisome
CHRDL1	2.8429	Secreted Factors	Matrisome-associated
GPC3	4.8733	ECM-affiliated Proteins	Matrisome-associated
