Covering_nodes,Total_nodes,Component_number,Terminal_coverage,w,b,g
115,180,1,1,2,2,2
115,154,1,1,2,2,3
115,159,1,1,2,2,4
115,211,2,1,2,2,5
115,180,1,1,2,3,2
115,154,1,1,2,3,3
115,159,1,1,2,3,4
115,211,2,1,2,3,5
115,180,1,1,2,4,2
115,154,1,1,2,4,3
115,159,1,1,2,4,4
115,211,2,1,2,4,5
115,180,1,1,2,5,2
115,154,1,1,2,5,3
115,159,1,1,2,5,4
115,211,2,1,2,5,5
115,180,1,1,3,2,2
115,154,1,1,3,2,3
115,159,1,1,3,2,4
115,214,1,1,3,2,5
115,180,1,1,3,3,2
115,154,1,1,3,3,3
115,159,1,1,3,3,4
115,214,1,1,3,3,5
115,180,1,1,3,4,2
115,154,1,1,3,4,3
115,159,1,1,3,4,4
115,214,1,1,3,4,5
115,180,1,1,3,5,2
115,154,1,1,3,5,3
115,159,1,1,3,5,4
115,214,1,1,3,5,5
115,180,1,1,4,2,2
115,154,1,1,4,2,3
115,159,1,1,4,2,4
115,214,1,1,4,2,5
115,180,1,1,4,3,2
115,154,1,1,4,3,3
115,159,1,1,4,3,4
115,214,1,1,4,3,5
115,180,1,1,4,4,2
115,154,1,1,4,4,3
115,159,1,1,4,4,4
115,214,1,1,4,4,5
115,180,1,1,4,5,2
115,154,1,1,4,5,3
115,159,1,1,4,5,4
115,214,1,1,4,5,5
115,180,1,1,5,2,2
115,154,1,1,5,2,3
115,159,1,1,5,2,4
115,214,1,1,5,2,5
115,180,1,1,5,3,2
115,154,1,1,5,3,3
115,159,1,1,5,3,4
115,214,1,1,5,3,5
115,180,1,1,5,4,2
115,154,1,1,5,4,3
115,159,1,1,5,4,4
115,214,1,1,5,4,5
115,180,1,1,5,5,2
115,154,1,1,5,5,3
115,159,1,1,5,5,4
115,214,1,1,5,5,5
