Hugo_Symbol	C3N-01021	C3L-00893	C3N-02002	C3N-00737	C3L-02345	C3N-02155	C3N-00738	C3N-02588	C3N-01024	C3L-01682	C3N-00223	C3L-02348	C3N-00167	C3N-00294	C3N-02423	C3N-02729	C3N-01071	C3N-01030	C3N-02003	C3N-01016	C3N-02572	C3N-00175	C3L-00412	C3L-01924	C3N-01413	C3N-02586	C3N-01842	C3N-02379	C3L-00279	C3L-00080	C3L-00913	C3N-01415	C3N-02000	C3N-02089	C3N-00559	C3N-01410	C3L-02365	C3N-02149	X11LU013	C3L-00095	C3L-00973	C3L-01330	C3N-01489	C3N-02087	C3N-02433	C3N-00959	C3N-01023	C3N-00560	C3N-02067	C3N-02529	C3N-02380	C3N-02158	C3N-00579	C3N-01416	C3N-00199	X11LU022	C3N-00556	C3N-00293	C3N-01799	C3N-00550	C3N-00203	C3L-00001	C3N-00217	C3L-00093	C3N-01405	C3N-00552	C3L-00009	C3L-00094	C3L-00604	C3N-00546	C3L-01862	C3N-00433	C3N-02421	C3N-02424	X11LU035	C3L-00263	C3L-02219	C3N-01414	C3N-00549	C3N-02587	C3L-01632	C3N-01074	C3N-01823	C3N-00547	C3N-00180	C3N-00578	C3L-00510	C3N-00574	C3N-01488	X11LU016	C3N-00572	C3L-02350	C3N-00704	C3L-01889	C3L-01683	C3L-00422	C3N-00169	C3L-00083	C3N-02145	C3L-01890	C3N-01072	C3N-00551	C3L-02508	C3N-02582	C3N-02422	C3L-02549	C3L-00368
hsa-miR-1284	1.0385	-0.5425	-3.7026	-0.6869	0.3454	0.1172	-0.3096	-0.839	-4.4912	-2.1147	-3.6131	0.2752	-0.4676	-0.6456	-1.7156	-0.4333	-0.7541	-0.6985	-1.4547	0.625	-1.9297	-5.0977	-0.7542	-1.6906	-1.1555	-3.2203	1.9934	0.4859	-0.6613	-2.5763	-0.9501	-3.3175	-1.1457	2.9408	-1.6534	-0.2844	-0.1777	0.2389	-0.1952	1.463	-1.3519	-0.3696	-0.3353	-4.1507	-0.0826	0.6657	1.4026	0.7088	-0.632	0.7678	-0.2392	0.8332	-1.0549	0.5006	0.1821	-1.5564	-1.0238	-3.0401	-0.3387	-2.5726	NA	-4.1428	1.3298	-1.9792	-1.0431	-6.0989	1.9109	0.9676	-4.4651	-0.7212	1.399	0.3124	-1.0661	-1.8123	-0.6577	-0.5968	-1.277	-0.6365	0.3871	-1.952	NA	1.2067	1.2274	-0.5568	1.8186	0.9769	-0.4722	2.6461	-1.2675	-4.7896	-2.3267	-0.8558	-7.9385	0.3417	-2.749	-3.2671	0.6521	-0.4974	0.2425	-7.207	-3.2789	1.2378	-0.1966	-0.918	-1.3378	-1.9378	-4.4792
hsa-miR-365b-5p	0.8984	-0.8112	-0.4394	-0.6725	-0.8179	0.2784	-0.4801	0.6765	-1.4522	-1.9821	-1.563	-1.7361	0.561	-3.5286	-4.5478	-1.4254	-2.7286	-0.4624	-0.9365	-0.3988	-1.9742	-2.0546	1.8583	-1.0257	-0.7385	-0.348	-4.0602	0.1949	0.3907	0.7611	-0.3747	-5.2969	-1.1128	1.0878	-0.9195	-2.2469	-0.9933	-1.2817	0.6992	1.9001	-1.3979	-0.2385	-0.3628	0.3744	-1.4123	-1.2833	-3.8035	0.7233	-3.5195	-0.2271	-3.9131	0.245	0.1302	-1.2061	-1.6179	-2.8306	-0.747	-2.3667	-2.7167	-2.438	-0.6161	-0.8792	0.5926	0.5911	-0.2044	0.3404	1.8159	-3.6438	-0.6209	-0.8319	2.6787	1.0973	-2.2431	-0.5196	-0.4091	-4.1498	-2.3827	-1.8712	NA	-1.8263	1.6904	-0.6286	-1.5537	-3.0889	-4.1759	0.354	-1.7134	3.5111	-3.696	-2.0787	0.1814	-2.4352	-3.243	-1.3113	-0.8877	-0.0912	-3.0503	-2.5586	-0.9235	-2.3779	1.5043	-2.282	-0.4847	-0.3879	-2.1727	-1.6371	-0.4623
hsa-miR-12136	-1.085	-1.4974	-0.8495	0.0938	0.4284	0.2339	0.325	-0.785	2.9711	0.0722	-1.3041	-1.7884	0.9067	0.8516	0.7265	-1.322	1.4373	0.1788	2.0457	0.923	-1.3947	-1.0339	0.5892	0.4278	-0.5904	-1.5613	0.3705	-0.7104	0.5189	-0.501	1.4068	0.3161	-0.6533	1.2261	0.8496	1.3643	-0.7399	0.6003	0.2482	0.7531	-1.6744	-0.6122	0.6942	0.7535	-0.9209	-0.124	1.4831	-0.0204	-0.5655	-0.9194	-1.3018	-0.9602	-0.4153	-1.0126	0.5125	-0.41	0.0315	-0.7628	-1.145	-0.1418	0.7742	-0.3762	-1.2836	-1.3164	-0.4838	2.1509	-1.0507	1.1618	-0.79	1.1215	0.1616	-1.0381	-0.5965	0.9663	0.4988	0.4762	-2.7118	0.6105	2.2895	-0.4611	-0.1434	1.4424	-0.8565	-0.0804	1.2737	0.3688	-0.5281	0.8768	0.8408	0.621	-0.7511	-1.5686	-0.5165	-2.7842	-0.7995	-0.3507	-0.158	1.3408	0.7309	1.7779	0.1972	0.8135	-1.1944	-1.7352	-0.6679	0.5689	-0.8545
hsa-miR-1262	-0.1483	-1.9245	-0.1691	-0.4564	-3.5963	0.9085	-1.5384	1.4127	NA	-0.6192	-2.8682	-0.4132	0.4182	0.8434	-0.5778	-0.8042	-3.0776	-0.4952	-0.3811	-1.6266	0.8683	-1.5212	0.9171	-2.0814	-0.2996	0.3768	3.7356	0.4096	-1.1308	2.9797	-4.8733	-0.7378	-0.1318	-3.3322	-1.1502	-2.5287	2.6237	-0.0808	0.3117	-0.1828	-0.7145	-0.4347	-1.0591	0.5412	-2.3662	1.5438	NA	0.54	-0.4942	0.0447	-0.2277	-1.67	-0.7903	-1.1573	1.1664	0.4464	-2.3232	-0.5286	-1.1565	-0.0505	-1.3854	-1.8491	-1.5851	0.6171	0.1891	0.8536	1.1946	0.5429	-2.9514	0.2763	NA	-0.7203	-2.5244	-0.3911	0.2199	0.1354	-0.1567	-3.4486	-0.0803	-2.8379	NA	-3.3806	-0.3907	-2.1402	-1.8018	-1.2125	0.8487	1.2053	0.9055	-1.2888	-1.693	-0.9066	0.2547	-1.6317	-0.8686	0.4017	-1.4769	-0.7474	1.3209	-1.1447	0.2052	-0.9917	-0.1001	-2.2871	-0.1384	-1.0452	1.2377
hsa-miR-5582-3p	NA	-4.1288	NA	-2.3858	-4.0606	-2.5948	-3.3713	-2.7254	-3.3274	-1.9495	NA	-4.1424	-3.3863	-0.9666	-3.354	-2.8205	-2.9052	-2.9756	NA	-3.515	-4.1836	NA	NA	NA	-3.4389	-2.4656	-3.0101	-2.512	-4.0425	-2.9216	-0.4108	-3.8824	-3.0192	1.3773	-3.2203	-2.1362	-2.0864	-2.3729	-2.0786	-2.7046	-2.35	NA	-1.4704	-2.3342	NA	NA	-2.8291	-1.9198	-3.4631	-3.9125	-2.0721	-2.6184	NA	-2.1001	NA	-1.7966	-2.9263	-3.1381	-2.5506	-3.5346	-2.3459	NA	NA	-2.9891	-1.6131	NA	-2.7641	-1.8821	NA	NA	NA	-2.0611	NA	-2.5649	-2.3722	-3.5613	-2.6613	-2.5692	-2.7188	-4.0793	NA	-1.7704	-2.0766	-3.6474	-1.2814	-3.9076	-3.608	NA	-4.0755	-3.9548	-3.9856	-4.2063	-2.78	NA	-2.2456	-2.9415	-3.9665	NA	-4.0574	NA	NA	NA	NA	NA	-3.2428	-2.1354	-3.8098
hsa-miR-29b-1-5p	-0.7995	-0.7355	0.5521	0.2573	-0.5838	-1.1645	1.2864	-0.5723	0.2065	0.1453	0.2317	0.0644	0.9774	1.463	-0.0072	-1.0892	1.0431	1.5724	0.0405	-1.9309	-0.9248	0.0444	0.2915	-2.0694	0.1756	-0.0648	0.3844	1.1646	-1.462	1.0327	0.0065	-0.2637	-1.2071	-0.997	-2.2891	-0.9539	0.8183	0.0545	0.1777	2.3475	0.1303	0.0807	0.1474	2.2542	-0.5557	0.1985	-0.7732	1.3635	1.1264	1.9617	-0.4052	0.4667	0.966	0.6824	-1.5367	1.7219	0.4105	-0.7684	0.6465	0.164	0.3126	0.1248	-0.9286	0.8684	2.0716	-0.3435	-0.2723	-0.4954	-1.9493	0.6253	0.7594	0.745	-0.4663	1.76	0.4576	-0.3105	-0.9082	-0.0996	-2.3506	0.2404	-0.5653	-0.7743	0.8367	-1.1431	-1.4225	0.3258	0.8733	0.4846	0.1213	-0.0059	1.2927	-0.068	1.3005	-0.2038	-0.1969	-0.3731	-1.0099	-1.0326	-1.2345	-1.7806	-1.3956	0.9582	-0.9494	0.6858	-0.7452	-0.2033	0.8799
hsa-miR-378i	-0.3472	-0.2802	0.0349	0.3014	-1.1848	-1.9232	1.017	-2.0882	0.7843	0.6204	-0.5976	0.0167	-0.3865	0.8303	-0.5364	0.644	1.1182	-0.4027	0.9651	-1.6274	-0.2498	0.1596	1.0761	-1.3411	0.6961	-0.3608	-2.0544	0.3481	-0.4921	-1.0446	-0.1373	-1.4683	-3.1987	0.1833	0.8119	-0.3178	-1.4672	-0.0014	-0.1004	0.9097	0.064	0.3864	0.3209	1.7447	0.5682	0.6969	-0.5413	0.9464	-0.3388	0.1311	0.526	0.3236	1.6882	0.8447	-0.5649	-1.5327	-0.2157	0.0855	-0.2529	0.4734	1.8054	-2.6181	-0.6335	1.1578	1.0082	0.5766	1.9385	-0.9854	-0.4381	0.9643	-1.3915	0.9565	-0.629	2.3576	1.9699	0.8331	-0.8303	-0.7831	-4.0146	0.4723	-2.44	-0.2726	0.5175	-0.0937	-1.6989	-0.495	-2.8383	-1.2081	-1.0051	0.9081	0.6505	-0.2928	-0.1616	-2.4687	2.0128	-0.338	-0.7003	1.7284	0.4074	-0.4068	-0.5063	-0.3284	0.7207	-0.3392	0.8292	-0.1219	-0.708
hsa-miR-1229-3p	0.3843	-1.5474	0.4534	0.0681	-3.394	2.3725	-2.3138	0.4712	-0.5579	-0.2875	-1.0819	-1.0074	2.0763	-1.6341	-2.0941	-2.038	0.4242	0.8374	-0.6198	-0.2328	1.352	0.74	-0.7959	0.7906	-0.3372	-3.8165	-0.8378	-1.657	0.2792	1.7853	-2.9122	-0.6863	-0.0074	3.772	0.0353	0.3237	-0.1391	-2.1837	1.4693	0.5154	-2.5831	1.7442	-1.4553	-1.2625	-0.298	-1.5598	-3.5061	-1.6244	0.7406	0.2594	0.2478	1.3133	0.0219	-0.7443	0.3108	-2.0564	-2.2646	-0.8934	-0.6981	0.8188	-2.1506	-0.6013	0.7206	-1.6436	-1.5772	-0.9278	-2.8233	-1.5053	-0.5886	-0.8084	-1.0352	-0.2687	0.6824	-1.3183	-1.0804	-2.0185	-1.0098	-1.3235	-0.1897	-1.2379	-4.3117	2.0962	-1.2155	-1.2512	0.3356	-0.5424	-0.3475	NA	-1.7798	-1.0842	0.8796	-2.3147	-0.6263	-0.5768	-1.7556	-1.0672	-0.2508	-2.8497	0.496	1.1865	NA	-0.9762	-1.4099	0.0469	-0.4535	0.013	-0.7952
hsa-miR-193a-5p	0.9753	0.3317	-0.1418	0.2374	0.3869	-0.7028	0.1289	0.6882	0.1857	-0.5712	-0.3238	-1.1287	1.7568	-0.6042	-0.4761	0.2444	1.2065	0.5431	-0.0962	-1.6131	0.2461	-0.508	2.6418	-1.1767	-0.3729	-0.1084	-0.902	0.5037	1.5945	0.7836	-1.2744	-1.5687	-0.3284	0.9487	-0.3323	-2.2112	-0.8001	0.0022	1.1654	1.6618	0.5241	-0.1345	-0.2142	0.8963	-0.2552	0.9733	-1.7222	0.5482	-0.9039	-0.6761	-0.7841	0.3655	1.1536	0.227	-0.1804	-0.6006	0.3078	-0.7844	-1.4762	0.2682	0.7604	0.6288	0.1069	1.4088	-0.9179	0.7193	2.3535	-0.574	-0.6007	1.1436	1.3786	1.5768	0.0608	-0.1985	-0.0907	-0.515	-0.6119	-1.2987	-0.8208	-0.3017	1.5125	0.0466	-1.0015	-2.0391	-1.2626	0.3023	-0.6312	2.5282	-0.4437	-0.6455	1.0545	-0.797	-0.5883	-2.5022	0.1368	1.0776	-1.3388	0.7245	-0.6539	-0.002	1.3738	-0.1162	-0.021	-0.3337	-1.1442	0.2431	1.7898
hsa-miR-454-3p	-0.351	-0.8445	-0.8944	1.553	-1.0629	2.9673	-0.453	1.2195	-0.8399	0.1255	-0.1963	0.8032	-0.335	0.3342	0.3128	0.5446	0.8251	0.9889	-0.6854	0.6707	0.3737	0.6543	-0.5689	1.6296	1.9168	-1.4503	0.5354	0.5775	-1.5753	1.1839	-0.0991	-0.3252	-0.313	0.2114	0.7729	0.7334	0.7347	0.1394	0.5575	-0.2756	-0.8626	0.4603	-0.7986	0.7997	-0.0007	-2.2929	0.6836	1.6194	-0.6086	1.0653	-0.0047	1.9005	0.5258	0.8474	0.5591	0.9768	-0.0168	-0.8892	0.9213	0.2378	-0.0994	0.3946	-0.5233	-0.2504	1.0218	-0.6888	0.1635	1.1598	0.3026	-2.1124	-1.4473	-0.7186	-1.0971	0.2803	-0.1708	-0.8417	-0.8096	0.3595	1.9681	-1.1865	-1.4242	0.719	-0.1938	0.7002	-0.0259	-1.0449	0.1456	0.1427	0.4719	0.4031	0.7283	0.1191	-0.7498	-2.539	-0.1723	-2.2847	1.6156	-0.7191	0.3344	-1.5921	-1.7834	0.7039	-0.6051	-0.1136	-1.4546	-0.7895	-1.5144
