Hugo_Symbol	C3N-01021	C3L-00893	C3N-02002	C3N-00737	C3L-02345	C3N-02155	C3N-00738	C3N-02588	C3N-01024	C3L-01682	C3N-00223	C3L-02348	C3N-00167	C3N-00294	C3N-02423	C3N-02729	C3N-01071	C3N-01030	C3N-02003	C3N-01016	C3N-02572	C3N-00175	C3L-00412	C3L-01924	C3N-01413	C3N-02586	C3N-01842	C3N-02379	C3L-00279	C3L-00080	C3L-00913	C3N-01415	C3N-02000	C3N-02089	C3N-00559	C3N-01410	C3L-02365	C3N-02149	X11LU013	C3L-00095	C3L-00973	C3L-01330	C3N-01489	C3N-02087	C3N-02433	C3N-00959	C3N-01023	C3N-00560	C3N-02067	C3N-02529	C3N-02380	C3N-02158	C3N-00579	C3N-01416	C3N-00199	X11LU022	C3N-00556	C3N-00293	C3N-01799	C3N-00550	C3N-00203	C3L-00001	C3N-00217	C3L-00093	C3N-01405	C3N-00552	C3L-00009	C3L-00094	C3L-00604	C3N-00546	C3L-01862	C3N-00433	C3N-02421	C3N-02424	X11LU035	C3L-00263	C3L-02219	C3N-01414	C3N-00549	C3N-02587	C3L-01632	C3N-01074	C3N-01823	C3N-00547	C3N-00180	C3N-00578	C3L-00510	C3N-00574	C3N-01488	X11LU016	C3N-00572	C3L-02350	C3N-00704	C3L-01889	C3L-01683	C3L-00422	C3N-00169	C3L-00083	C3N-02145	C3L-01890	C3N-01072	C3N-00551	C3L-02508	C3N-02582	C3N-02422	C3L-02549	C3L-00368
hsa-miR-1224-3p	-1.3526	NA	NA	-1.5107	-1.9331	NA	-3.6919	-3.5027	NA	NA	NA	-2.6162	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.4964	-2.1529	NA	-3.3045	-2.2699	NA	-2.5109	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.9275	NA	NA	-1.5371	-3.8019	NA	NA	NA	-2.5239	NA	NA	-3.8045	NA	NA	-3.7082	NA	-3.0479	NA	-0.2188	NA	NA	NA	NA	-2.907	-4.2096	NA	NA	NA	NA	NA	NA	-3.9197	NA	-2.7305	0.7906	NA	NA	NA	NA	NA	-0.7718	-1.0128	-2.3906	-2.6	NA	NA	-3.4282	-3.6927	NA	-3.5202	NA	-0.9544	-3.4053	-1.9896	NA	NA	NA	-2.7558	NA	NA	-4.1229	-3.2106	-2.2175
hsa-miR-5004-3p	NA	NA	NA	-3.0957	-1.9331	NA	NA	-2.5027	NA	NA	NA	-1.2943	NA	NA	NA	-2.6167	NA	-3.2176	NA	NA	NA	NA	NA	NA	-3.7729	NA	NA	NA	NA	NA	NA	-3.3045	NA	NA	NA	-3.5334	NA	NA	NA	NA	-2.4678	NA	NA	-3.0338	NA	NA	-2.042	NA	-2.8019	NA	-2.7196	NA	NA	-3.1682	NA	-3.8045	NA	-3.4124	-2.7082	-1.8877	NA	NA	NA	-3.8188	NA	-1.5389	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.3347	NA	NA	-1.9511	NA	NA	NA	-1.5682	NA	-3.6645	NA	NA	NA	NA	NA	NA	NA	-2.0944	NA	-3.1229	-2.2106	NA
hsa-miR-6833-5p	NA	NA	NA	NA	NA	-2.7612	NA	NA	NA	NA	-4.148	NA	-1.125	NA	-2.6712	-3.6167	NA	NA	-2.9403	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.5109	NA	NA	NA	NA	-0.5709	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.8045	NA	-2.4124	NA	NA	NA	-0.4444	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.7065	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.9756	NA	NA	NA	NA	NA	-3.5682	NA	NA	NA	NA	NA	NA	NA	NA	NA	-4.0944	NA	NA	NA	NA
hsa-miR-5685	-3.3526	-0.5999	-2.7831	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.8096	NA	NA	NA	NA	-2.9403	NA	NA	NA	NA	NA	NA	NA	-2.259	NA	NA	-3.7378	NA	-3.3045	NA	NA	-3.5109	NA	NA	-2.0802	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.8045	NA	-2.4124	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.1401	NA	NA	NA	-2.9756	NA	NA	NA	-3.4282	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-6866-3p	-0.7676	-2.0149	-1.7831	-1.0957	NA	0.0461	-1.1069	-2.5027	-1.6393	-1.7247	-2.148	-0.8089	0.197	-0.0022	-0.6712	-0.6167	0.4517	-0.2176	-2.9403	-2.8642	-1.0806	-1.2417	-1.8704	-2.3943	-0.7729	-2.3433	-1.259	-1.6619	-1.1745	-0.9305	-1.4654	-0.9826	-1.8549	NA	-1.5109	-3.5334	-2.4737	-0.0802	NA	-1.3078	-0.4678	-0.4206	NA	-0.7119	-1.9275	-0.8045	-1.042	-2.5371	-2.2169	-0.5333	-2.1347	-0.9822	-1.939	-0.8463	-2.1944	-0.3451	NA	-0.8274	-0.9009	-0.3028	NA	-1.4444	-0.2188	-3.8188	-2.1694	-0.9539	NA	-2.907	-1.4023	-1.2303	NA	-2.7065	-0.3604	-0.1404	-0.9094	-2.9197	-1.104	-0.5606	-2.9098	NA	-0.654	-1.3581	NA	-2.0229	NA	NA	0.2723	NA	NA	NA	-3.4282	-2.1077	-2.5682	NA	-2.0796	-2.1768	-0.8203	-2.9896	-1.9293	NA	NA	-0.4338	-0.5095	-0.962	NA	NA	NA
hsa-miR-6783-5p	NA	NA	NA	-3.0957	NA	-0.7612	NA	NA	NA	NA	NA	NA	-1.388	-2.8096	NA	NA	-2.1333	NA	NA	-2.8642	NA	-3.5636	NA	NA	-2.7729	NA	NA	NA	NA	NA	NA	NA	-1.8549	NA	NA	NA	-1.8888	-1.4952	NA	NA	NA	-1.8357	-0.4135	NA	NA	NA	NA	-0.9522	NA	-3.3406	NA	NA	-3.5239	NA	-1.1944	-2.2196	NA	NA	NA	-1.8877	NA	NA	NA	NA	NA	NA	NA	-2.907	NA	NA	NA	NA	-3.5303	NA	NA	-2.9197	NA	-2.7305	NA	NA	NA	NA	NA	-3.0229	-1.7718	NA	NA	NA	NA	NA	-1.8432	NA	NA	NA	NA	NA	NA	-2.9896	NA	NA	NA	NA	NA	-0.962	-3.1229	-2.2106	NA
hsa-miR-548y	-0.1827	NA	-1.7831	NA	-1.5181	NA	NA	-3.5027	NA	-3.3096	NA	NA	NA	NA	NA	-3.6167	1.3261	NA	NA	-2.8642	-2.0806	NA	NA	NA	NA	NA	1.599	NA	NA	NA	NA	-3.3045	-2.8549	-0.5852	NA	-3.5334	NA	-0.7582	NA	NA	NA	NA	-0.8989	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.8045	NA	NA	NA	-1.3028	NA	NA	NA	NA	1.29	NA	1.0359	NA	-4.2096	NA	NA	NA	NA	NA	NA	NA	NA	-3.7305	1.8975	NA	NA	0.9639	NA	NA	-0.0348	NA	-2.3906	NA	-3.536	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.0944	NA	NA	NA	NA
hsa-miR-7855-5p	NA	NA	NA	NA	NA	-2.7612	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.8957	NA	NA	NA	-3.5636	NA	NA	NA	-1.3433	NA	NA	NA	-2.7378	NA	NA	-2.2699	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.8725	-2.2196	NA	NA	NA	-2.8877	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.2084	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.1401	-1.4379	-3.3568	NA	NA	NA	-1.536	NA	-3.4282	NA	NA	NA	NA	NA	-2.4053	NA	NA	NA	NA	NA	NA	-1.225	NA	NA	NA
hsa-miR-4494	NA	NA	NA	NA	NA	NA	NA	NA	-2.6393	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.4964	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.7895	NA	-2.1682	NA	-2.8045	-3.1586	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.7065	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.3347	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-7-2-3p	NA	NA	NA	NA	NA	-2.7612	NA	-3.5027	NA	NA	-4.148	NA	NA	NA	NA	NA	NA	NA	NA	-1.8642	NA	NA	-2.8704	NA	NA	NA	NA	NA	NA	NA	NA	-1.7196	NA	-1.3222	NA	NA	NA	NA	NA	-1.8928	NA	NA	NA	-3.0338	-2.9275	NA	NA	-1.5371	NA	NA	-2.7196	NA	NA	-3.1682	NA	-2.8045	NA	NA	-3.7082	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.7065	NA	-2.7254	NA	NA	NA	NA	NA	NA	NA	NA	-2.1401	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.6645	NA	-2.4053	NA	NA	NA	NA	NA	NA	NA	-1.8009	NA	NA
