name	prize	Category	Division
IL16	6.9381	Secreted Factors	Matrisome-associated
SPP1	5.6462	ECM Glycoproteins	Core matrisome
FGA	6.1143	ECM Glycoproteins	Core matrisome
ANXA2	4.0748	ECM-affiliated Proteins	Matrisome-associated
HCFC1	3.0503	Secreted Factors	Matrisome-associated
MFAP1	4.7776	ECM Glycoproteins	Core matrisome
SPARCL1	4.6854	ECM Glycoproteins	Core matrisome
ANXA1	3.6587	ECM-affiliated Proteins	Matrisome-associated
PLG	4.9402	ECM Regulators	Matrisome-associated
ANXA6	4.3803	ECM-affiliated Proteins	Matrisome-associated
COL17A1	2.5	Collagens	Core matrisome
MXRA5	6.7731	ECM Glycoproteins	Core matrisome
ANXA5	4.0532	ECM-affiliated Proteins	Matrisome-associated
ZFP91	3.4518	Secreted Factors	Matrisome-associated
KNG1	3.8273	ECM Regulators	Matrisome-associated
FNDC1	2.5116	ECM Glycoproteins	Core matrisome
ADAM9	4.2229	ECM Regulators	Matrisome-associated
LTBP2	2.0844	ECM Glycoproteins	Core matrisome
SEMA4B	3.668	ECM-affiliated Proteins	Matrisome-associated
ADAM17	6.325200000000001	ECM Regulators	Matrisome-associated
VCAN	3.0770999999999997	Proteoglycans	Core matrisome
HSPG2	2.5651	Proteoglycans	Core matrisome
IGFBP3	2.1718	ECM Glycoproteins	Core matrisome
ELFN2	3.3986	ECM-affiliated Proteins	Matrisome-associated
SEMA4C	2.0962	ECM-affiliated Proteins	Matrisome-associated
COL6A3	2.169	Collagens	Core matrisome
THBS2	2.0486999999999997	ECM Glycoproteins	Core matrisome
MUC1	2.4292999999999996	ECM-affiliated Proteins	Matrisome-associated
VTN	2.7823	ECM Glycoproteins	Core matrisome
S100A11	2.7998000000000003	Secreted Factors	Matrisome-associated
SERPINC1	2.6645	ECM Regulators	Matrisome-associated
EGLN1	2.4543999999999997	ECM Regulators	Matrisome-associated
SERPINH1	2.9956	ECM Regulators	Matrisome-associated
SFTPA1	2.7640000000000002	ECM-affiliated Proteins	Matrisome-associated
IGFBP5	2.2317	ECM Glycoproteins	Core matrisome
TNXB	2.2836000000000003	ECM Glycoproteins	Core matrisome
PRG4	3.7079	Proteoglycans	Core matrisome
LGALS1	2.3505	ECM-affiliated Proteins	Matrisome-associated
COL3A1	3.2518000000000002	Collagens	Core matrisome
EMCN	4.7781	ECM-affiliated Proteins	Matrisome-associated
MFGE8	3.1908000000000003	ECM Glycoproteins	Core matrisome
ADAMTSL3	2.4865	ECM Regulators	Matrisome-associated
MUC21	3.4075	ECM-affiliated Proteins	Matrisome-associated
S100A16	4.6834999999999996	Secreted Factors	Matrisome-associated
PLXNC1	2.0941	ECM-affiliated Proteins	Matrisome-associated
LAMA3	2.0196	ECM Glycoproteins	Core matrisome
ADAM22	2.3796	ECM Regulators	Matrisome-associated
ANXA11	2.2496	ECM-affiliated Proteins	Matrisome-associated
FGB	3.2309	ECM Glycoproteins	Core matrisome
POSTN	6.0325	ECM Glycoproteins	Core matrisome
THSD4	3.6549	ECM Glycoproteins	Core matrisome
AEBP1	2.6641	ECM Glycoproteins	Core matrisome
S100A6	2.1445	Secreted Factors	Matrisome-associated
S100A7	9.2599	Secreted Factors	Matrisome-associated
CHRDL1	4.348800000000001	Secreted Factors	Matrisome-associated
PAPPA	6.3363	ECM Regulators	Matrisome-associated
ANGPTL2	2.6122	Secreted Factors	Matrisome-associated
SDC2	2.4326	ECM-affiliated Proteins	Matrisome-associated
TECTA	2.4781	ECM Glycoproteins	Core matrisome
ANXA7	2.8882	ECM-affiliated Proteins	Matrisome-associated
TCHHL1	2.6149999999999998	Secreted Factors	Matrisome-associated
PLOD2	2.1258	ECM Regulators	Matrisome-associated
COL19A1	2.807	Collagens	Core matrisome
IGFBP1	2.1416	ECM Glycoproteins	Core matrisome
SPAM1	5.6701999999999995	ECM Regulators	Matrisome-associated
FGF1	2.2681	Secreted Factors	Matrisome-associated
FGF16	10.2575	Secreted Factors	Matrisome-associated
PRG3	5.4702	Proteoglycans	Core matrisome
CRLF1	2.0258000000000003	Secreted Factors	Matrisome-associated
IL9	7.2664	Secreted Factors	Matrisome-associated
COL6A6	3.8723	Collagens	Core matrisome
FREM3	4.0176	ECM-affiliated Proteins	Matrisome-associated
ANGPTL7	2.883	Secreted Factors	Matrisome-associated
