name	prize	Category	Division
IL16	5.4395	Secreted Factors	Matrisome-associated
SPP1	4.9249	ECM Glycoproteins	Core matrisome
FGA	7.1226	ECM Glycoproteins	Core matrisome
ANXA2	6.260400000000001	ECM-affiliated Proteins	Matrisome-associated
HCFC1	2.6417	Secreted Factors	Matrisome-associated
MFAP1	4.1361	ECM Glycoproteins	Core matrisome
SPARCL1	6.4276	ECM Glycoproteins	Core matrisome
ANXA1	2.5648	ECM-affiliated Proteins	Matrisome-associated
PLG	3.7119999999999997	ECM Regulators	Matrisome-associated
ANXA6	2.6293	ECM-affiliated Proteins	Matrisome-associated
MXRA5	8.5846	ECM Glycoproteins	Core matrisome
SERPINA1	2.5221999999999998	ECM Regulators	Matrisome-associated
TNC	3.2332	ECM Glycoproteins	Core matrisome
KNG1	5.0016	ECM Regulators	Matrisome-associated
FNDC1	4.3761	ECM Glycoproteins	Core matrisome
LTBP1	4.4707	ECM Glycoproteins	Core matrisome
ADAM17	3.6934	ECM Regulators	Matrisome-associated
VCAN	4.9111	Proteoglycans	Core matrisome
HSPG2	3.0940000000000003	Proteoglycans	Core matrisome
TGM2	3.245	ECM Regulators	Matrisome-associated
THBS2	3.916	ECM Glycoproteins	Core matrisome
MUC1	2.2408	ECM-affiliated Proteins	Matrisome-associated
HRNR	2.9345000000000003	Secreted Factors	Matrisome-associated
SERPINC1	2.8528000000000002	ECM Regulators	Matrisome-associated
SERPINA10	3.9421999999999997	ECM Regulators	Matrisome-associated
EGLN1	2.26	ECM Regulators	Matrisome-associated
FBLN1	3.0683	ECM Glycoproteins	Core matrisome
ANXA3	5.714	ECM-affiliated Proteins	Matrisome-associated
SFTPA1	3.2075	ECM-affiliated Proteins	Matrisome-associated
F13A1	2.9446	ECM Regulators	Matrisome-associated
TNXB	3.83	ECM Glycoproteins	Core matrisome
PRG4	3.7283	Proteoglycans	Core matrisome
FGG	5.7387999999999995	ECM Glycoproteins	Core matrisome
LGALS1	3.2055	ECM-affiliated Proteins	Matrisome-associated
S100A8	3.8719	Secreted Factors	Matrisome-associated
COL3A1	7.6843	Collagens	Core matrisome
ADAM10	3.0512	ECM Regulators	Matrisome-associated
ITIH4	4.8537	ECM Regulators	Matrisome-associated
SERPINB6	3.4912	ECM Regulators	Matrisome-associated
ADAMTSL3	4.2387999999999995	ECM Regulators	Matrisome-associated
SPOCK2	5.6789000000000005	Proteoglycans	Core matrisome
ABI3BP	3.7425	ECM Glycoproteins	Core matrisome
S100A16	2.2873	Secreted Factors	Matrisome-associated
S100A13	3.4867	Secreted Factors	Matrisome-associated
PLXNC1	2.0631	ECM-affiliated Proteins	Matrisome-associated
COL1A1	3.5860000000000003	Collagens	Core matrisome
DCN	2.2638	Proteoglycans	Core matrisome
FGB	2.7325999999999997	ECM Glycoproteins	Core matrisome
POSTN	4.4975000000000005	ECM Glycoproteins	Core matrisome
NRG1	6.0977999999999994	Secreted Factors	Matrisome-associated
COL16A1	2.9516999999999998	Collagens	Core matrisome
ITIH2	3.3191	ECM Regulators	Matrisome-associated
LAMB2	4.5099	ECM Glycoproteins	Core matrisome
TGFBI	2.5911	ECM Glycoproteins	Core matrisome
F9	2.9577999999999998	ECM Regulators	Matrisome-associated
FBN1	2.3259	ECM Glycoproteins	Core matrisome
S100A7	4.6126000000000005	Secreted Factors	Matrisome-associated
CHRDL1	3.2643	Secreted Factors	Matrisome-associated
CLC	3.4895	ECM-affiliated Proteins	Matrisome-associated
PAPPA	6.1668	ECM Regulators	Matrisome-associated
SDC2	5.3061	ECM-affiliated Proteins	Matrisome-associated
ADAM28	2.8393	ECM Regulators	Matrisome-associated
SULF2	4.4744	ECM Regulators	Matrisome-associated
S100A3	3.5322	Secreted Factors	Matrisome-associated
PRG3	3.3487	Proteoglycans	Core matrisome
IL9	3.0726	Secreted Factors	Matrisome-associated
NTN1	4.823	ECM Glycoproteins	Core matrisome
