name	prize	Category	Division
IL16	5.5916	Secreted Factors	Matrisome-associated
SPP1	10.499	ECM Glycoproteins	Core matrisome
FGA	6.1113	ECM Glycoproteins	Core matrisome
ANXA2	5.348000000000001	ECM-affiliated Proteins	Matrisome-associated
HCFC1	3.4965	Secreted Factors	Matrisome-associated
ANXA1	5.5427	ECM-affiliated Proteins	Matrisome-associated
ANXA6	2.3598999999999997	ECM-affiliated Proteins	Matrisome-associated
COL17A1	6.8828	Collagens	Core matrisome
MXRA5	6.5773	ECM Glycoproteins	Core matrisome
SERPINA1	3.3708	ECM Regulators	Matrisome-associated
TNC	3.2416	ECM Glycoproteins	Core matrisome
FNDC1	4.3687000000000005	ECM Glycoproteins	Core matrisome
ADAM9	3.1802	ECM Regulators	Matrisome-associated
LTBP1	2.5715	ECM Glycoproteins	Core matrisome
LTBP2	5.574299999999999	ECM Glycoproteins	Core matrisome
SEMA4B	4.3219	ECM-affiliated Proteins	Matrisome-associated
ADAM17	4.2472	ECM Regulators	Matrisome-associated
VCAN	4.7946	Proteoglycans	Core matrisome
HSPG2	2.4267000000000003	Proteoglycans	Core matrisome
IGFBP3	3.2763	ECM Glycoproteins	Core matrisome
S100A9	4.1528	Secreted Factors	Matrisome-associated
ELFN2	4.571899999999999	ECM-affiliated Proteins	Matrisome-associated
SEMA4C	3.5443	ECM-affiliated Proteins	Matrisome-associated
TGM2	5.8006	ECM Regulators	Matrisome-associated
THBS2	2.2127999999999997	ECM Glycoproteins	Core matrisome
MUC1	9.9679	ECM-affiliated Proteins	Matrisome-associated
VTN	4.514200000000001	ECM Glycoproteins	Core matrisome
S100A11	3.5128000000000004	Secreted Factors	Matrisome-associated
SERPINA10	3.1232999999999986	ECM Regulators	Matrisome-associated
EGLN1	2.5955	ECM Regulators	Matrisome-associated
PLXDC2	2.0607	ECM-affiliated Proteins	Matrisome-associated
SERPINH1	6.8854999999999995	ECM Regulators	Matrisome-associated
ANXA3	4.3317	ECM-affiliated Proteins	Matrisome-associated
IGFBP5	2.3266	ECM Glycoproteins	Core matrisome
PRG4	3.4413	Proteoglycans	Core matrisome
CTSD	4.3218	ECM Regulators	Matrisome-associated
SFTPB	2.5349	ECM-affiliated Proteins	Matrisome-associated
ADAM10	2.1933000000000002	ECM Regulators	Matrisome-associated
EMCN	6.8563	ECM-affiliated Proteins	Matrisome-associated
ITIH4	3.1603999999999997	ECM Regulators	Matrisome-associated
SERPINB6	5.935	ECM Regulators	Matrisome-associated
ADAMTSL3	2.6803000000000003	ECM Regulators	Matrisome-associated
SPOCK2	4.164	Proteoglycans	Core matrisome
LAMA4	2.7494	ECM Glycoproteins	Core matrisome
MUC21	4.02	ECM-affiliated Proteins	Matrisome-associated
FGB	3.6293	ECM Glycoproteins	Core matrisome
COL20A1	6.8372	Collagens	Core matrisome
SEMA4F	2.8472	ECM-affiliated Proteins	Matrisome-associated
S100A6	4.1907	Secreted Factors	Matrisome-associated
LAMB2	2.6338	ECM Glycoproteins	Core matrisome
IGFBP7	2.8974	ECM Glycoproteins	Core matrisome
CLEC4A	4.6559	ECM-affiliated Proteins	Matrisome-associated
FBN1	2.5008	ECM Glycoproteins	Core matrisome
PARM1	5.0041	ECM-affiliated Proteins	Matrisome-associated
S100P	2.2311000000000005	Secreted Factors	Matrisome-associated
VWA3B	5.0132	ECM Glycoproteins	Core matrisome
PAPPA	10.1422	ECM Regulators	Matrisome-associated
SDC2	9.7878	ECM-affiliated Proteins	Matrisome-associated
TECTA	2.7733999999999996	ECM Glycoproteins	Core matrisome
PLXNB1	2.4031000000000002	ECM-affiliated Proteins	Matrisome-associated
SPAM1	5.3774999999999995	ECM Regulators	Matrisome-associated
SERPINF2	3.7803000000000004	ECM Regulators	Matrisome-associated
FGF16	5.7145	Secreted Factors	Matrisome-associated
PRG3	3.7772	Proteoglycans	Core matrisome
FST	7.8924	Secreted Factors	Matrisome-associated
CRLF1	4.4765	Secreted Factors	Matrisome-associated
KY	3.5401	ECM Regulators	Matrisome-associated
GDF9	6.033799999999999	Secreted Factors	Matrisome-associated
FREM3	4.968999999999999	ECM-affiliated Proteins	Matrisome-associated
NTN1	3.7985999999999995	ECM Glycoproteins	Core matrisome
