name	prize	Category	Division
IL16	2.4608	Secreted Factors	Matrisome-associated
SPP1	3.2331999999999996	ECM Glycoproteins	Core matrisome
FGA	7.286	ECM Glycoproteins	Core matrisome
ANXA2	7.020300000000001	ECM-affiliated Proteins	Matrisome-associated
HCFC1	2.5151	Secreted Factors	Matrisome-associated
MUC5AC	9.5608	ECM-affiliated Proteins	Matrisome-associated
PLG	6.3995999999999995	ECM Regulators	Matrisome-associated
ANXA6	2.3358	ECM-affiliated Proteins	Matrisome-associated
COL17A1	3.8179	Collagens	Core matrisome
MXRA5	2.4124	ECM Glycoproteins	Core matrisome
TNC	4.2233	ECM Glycoproteins	Core matrisome
ANXA5	6.597899999999999	ECM-affiliated Proteins	Matrisome-associated
ADAM9	3.3262	ECM Regulators	Matrisome-associated
LTBP1	6.7241	ECM Glycoproteins	Core matrisome
LTBP2	5.2873	ECM Glycoproteins	Core matrisome
VCAN	2.3428	Proteoglycans	Core matrisome
HSPG2	3.6132	Proteoglycans	Core matrisome
IGFBP3	2.7195	ECM Glycoproteins	Core matrisome
S100A9	8.575700000000001	Secreted Factors	Matrisome-associated
THBS2	4.6555	ECM Glycoproteins	Core matrisome
MUC1	6.8279	ECM-affiliated Proteins	Matrisome-associated
VTN	2.4991000000000003	ECM Glycoproteins	Core matrisome
S100A11	4.9443	Secreted Factors	Matrisome-associated
SERPINC1	2.8495	ECM Regulators	Matrisome-associated
SERPINA10	3.0244	ECM Regulators	Matrisome-associated
PLXDC2	3.8297	ECM-affiliated Proteins	Matrisome-associated
SERPINB1	2.0782000000000003	ECM Regulators	Matrisome-associated
SFTPA1	2.0596	ECM-affiliated Proteins	Matrisome-associated
IGFBP5	2.2226	ECM Glycoproteins	Core matrisome
SEMA4D	2.9206000000000003	ECM-affiliated Proteins	Matrisome-associated
PRG4	2.7500999999999998	Proteoglycans	Core matrisome
GREM1	2.9677	ECM-affiliated Proteins	Matrisome-associated
SFTPB	2.4319	ECM-affiliated Proteins	Matrisome-associated
LGALS1	2.2773	ECM-affiliated Proteins	Matrisome-associated
S100A8	8.557500000000001	Secreted Factors	Matrisome-associated
COL3A1	2.4745	Collagens	Core matrisome
EMCN	3.7923999999999998	ECM-affiliated Proteins	Matrisome-associated
ITIH4	2.1245000000000003	ECM Regulators	Matrisome-associated
SERPINB6	2.4429	ECM Regulators	Matrisome-associated
COL1A1	5.0323	Collagens	Core matrisome
CST3	5.7722999999999995	ECM Regulators	Matrisome-associated
THSD4	3.9951000000000003	ECM Glycoproteins	Core matrisome
FSTL1	3.9941	Secreted Factors	Matrisome-associated
AEBP1	5.0792	ECM Glycoproteins	Core matrisome
S100A6	5.7794	Secreted Factors	Matrisome-associated
IGFBP7	3.2324	ECM Glycoproteins	Core matrisome
FBN1	9.4764	ECM Glycoproteins	Core matrisome
S100A4	2.0884	Secreted Factors	Matrisome-associated
CRELD2	3.2992	ECM Glycoproteins	Core matrisome
S100P	4.0466	Secreted Factors	Matrisome-associated
ANGPTL2	2.7361	Secreted Factors	Matrisome-associated
TECTA	3.5303	ECM Glycoproteins	Core matrisome
PPBP	7.3565000000000005	Secreted Factors	Matrisome-associated
COL19A1	2.3369999999999997	Collagens	Core matrisome
SPAM1	8.4971	ECM Regulators	Matrisome-associated
SERPINF2	5.5893	ECM Regulators	Matrisome-associated
FST	3.2281	Secreted Factors	Matrisome-associated
IL9	4.0874	Secreted Factors	Matrisome-associated
GDF15	3.0077999999999996	Secreted Factors	Matrisome-associated
ANGPTL7	3.8599	Secreted Factors	Matrisome-associated
