name	prize	Category	Division
IL16	5.2217	Secreted Factors	Matrisome-associated
SPP1	4.6968	ECM Glycoproteins	Core matrisome
FGA	4.9542	ECM Glycoproteins	Core matrisome
ANXA2	6.6067	ECM-affiliated Proteins	Matrisome-associated
MFAP1	3.5140000000000002	ECM Glycoproteins	Core matrisome
SPARCL1	4.1353	ECM Glycoproteins	Core matrisome
ANXA1	3.3062000000000005	ECM-affiliated Proteins	Matrisome-associated
PLG	5.2504	ECM Regulators	Matrisome-associated
ANXA6	2.8284	ECM-affiliated Proteins	Matrisome-associated
MXRA5	3.2123999999999997	ECM Glycoproteins	Core matrisome
SERPINA1	2.1148	ECM Regulators	Matrisome-associated
ZFP91	4.3111	Secreted Factors	Matrisome-associated
KNG1	2.3666	ECM Regulators	Matrisome-associated
FNDC1	2.9624000000000006	ECM Glycoproteins	Core matrisome
LTBP1	2.8705000000000003	ECM Glycoproteins	Core matrisome
SEMA4B	2.8468999999999998	ECM-affiliated Proteins	Matrisome-associated
ADAM17	3.8880999999999997	ECM Regulators	Matrisome-associated
VCAN	3.6801	Proteoglycans	Core matrisome
HSPG2	3.1523000000000003	Proteoglycans	Core matrisome
IGFBP3	2.0851	ECM Glycoproteins	Core matrisome
ECM2	4.5166	ECM Glycoproteins	Core matrisome
THBS2	3.7403000000000004	ECM Glycoproteins	Core matrisome
MUC1	3.8772	ECM-affiliated Proteins	Matrisome-associated
VTN	2.2857	ECM Glycoproteins	Core matrisome
S100A11	3.2279	Secreted Factors	Matrisome-associated
HRNR	3.7103	Secreted Factors	Matrisome-associated
SERPINC1	3.1858999999999997	ECM Regulators	Matrisome-associated
SERPINA10	3.5812	ECM Regulators	Matrisome-associated
EGLN1	2.7384	ECM Regulators	Matrisome-associated
FBLN1	2.3552	ECM Glycoproteins	Core matrisome
PLXDC2	2.2401	ECM-affiliated Proteins	Matrisome-associated
SERPINB1	2.1684	ECM Regulators	Matrisome-associated
ANXA3	4.32	ECM-affiliated Proteins	Matrisome-associated
SFTPA1	2.234	ECM-affiliated Proteins	Matrisome-associated
IGFBP5	3.7003	ECM Glycoproteins	Core matrisome
F13A1	3.8342	ECM Regulators	Matrisome-associated
TNXB	3.2237	ECM Glycoproteins	Core matrisome
PRG4	5.552	Proteoglycans	Core matrisome
GREM1	2.4694	ECM-affiliated Proteins	Matrisome-associated
LGALS1	3.651	ECM-affiliated Proteins	Matrisome-associated
ADAM10	2.4581	ECM Regulators	Matrisome-associated
ITIH4	3.8859000000000004	ECM Regulators	Matrisome-associated
SERPINB6	2.1443000000000003	ECM Regulators	Matrisome-associated
ADAMTSL3	3.7297000000000002	ECM Regulators	Matrisome-associated
SPOCK2	6.6769	Proteoglycans	Core matrisome
ABI3BP	2.0048	ECM Glycoproteins	Core matrisome
LAMA4	3.6318	ECM Glycoproteins	Core matrisome
S100A16	2.0844	Secreted Factors	Matrisome-associated
S100A13	3.0621	Secreted Factors	Matrisome-associated
PLXND1	4.3421	ECM-affiliated Proteins	Matrisome-associated
SEMA6D	3.3029	ECM-affiliated Proteins	Matrisome-associated
FGF13	2.6644	Secreted Factors	Matrisome-associated
COL20A1	2.2277	Collagens	Core matrisome
AEBP1	2.1544	ECM Glycoproteins	Core matrisome
NRG1	3.8071	Secreted Factors	Matrisome-associated
COL16A1	2.2309	Collagens	Core matrisome
S100A6	7.208	Secreted Factors	Matrisome-associated
ITIH2	2.5835	ECM Regulators	Matrisome-associated
LAMB2	4.6129999999999995	ECM Glycoproteins	Core matrisome
TGFBI	5.2595	ECM Glycoproteins	Core matrisome
S100A4	4.1122	Secreted Factors	Matrisome-associated
SDC3	2.197	ECM-affiliated Proteins	Matrisome-associated
PLXNB3	3.0457	ECM-affiliated Proteins	Matrisome-associated
S100A7	2.286100000000001	Secreted Factors	Matrisome-associated
CHRDL1	3.5098000000000003	Secreted Factors	Matrisome-associated
CLC	2.8064999999999998	ECM-affiliated Proteins	Matrisome-associated
ANGPT2	4.1089	Secreted Factors	Matrisome-associated
SDC2	9.1083	ECM-affiliated Proteins	Matrisome-associated
TSKU	2.1271	ECM Glycoproteins	Core matrisome
TECTA	3.1953	ECM Glycoproteins	Core matrisome
HMCN1	6.7986	ECM Glycoproteins	Core matrisome
PPBP	2.1452	Secreted Factors	Matrisome-associated
ANXA7	3.5949	ECM-affiliated Proteins	Matrisome-associated
ADAM28	2.0366	ECM Regulators	Matrisome-associated
SPAM1	6.5996999999999995	ECM Regulators	Matrisome-associated
PRG3	6.7499	Proteoglycans	Core matrisome
SVEP1	4.1099000000000006	ECM Glycoproteins	Core matrisome
FST	2.3752	Secreted Factors	Matrisome-associated
CRLF1	10.0897	Secreted Factors	Matrisome-associated
IL9	3.1761999999999997	Secreted Factors	Matrisome-associated
