name	prize	Category	Division
IL16	4.9178999999999995	Secreted Factors	Matrisome-associated
SPP1	7.1734	ECM Glycoproteins	Core matrisome
FGA	7.184099999999999	ECM Glycoproteins	Core matrisome
ANXA2	7.2903	ECM-affiliated Proteins	Matrisome-associated
MFAP1	3.8628	ECM Glycoproteins	Core matrisome
MUC5AC	2.0054	ECM-affiliated Proteins	Matrisome-associated
SPARCL1	6.858499999999999	ECM Glycoproteins	Core matrisome
ANXA1	2.6919	ECM-affiliated Proteins	Matrisome-associated
PLG	2.8916	ECM Regulators	Matrisome-associated
ANXA6	4.8183	ECM-affiliated Proteins	Matrisome-associated
VWA5A	2.5890000000000004	ECM Glycoproteins	Core matrisome
MXRA5	9.6467	ECM Glycoproteins	Core matrisome
TNC	5.8091	ECM Glycoproteins	Core matrisome
ANXA5	3.5548	ECM-affiliated Proteins	Matrisome-associated
ZFP91	2.0249	Secreted Factors	Matrisome-associated
KNG1	7.0159	ECM Regulators	Matrisome-associated
FNDC1	8.701	ECM Glycoproteins	Core matrisome
ADAM9	2.4374000000000002	ECM Regulators	Matrisome-associated
LTBP1	4.5892	ECM Glycoproteins	Core matrisome
LTBP2	2.9128999999999996	ECM Glycoproteins	Core matrisome
SEMA4B	2.7567999999999997	ECM-affiliated Proteins	Matrisome-associated
ADAM17	3.8581	ECM Regulators	Matrisome-associated
VCAN	7.6605	Proteoglycans	Core matrisome
FBLN2	3.8533999999999997	ECM Glycoproteins	Core matrisome
COL6A3	2.2579000000000002	Collagens	Core matrisome
TGM2	4.4928	ECM Regulators	Matrisome-associated
VTN	2.1357	ECM Glycoproteins	Core matrisome
S100A11	3.2554	Secreted Factors	Matrisome-associated
SERPINC1	5.288	ECM Regulators	Matrisome-associated
SERPINH1	6.1027000000000005	ECM Regulators	Matrisome-associated
PLXNB2	3.4441	ECM-affiliated Proteins	Matrisome-associated
ANXA3	3.9547999999999996	ECM-affiliated Proteins	Matrisome-associated
SFTPA1	3.3807	ECM-affiliated Proteins	Matrisome-associated
TNXB	2.4841	ECM Glycoproteins	Core matrisome
SEMA4D	3.8285	ECM-affiliated Proteins	Matrisome-associated
PRG4	3.6975000000000002	Proteoglycans	Core matrisome
GREM1	3.5206	ECM-affiliated Proteins	Matrisome-associated
COL3A1	8.182	Collagens	Core matrisome
ADAM10	2.8955	ECM Regulators	Matrisome-associated
ITIH4	5.9056999999999995	ECM Regulators	Matrisome-associated
SERPINB6	2.0217	ECM Regulators	Matrisome-associated
ADAMTSL3	4.2095	ECM Regulators	Matrisome-associated
MUC21	2.2860000000000005	ECM-affiliated Proteins	Matrisome-associated
S100A16	5.6226	Secreted Factors	Matrisome-associated
S100A13	3.9101	Secreted Factors	Matrisome-associated
PLXNC1	2.6578000000000004	ECM-affiliated Proteins	Matrisome-associated
CTF1	3.1947	Secreted Factors	Matrisome-associated
PLXND1	2.6938	ECM-affiliated Proteins	Matrisome-associated
FGB	2.6822999999999997	ECM Glycoproteins	Core matrisome
POSTN	4.2583	ECM Glycoproteins	Core matrisome
FSTL1	3.7035	Secreted Factors	Matrisome-associated
AEBP1	3.2083	ECM Glycoproteins	Core matrisome
NRG1	6.8618	Secreted Factors	Matrisome-associated
LAMB2	4.2384	ECM Glycoproteins	Core matrisome
TGFBI	2.7992	ECM Glycoproteins	Core matrisome
IGFBP7	2.0987	ECM Glycoproteins	Core matrisome
CLEC4A	4.5546	ECM-affiliated Proteins	Matrisome-associated
F9	2.6917	ECM Regulators	Matrisome-associated
FBN1	4.5267	ECM Glycoproteins	Core matrisome
S100A4	3.3791	Secreted Factors	Matrisome-associated
SDC1	3.6462	ECM-affiliated Proteins	Matrisome-associated
CRELD2	3.9463	ECM Glycoproteins	Core matrisome
S100A7	10.284199999999998	Secreted Factors	Matrisome-associated
CHRDL1	4.1256	Secreted Factors	Matrisome-associated
S100P	2.6585	Secreted Factors	Matrisome-associated
SDC2	7.4013	ECM-affiliated Proteins	Matrisome-associated
TECTA	2.8293	ECM Glycoproteins	Core matrisome
HMCN1	5.0397	ECM Glycoproteins	Core matrisome
FNDC7	4.0761	ECM Glycoproteins	Core matrisome
TCHHL1	3.7889	Secreted Factors	Matrisome-associated
SULF2	4.2698	ECM Regulators	Matrisome-associated
FGF16	5.2157	Secreted Factors	Matrisome-associated
PRG3	3.5544999999999995	Proteoglycans	Core matrisome
IL9	5.173	Secreted Factors	Matrisome-associated
COL6A6	5.7763	Collagens	Core matrisome
GDF15	3.8273	Secreted Factors	Matrisome-associated
