name	prize	Category	Division
IL16	4.9429	Secreted Factors	Matrisome-associated
SPP1	5.6826	ECM Glycoproteins	Core matrisome
FGA	5.3807	ECM Glycoproteins	Core matrisome
ANXA2	3.7685	ECM-affiliated Proteins	Matrisome-associated
SPARCL1	3.7701000000000002	ECM Glycoproteins	Core matrisome
PLG	3.6336	ECM Regulators	Matrisome-associated
COL17A1	4.2524	Collagens	Core matrisome
MXRA5	12.148299999999999	ECM Glycoproteins	Core matrisome
SERPINA1	3.7553	ECM Regulators	Matrisome-associated
TNC	2.1896999999999998	ECM Glycoproteins	Core matrisome
ZFP91	2.7759	Secreted Factors	Matrisome-associated
KNG1	3.9490999999999996	ECM Regulators	Matrisome-associated
LTBP1	2.9756	ECM Glycoproteins	Core matrisome
ADAM17	4.2393	ECM Regulators	Matrisome-associated
VCAN	9.437899999999999	Proteoglycans	Core matrisome
S100A9	5.020300000000001	Secreted Factors	Matrisome-associated
FBLN2	4.3995999999999995	ECM Glycoproteins	Core matrisome
TGM2	2.2459	ECM Regulators	Matrisome-associated
MUC1	3.4852999999999996	ECM-affiliated Proteins	Matrisome-associated
VTN	2.1889000000000003	ECM Glycoproteins	Core matrisome
HRNR	2.4973	Secreted Factors	Matrisome-associated
SERPINA10	3.0881000000000003	ECM Regulators	Matrisome-associated
EGLN1	3.0612	ECM Regulators	Matrisome-associated
FBLN1	3.1462	ECM Glycoproteins	Core matrisome
SERPINH1	2.799	ECM Regulators	Matrisome-associated
ANXA3	2.8775	ECM-affiliated Proteins	Matrisome-associated
SFTPA1	3.2753	ECM-affiliated Proteins	Matrisome-associated
PRG4	4.1343	Proteoglycans	Core matrisome
FGG	2.4444	ECM Glycoproteins	Core matrisome
COL3A1	5.6054	Collagens	Core matrisome
EMCN	4.6871	ECM-affiliated Proteins	Matrisome-associated
MUC21	4.4259	ECM-affiliated Proteins	Matrisome-associated
COL1A1	2.6517999999999997	Collagens	Core matrisome
SERPIND1	4.5379	ECM Regulators	Matrisome-associated
DCN	2.5000999999999998	Proteoglycans	Core matrisome
FGB	2.6029	ECM Glycoproteins	Core matrisome
POSTN	8.0591	ECM Glycoproteins	Core matrisome
FSTL1	2.3350999999999997	Secreted Factors	Matrisome-associated
COL20A1	3.4953000000000003	Collagens	Core matrisome
SEMA4A	3.4537	ECM-affiliated Proteins	Matrisome-associated
COL16A1	4.9254999999999995	Collagens	Core matrisome
S100A6	3.2592	Secreted Factors	Matrisome-associated
CLEC4A	3.426	ECM-affiliated Proteins	Matrisome-associated
F9	2.22	ECM Regulators	Matrisome-associated
FBN1	4.5506	ECM Glycoproteins	Core matrisome
PRELP	3.0839	Proteoglycans	Core matrisome
S100A4	3.249	Secreted Factors	Matrisome-associated
CLC	2.0369	ECM-affiliated Proteins	Matrisome-associated
PAPPA	9.3863	ECM Regulators	Matrisome-associated
SDC2	7.917199999999999	ECM-affiliated Proteins	Matrisome-associated
PPBP	2.4907000000000004	Secreted Factors	Matrisome-associated
FNDC7	3.8652	ECM Glycoproteins	Core matrisome
ANXA7	2.0217999999999994	ECM-affiliated Proteins	Matrisome-associated
IGFBP1	2.3301	ECM Glycoproteins	Core matrisome
SULF2	4.1673	ECM Regulators	Matrisome-associated
SPAM1	4.485200000000001	ECM Regulators	Matrisome-associated
PRG3	2.3541	Proteoglycans	Core matrisome
SVEP1	2.1569	ECM Glycoproteins	Core matrisome
