name	prize	Category	Division
IL16	6.636100000000001	Secreted Factors	Matrisome-associated
SPP1	5.1423000000000005	ECM Glycoproteins	Core matrisome
FGA	4.9321	ECM Glycoproteins	Core matrisome
ANXA2	6.3639	ECM-affiliated Proteins	Matrisome-associated
SPARCL1	4.4063	ECM Glycoproteins	Core matrisome
ANXA1	4.497	ECM-affiliated Proteins	Matrisome-associated
PLG	6.182799999999999	ECM Regulators	Matrisome-associated
VWA5A	2.1405	ECM Glycoproteins	Core matrisome
MXRA5	7.6647	ECM Glycoproteins	Core matrisome
SERPINA1	2.6058999999999997	ECM Regulators	Matrisome-associated
ZFP91	2.2397	Secreted Factors	Matrisome-associated
KNG1	2.2206	ECM Regulators	Matrisome-associated
FNDC1	3.4842000000000004	ECM Glycoproteins	Core matrisome
LTBP1	2.4248	ECM Glycoproteins	Core matrisome
LTBP2	4.4347	ECM Glycoproteins	Core matrisome
VCAN	5.2529	Proteoglycans	Core matrisome
S100A9	2.1249000000000002	Secreted Factors	Matrisome-associated
SEMA4C	2.4219999999999997	ECM-affiliated Proteins	Matrisome-associated
ECM2	2.0896999999999997	ECM Glycoproteins	Core matrisome
MUC1	2.144	ECM-affiliated Proteins	Matrisome-associated
S100A11	5.5588	Secreted Factors	Matrisome-associated
SERPINA10	2.8508	ECM Regulators	Matrisome-associated
FBLN1	2.641	ECM Glycoproteins	Core matrisome
SERPINB1	2.2902	ECM Regulators	Matrisome-associated
ANXA3	2.2525	ECM-affiliated Proteins	Matrisome-associated
SFTPA1	2.7744	ECM-affiliated Proteins	Matrisome-associated
IGFBP5	2.5084	ECM Glycoproteins	Core matrisome
TNXB	2.286	ECM Glycoproteins	Core matrisome
GREM1	2.397	ECM-affiliated Proteins	Matrisome-associated
LGALS1	3.0090000000000003	ECM-affiliated Proteins	Matrisome-associated
S100A8	3.0744000000000002	Secreted Factors	Matrisome-associated
COL3A1	7.2941	Collagens	Core matrisome
EMCN	4.8118	ECM-affiliated Proteins	Matrisome-associated
ITIH4	2.9904	ECM Regulators	Matrisome-associated
ADAMTSL3	4.0324	ECM Regulators	Matrisome-associated
SPOCK2	2.909	Proteoglycans	Core matrisome
CST3	2.0128000000000004	ECM Regulators	Matrisome-associated
FGB	2.8390999999999997	ECM Glycoproteins	Core matrisome
S100A6	6.6555	Secreted Factors	Matrisome-associated
ITIH2	2.9499	ECM Regulators	Matrisome-associated
LAMB2	3.6268	ECM Glycoproteins	Core matrisome
F9	2.9824	ECM Regulators	Matrisome-associated
FBN1	4.4748	ECM Glycoproteins	Core matrisome
PARM1	2.7297000000000002	ECM-affiliated Proteins	Matrisome-associated
S100P	2.9207	Secreted Factors	Matrisome-associated
ANGPTL2	2.4225000000000003	Secreted Factors	Matrisome-associated
FNDC7	3.3332	ECM Glycoproteins	Core matrisome
ANXA7	4.6377	ECM-affiliated Proteins	Matrisome-associated
SPAM1	5.4267	ECM Regulators	Matrisome-associated
FGF16	3.7953	Secreted Factors	Matrisome-associated
PRG3	6.9639	Proteoglycans	Core matrisome
GDF9	4.203	Secreted Factors	Matrisome-associated
NTN1	4.2072	ECM Glycoproteins	Core matrisome
