name	prize	Category	Division
IL16	2.1683	Secreted Factors	Matrisome-associated
FGA	4.0183	ECM Glycoproteins	Core matrisome
ANXA2	3.0697	ECM-affiliated Proteins	Matrisome-associated
ANXA1	2.5324	ECM-affiliated Proteins	Matrisome-associated
PLG	2.2547	ECM Regulators	Matrisome-associated
COL17A1	3.7022999999999993	Collagens	Core matrisome
VWA5A	3.0279999999999996	ECM Glycoproteins	Core matrisome
MXRA5	3.8088	ECM Glycoproteins	Core matrisome
ANXA5	2.3504	ECM-affiliated Proteins	Matrisome-associated
FNDC1	3.7792	ECM Glycoproteins	Core matrisome
LTBP1	2.0747	ECM Glycoproteins	Core matrisome
VCAN	4.7934	Proteoglycans	Core matrisome
COL6A3	2.6239000000000003	Collagens	Core matrisome
MUC1	2.1658	ECM-affiliated Proteins	Matrisome-associated
SERPINA10	8.2152	ECM Regulators	Matrisome-associated
FBLN1	2.551	ECM Glycoproteins	Core matrisome
SERPINB1	2.7411	ECM Regulators	Matrisome-associated
ANXA3	2.9116	ECM-affiliated Proteins	Matrisome-associated
SFTPA1	2.6784	ECM-affiliated Proteins	Matrisome-associated
TNXB	2.3331000000000004	ECM Glycoproteins	Core matrisome
SEMA4D	2.2058	ECM-affiliated Proteins	Matrisome-associated
SPOCK2	2.958	Proteoglycans	Core matrisome
MUC21	2.6336999999999993	ECM-affiliated Proteins	Matrisome-associated
COL20A1	3.0103999999999997	Collagens	Core matrisome
LAMB2	2.3492	ECM Glycoproteins	Core matrisome
PRELP	2.755	Proteoglycans	Core matrisome
S100P	2.9267	Secreted Factors	Matrisome-associated
ANGPTL2	5.7773	Secreted Factors	Matrisome-associated
SDC2	3.1736000000000004	ECM-affiliated Proteins	Matrisome-associated
VWA3A	2.7717	ECM Glycoproteins	Core matrisome
PPBP	3.0083	Secreted Factors	Matrisome-associated
ANXA7	2.121	ECM-affiliated Proteins	Matrisome-associated
