name	prize	Category
ATF4	4.5535	TF
CEBPA	4.3481	TF
CEBPB	5.7017999999999995	TF
CEBPE	2.93315	TF
CEBPZ	6.4649	TF
CIITA	4.374499999999999	TF
CREB1	3.2003166666666667	TF
DNMT1	3.0237000000000003	TF
DNMT3A	2.6142	TF
EGR1	3.4076142857142857	TF
ELK1	2.6106000000000003	TF
EP300	3.0356	TF
EPAS1	3.8138	TF
ERG	4.17804	TF
ESR1	4.026975	TF
ETS1	4.600386666666667	TF
ETS2	4.049014285714286	TF
ETV4	4.395175	TF
EZH2	3.711333333333333	TF
FLI1	5.102175	TF
FOS	4.92832	TF
FOSL1	6.9148499999999995	TF
FOXM1	4.120150000000001	TF
FOXO1	4.5201	TF
FOXQ1	5.86325	TF
GATA4	3.29795	TF
GATA6	4.27225	TF
HDAC1	3.5499625	TF
HDAC5	2.4817500000000003	TF
HDAC9	6.7288499999999996	TF
HIF1A	2.8750428571428572	TF
HOXA10	4.47775	TF
HOXB7	3.0677333333333334	TF
ILF3	3.4460000000000006	TF
ING4	5.291	TF
IRF1	3.601075	TF
JUN	4.1292285714285715	TF
JUND	4.1379	TF
KLF4	2.8167	TF
KLF5	3.48875	TF
KLF8	2.94515	TF
LEF1	3.2058666666666666	TF
MAZ	5.0081999999999995	TF
MECP2	2.55255	TF
MYB	4.156025	TF
NFIC	4.3811333333333335	TF
NFIL3	3.51505	TF
NFKB1	3.68449	TF
NFKBIA	5.1929	TF
NKX2-1	5.737299999999999	TF
NR5A1	2.3221499999999997	TF
POU2F1	4.24702	TF
POU5F1	4.690425	TF
PPARA	3.858366666666667	TF
RARA	4.513375	TF
REL	2.7737000000000003	TF
RELA	3.7764241379310346	TF
RUNX1	3.0288500000000003	TF
RUNX2	4.3092500000000005	TF
SATB1	2.1557500000000003	TF
SIRT1	3.26352	TF
SMAD3	3.0418000000000003	TF
SMAD4	3.2952500000000002	TF
SNAI2	2.6868	TF
SOX2	3.6475	TF
SOX9	3.56865	TF
SP1	3.8497666666666666	TF
SP3	3.78	TF
SPDEF	3.4790500000000004	TF
SPI1	2.8467000000000002	TF
SRF	3.371	TF
STAT1	3.6671666666666667	TF
STAT3	3.561670588235294	TF
STAT6	3.4917599999999998	TF
TFAP2A	3.3090800000000002	TF
TFAP2C	2.291	TF
TFCP2	5.1668	TF
TWIST1	4.488166666666666	TF
TWIST2	2.7779000000000003	TF
VDR	2.77738	TF
WT1	2.702933333333333	TF
YBX1	4.994149999999999	TF
YY1	3.68386	TF
ZFP36	2.9102	TF
ZNF148	3.08535	TF
IL16	4.0887	Secreted Factors
SPP1	8.2863	ECM Glycoproteins
FGA	3.833	ECM Glycoproteins
ANXA2	7.5927	ECM-affiliated Proteins
SPARCL1	4.8275999999999994	ECM Glycoproteins
ANXA1	2.6365	ECM-affiliated Proteins
PLG	8.9653	ECM Regulators
COL17A1	2.8658	Collagens
MXRA5	6.3309999999999995	ECM Glycoproteins
SERPINA1	3.2071	ECM Regulators
TNC	3.9576	ECM Glycoproteins
ANXA5	2.7790999999999997	ECM-affiliated Proteins
KNG1	3.2218	ECM Regulators
FNDC1	5.0411	ECM Glycoproteins
LTBP1	2.2827	ECM Glycoproteins
SEMA4B	4.5203	ECM-affiliated Proteins
VCAN	4.7949	Proteoglycans
IGFBP3	2.0288	ECM Glycoproteins
S100A9	7.3117	Secreted Factors
ELFN2	3.5219	ECM-affiliated Proteins
SEMA4C	2.1705	ECM-affiliated Proteins
FBLN2	2.7191	ECM Glycoproteins
TGM2	4.7447	ECM Regulators
THBS2	3.7056	ECM Glycoproteins
FN1	2.1541	ECM Glycoproteins
MUC1	2.2659	ECM-affiliated Proteins
VTN	2.198	ECM Glycoproteins
HRNR	4.9963	Secreted Factors
SERPINC1	4.7653	ECM Regulators
ANXA4	2.0601	ECM-affiliated Proteins
SERPINA10	2.6558	ECM Regulators
SERPINH1	2.0705	ECM Regulators
ANXA3	7.3019	ECM-affiliated Proteins
SFTPA1	2.8945	ECM-affiliated Proteins
F13A1	2.4882	ECM Regulators
TNXB	5.1683	ECM Glycoproteins
SEMA4D	2.4503000000000004	ECM-affiliated Proteins
PRG4	5.6142	Proteoglycans
SFTPB	2.5010999999999997	ECM-affiliated Proteins
COL3A1	5.9373000000000005	Collagens
EMCN	7.1908	ECM-affiliated Proteins
SERPINB6	2.3573	ECM Regulators
ADAMTSL3	4.1333	ECM Regulators
SPOCK2	9.14	Proteoglycans
ABI3BP	3.4643	ECM Glycoproteins
S100A16	3.6748	Secreted Factors
S100A13	4.1737	Secreted Factors
CTF1	2.4499	Secreted Factors
COL1A1	6.587	Collagens
LAMA3	2.5459	ECM Glycoproteins
ADAMTSL4	2.2659	ECM Regulators
VWA1	3.0892	ECM Glycoproteins
FGB	3.6369	ECM Glycoproteins
POSTN	2.4491	ECM Glycoproteins
COL16A1	2.8674	Collagens
LAMB2	3.1540999999999997	ECM Glycoproteins
F9	3.3993	ECM Regulators
FBN1	3.7567	ECM Glycoproteins
WISP2	2.3404	ECM Glycoproteins
S100A4	2.7233	Secreted Factors
CHRDL1	4.8616	Secreted Factors
CLC	3.0337	ECM-affiliated Proteins
PAPPA	3.8377	ECM Regulators
ANGPTL2	3.6206	Secreted Factors
SDC2	6.3228	ECM-affiliated Proteins
TECTA	4.8262	ECM Glycoproteins
ANXA7	2.9059	ECM-affiliated Proteins
MEGF8	2.2421	Secreted Factors
SPAM1	7.2111	ECM Regulators
FGF16	10.421399999999998	Secreted Factors
PRG3	2.4318999999999997	Proteoglycans
IL9	4.8225	Secreted Factors
ADAMTS3	2.2575000000000003	ECM Regulators
KY	2.783	ECM Regulators
