name	prize	Category
CEBPA	4.73995	TF
CTNNB1	2.89025	TF
DNMT1	2.743333333333333	TF
ERG	4.023575	TF
ETS1	3.805728571428572	TF
ETS2	4.796566666666667	TF
ETV4	5.32	TF
EZH2	2.995033333333333	TF
FLI1	4.4927	TF
FOS	3.6425	TF
FOXO1	4.098000000000001	TF
GATA1	2.9266	TF
GLI1	4.585233333333333	TF
GLI2	5.8872	TF
HDAC1	4.3473	TF
HDAC5	2.80445	TF
HIF1A	2.8171285714285714	TF
HOXB7	2.68355	TF
ING4	4.200866666666666	TF
JUN	3.7842111111111114	TF
LEF1	3.16775	TF
MYB	3.6588333333333334	TF
NFIC	3.6864500000000002	TF
NFIL3	3.1681333333333335	TF
NFKB1	4.251664285714286	TF
NFKBIA	5.546850000000001	TF
POU5F1	5.294449999999999	TF
RARA	6.078799999999999	TF
RELA	4.538542857142857	TF
RUNX2	3.1135	TF
SMAD3	3.052	TF
SOX2	3.1222499999999997	TF
SP1	3.7211521739130435	TF
SP3	3.5266166666666665	TF
STAT3	3.277591666666667	TF
TBP	4.818350000000001	TF
TCF4	2.92795	TF
TFCP2	4.632599999999999	TF
WT1	2.7996000000000003	TF
ZFP36	3.69435	TF
IL16	5.7105	Secreted Factors
SPP1	5.6899	ECM Glycoproteins
FGA	3.2373	ECM Glycoproteins
ANXA2	3.9286	ECM-affiliated Proteins
HCFC1	2.4835	Secreted Factors
MFAP1	3.5035999999999996	ECM Glycoproteins
SPARCL1	4.3212	ECM Glycoproteins
ANXA1	5.2905999999999995	ECM-affiliated Proteins
PLG	5.9069	ECM Regulators
ANXA6	4.246700000000001	ECM-affiliated Proteins
COL17A1	4.5874999999999995	Collagens
SERPINA1	3.4208999999999996	ECM Regulators
ANXA5	3.3005	ECM-affiliated Proteins
KNG1	2.9359	ECM Regulators
LTBP2	2.453	ECM Glycoproteins
ADAM17	2.9103	ECM Regulators
VCAN	4.346	Proteoglycans
HSPG2	2.0494	Proteoglycans
IGFBP3	2.6783	ECM Glycoproteins
ELFN2	5.9658	ECM-affiliated Proteins
FBLN2	2.3649	ECM Glycoproteins
COL6A3	2.2397	Collagens
TGM2	3.7208	ECM Regulators
THBS2	3.4997	ECM Glycoproteins
MUC1	4.1755	ECM-affiliated Proteins
VTN	2.5	ECM Glycoproteins
S100A11	5.381	Secreted Factors
SERPINC1	2.9651	ECM Regulators
SERPINA10	2.4928	ECM Regulators
EGLN1	5.543699999999999	ECM Regulators
FBLN1	4.7623999999999995	ECM Glycoproteins
ANXA3	3.415	ECM-affiliated Proteins
IGFBP5	2.204	ECM Glycoproteins
F13A1	2.8169	ECM Regulators
TNXB	3.5179	ECM Glycoproteins
PRG4	3.6661	Proteoglycans
FGG	2.6834	ECM Glycoproteins
EMCN	4.9808	ECM-affiliated Proteins
MFGE8	2.3884	ECM Glycoproteins
ADAMTSL3	4.1462	ECM Regulators
MUC21	2.1809000000000003	ECM-affiliated Proteins
PLXNC1	3.0347	ECM-affiliated Proteins
FGB	2.2598	ECM Glycoproteins
POSTN	2.3085	ECM Glycoproteins
SEMA4F	3.24	ECM-affiliated Proteins
SFTA2	2.4299999999999997	ECM-affiliated Proteins
AEBP1	2.3238000000000003	ECM Glycoproteins
S100A6	9.4497	Secreted Factors
LAMB2	2.3510999999999997	ECM Glycoproteins
F9	2.8011999999999997	ECM Regulators
PRELP	3.8021	Proteoglycans
WISP2	3.6154	ECM Glycoproteins
S100A4	2.802	Secreted Factors
SDC1	2.7426	ECM-affiliated Proteins
CHRDL1	2.4466	Secreted Factors
CLC	2.0359	ECM-affiliated Proteins
PAPPA	2.3321	ECM Regulators
SDC2	6.1229	ECM-affiliated Proteins
LAMC1	3.0225	ECM Glycoproteins
TECTA	4.8823	ECM Glycoproteins
PPBP	3.8111	Secreted Factors
FNDC7	2.2892	ECM Glycoproteins
ANXA7	4.1698	ECM-affiliated Proteins
IGFBP1	3.0706	ECM Glycoproteins
SPAM1	2.8423000000000003	ECM Regulators
PRG3	6.4099	Proteoglycans
ANGPTL7	3.8463	Secreted Factors
