dc_pair,d,z,mean,sd
DB01489_poorest,1.8333333333333333,-0.27436143726261514,1.8729166666666666,0.14427440579211087
DB01489_richest,1.9166666666666667,-0.004859711298231032,1.9173333333333336,0.13718236038208412
DB01489_rich,2.0,0.7640991583993537,1.8904166666666666,0.14341506874957194
DB01954_poor,1.75,0.45921100871308934,1.636,0.2482518882103417
DB01954_poorest,1.75,0.40684664133503096,1.65025,0.24517837894072145
DB01954_richest,1.75,0.1579270693836343,1.71225,0.23903438560173723
DB01954_rich,1.75,0.3391926917021917,1.6685,0.24027640333582487
DB01955_poor,1.5,-0.2691132011873193,1.5855,0.3177101666613771
DB01955_poorest,2.0,1.2449137506989456,1.604,0.31809432563313667
DB01955_richest,1.5,-0.41280293900168374,1.6385,0.33551117716105977
DB01955_rich,1.5,-0.34860625803221973,1.618,0.33849076796864047
DB01956_poor,1.7333333333333334,-0.15963581645556182,1.7537333333333336,0.1277908708267796
DB01956_poorest,1.7333333333333334,-0.2796193768732698,1.7690000000000003,0.12755434571629112
DB01956_richest,1.8,-0.0901251032214685,1.811666666666667,0.12944968992709954
DB01956_rich,1.8666666666666667,0.59977172930517,1.7885333333333338,0.13027178427340963
DB04477_poor,2.0,0.08961475691540284,1.959,0.45751393421403025
DB04477_poorest,2.0,0.10952558278906405,1.946,0.49303549567957067
DB04477_richest,2.0,-0.00644021541535565,2.003,0.4658229277311283
DB04477_rich,2.0,0.04943425281696208,1.977,0.4652644409365495
DB01950_poor,1.0,0.3950561531755324,0.865,0.34172357249683555
DB01950_poorest,1.0,0.433224288859106,0.84,0.3693237062523877
DB01950_richest,1.0,0.3831305140884606,0.872,0.33408980828513757
DB01950_rich,1.0,0.362245385694578,0.884,0.32022492095400695
DB01483_poor,1.6666666666666667,-0.4058004538764657,1.731888888888889,0.16072486267370545
DB01483_poorest,1.6666666666666667,-0.4449816400082187,1.7391111111111113,0.16280322137135028
DB01483_richest,1.6666666666666667,-0.7704229560957105,1.7897777777777781,0.1597967845285975
DB01483_rich,1.8888888888888888,0.7405854129985316,1.7627777777777778,0.1702857076275699
DB04472_poor,1.0,-1.5107829846323582,1.726,0.4805455233378
DB04472_poorest,1.0,-1.5221273998358917,1.731,0.4802488938040357
DB04472_richest,1.0,-1.7863501761619482,1.794,0.44448172065901653
DB04472_rich,1.0,-1.7534242539852476,1.789,0.449976666061697
DB01481_poor,0.0,-2.4888239399998837,0.861,0.34594652765998396
DB01481_poorest,0.0,-2.334910922132639,0.847,0.3627547380807038
DB01481_richest,1.0,0.38141233891878223,0.873,0.33297297187609687
DB01481_rich,0.0,-2.6457513110645903,0.875,0.33071891388307384
DB08768_poor,1.0,0.4068183445976417,0.858,0.3490501396647765
DB08768_poorest,1.0,0.433224288859106,0.84,0.3693237062523877
DB08768_richest,1.0,0.3551424026022887,0.888,0.31536645351083237
DB08768_rich,1.0,0.3762346494084844,0.876,0.3295815528818322
DB08765_poor,1.0,-0.7891317029940356,1.2295,0.29082597889459605
DB08765_poorest,1.0,-0.7735511527612706,1.2275,0.2940981978863522
DB08765_richest,1.5,0.6385108501225966,1.303,0.30853038748233536
DB08765_rich,1.5,0.7355206569757013,1.2825,0.2957088940157195
DB08766_poor,1.0,-0.6355715852811656,1.31,0.48774993593028787
DB08766_poorest,2.0,1.3352645259872384,1.318,0.5107602177147317
DB08766_richest,1.0,-0.8004858537685268,1.415,0.5184351454135802
DB08766_rich,1.0,-0.6571952235690681,1.339,0.5158284598585076
DB08760_poor,0.0,-4.27047546781208,0.952,0.22292599668948437
DB08760_poorest,1.0,0.21453462331873271,0.956,0.20509509989270833
DB08760_richest,0.0,-4.322647030098517,0.963,0.22278016069659343
DB08760_rich,0.0,-4.27262836530052,0.956,0.22374986033515196
DB08762_poor,2.0,-0.26222904668436214,2.141,0.537697870555575
DB08762_poorest,2.0,-0.26342943879083375,2.147,0.5580241930239226
DB08762_richest,2.0,-0.3434669406054534,2.193,0.5619172536948835
DB08762_rich,2.0,-0.3138101000073746,2.172,0.5481021802547404
DB08763_poor,1.0,-0.8391820719466606,1.455,0.5421946145066364
DB08763_poorest,1.0,-0.8207048061419557,1.434,0.5288137668404634
DB08763_richest,1.0,-1.1018421763917055,1.562,0.5100548990059796
DB08763_rich,1.0,-1.0226327033349816,1.521,0.509469331756093
DB00579_poor,2.0,1.4972671776055,1.6355,0.24344352527845137
DB00579_poorest,1.75,0.4532523724045554,1.63475,0.2542733519266225
DB00579_richest,2.0,1.2880201877703925,1.69825,0.234274278357655
DB00579_rich,1.75,0.3527646819184858,1.6675,0.233866949353687
DB06908_poor,0.0,-5.193504128003249,0.9635,0.18552021453200188
DB06908_poorest,0.5,-2.7762173689335476,0.969,0.16893489870361303
DB06908_richest,0.0,-5.440826540161158,0.985,0.18103866990231673
DB06908_rich,0.0,-5.193853811985575,0.9665,0.1860853298892742
DB06909_poor,2.0,0.672535653030962,1.661,0.5040624961252325
DB06909_poorest,2.0,0.6740877900089146,1.676,0.4806495604908009
DB06909_richest,2.0,0.5899919379755888,1.713,0.4864473250003539
DB06909_rich,2.0,0.6787929387268793,1.673,0.4817374803770203
DB00571_poor,1.6,0.6050668991785437,1.4758,0.2052665584063805
DB00571_poorest,1.6,0.6338562794350396,1.4708,0.2038316952782369
DB00571_richest,1.6,0.323740030863009,1.5342000000000002,0.20324950184440801
DB00571_rich,1.6,0.4948079855670868,1.4966,0.208969949992816
DB00570_poor,1.1666666666666667,-0.40340091141317563,1.2266666666666668,0.14873541011548733
DB00570_poorest,1.1666666666666667,-0.4039826341881037,1.227,0.14934635359905285
DB00570_richest,1.1666666666666667,-0.6973098989151209,1.265,0.14101812334275016
DB00570_rich,1.1666666666666667,-0.5658426252926771,1.2466666666666666,0.14138206706965661
DB00573_poor,0.75,-2.374028538503237,1.237,0.20513653989477348
DB00573_poorest,1.25,-0.008636376181622786,1.25175,0.20263128460334057
DB00573_richest,0.75,-2.756185546463168,1.2895,0.1957415387698789
DB00573_rich,0.75,-2.4972600197230763,1.2775,0.21123150806638674
DB00572_poor,2.142857142857143,1.960511344888938,1.769857142857143,0.190256486386785
DB00572_poorest,2.0,1.2332989898736628,1.7812857142857146,0.17734084557767307
DB00572_richest,1.5714285714285714,-1.5384494008415612,1.8392857142857142,0.17410851647809789
DB00572_rich,2.142857142857143,1.902480793231034,1.8104285714285715,0.17473425887469748
DB00575_poor,1.8333333333333333,1.3496771810462054,1.5685,0.19621976058604404
DB00575_poorest,1.8333333333333333,1.1912093632632847,1.5868333333333335,0.2069325574512946
DB00575_richest,1.6666666666666667,0.12617556676759145,1.6415,0.19945752819975374
DB00575_rich,1.8333333333333333,1.1085916199688306,1.6041666666666667,0.2067187434387334
DB00574_poor,1.7142857142857142,0.416107292944342,1.634,0.19294474201021325
DB00574_poorest,1.7142857142857142,0.4004150040003871,1.640857142857143,0.1833811687748349
DB00574_richest,2.0,1.6255184604821673,1.7012857142857145,0.18376554494845893
DB00574_rich,2.0,1.75692491392308,1.666857142857143,0.1896170146503155
DB06900_poor,2.0,-0.27618292121173177,2.152,0.5503598822588724
DB06900_poorest,2.0,-0.2658512977867018,2.152,0.571748196324221
DB06900_richest,2.0,-0.37482075996745484,2.21,0.5602677931132576
DB06900_rich,2.0,-0.3243408183144365,2.182,0.5611381291625084
DB03889_poor,2.0,0.44067042669057743,1.81,0.431161222746202
DB03889_poorest,2.0,0.4128172396300761,1.819,0.4384506813770506
DB03889_richest,2.0,0.3776533981976433,1.842,0.4183730392843209
DB03889_rich,2.0,0.39552686175110185,1.838,0.4095802729624561
DB03880_poor,2.0,0.7267710958461943,1.8412000000000002,0.2185007093809995
DB03880_poorest,2.0,0.7279608556091933,1.8350000000000002,0.22666053913286274
DB03880_richest,2.0,0.5809441687217125,1.8810000000000002,0.20483896113776795
DB03880_rich,2.0,0.6328025027944472,1.8606000000000003,0.2202898999046484
DB03881_poor,1.0,-0.30545177193526696,1.127,0.4157775847733977
DB03881_poorest,1.0,-0.32105506910301207,1.145,0.45163591531232317
DB03881_richest,1.0,-0.4390903716003181,1.199,0.4532096645041895
DB03881_rich,1.0,-0.3902893822376937,1.177,0.4535096470859247
DB03882_poor,1.0,0.3156432956204319,0.902,0.3104770522921138
DB03882_poorest,1.0,0.28355248200333427,0.92,0.28213471959331765
DB03882_richest,1.0,0.20183979061274004,0.943,0.28240219545888806
DB03882_rich,1.0,0.2257518692027297,0.943,0.25248960374637214
DB03884_poor,2.0,-0.27618292121173177,2.152,0.5503598822588724
DB03884_poorest,2.0,-0.2681360670788856,2.153,0.5706058184070681
DB03884_richest,3.0,1.4100400017823305,2.21,0.5602677931132576
DB03884_rich,2.0,-0.3243408183144365,2.182,0.5611381291625084
DB03886_poor,1.6666666666666667,0.7157113829645942,1.4513333333333336,0.30086615702741387
DB03886_poorest,1.6666666666666667,0.7416533429301869,1.4483333333333335,0.29438731101881566
DB03886_richest,1.6666666666666667,0.4633605707227226,1.5266666666666666,0.30214051182999097
DB03886_rich,1.6666666666666667,0.5684045285899648,1.4993333333333334,0.29439127402527104
DB04218_poor,1.0,-0.9750717742909013,1.501,0.5138083300220034
DB04218_poorest,1.0,-1.0049711575499016,1.518,0.5154376780950342
DB04218_richest,1.0,-1.1234759048273342,1.581,0.517145047351321
DB04218_rich,1.0,-1.0972098846272618,1.558,0.5085626805026103
DB04213_poor,2.0,0.4175955252945161,1.816,0.44061774816727484
DB04213_poorest,2.0,0.42610306658305347,1.804,0.4599826083668816
DB04213_richest,2.0,0.39254994322117087,1.829,0.435613360676644
DB04213_rich,2.0,0.3814814844828526,1.841,0.4167961132256394
DB04214_poor,1.5,0.9826567011078142,1.2045,0.30071539701185906
DB04214_poorest,1.5,0.9034903201984337,1.214,0.3165501540040693
DB04214_richest,1.5,0.6332744690500484,1.2835,0.34187388025410775
DB04214_rich,1.5,0.8002908159387021,1.228,0.33987644813961443
DB04215_poor,1.0,-0.8391820719466606,1.455,0.5421946145066364
DB04215_poorest,1.0,-0.8207048061419557,1.434,0.5288137668404634
DB04215_richest,1.0,-1.1018421763917055,1.562,0.5100548990059796
DB04215_rich,1.0,-1.0226327033349816,1.521,0.509469331756093
DB04217_poor,2.0,0.7913634103593885,1.609,0.4940840009553031
DB04217_poorest,2.0,0.7966439485708554,1.602,0.49959583665198815
DB04217_richest,2.0,0.647933380465036,1.682,0.49079119796508164
DB04217_rich,2.0,0.7954675974272004,1.588,0.5179343587753181
DB00683_poor,1.8461538461538463,0.12912383855324436,1.8278461538461543,0.14178398437359588
DB00683_poorest,1.8461538461538463,0.09046829962805696,1.833769230769231,0.13689453029991924
DB00683_richest,1.9230769230769231,0.3030903268889362,1.882538461538462,0.13375042996115155
DB00683_rich,2.0,1.0659733566394467,1.8518461538461544,0.13898456770149556
DB00682_poor,1.0,-0.1607735742116283,1.04,0.24879710609249459
DB00682_poorest,1.0,-0.09827575554332363,1.0245,0.2492985158399464
DB00682_richest,1.0,-0.2945606809155881,1.0825,0.28007811410390493
DB00682_rich,1.0,-0.2560083489829712,1.0655,0.2558510308753904
DB00680_poor,1.0,-0.3061390476888078,1.156,0.5095723697376066
DB00680_poorest,1.0,-0.3320618313371028,1.161,0.4848494611732594
DB00680_richest,2.0,1.5665986829772474,1.188,0.5183203642536148
DB00680_rich,2.0,1.6196129491395916,1.179,0.506911234833082
DB00687_poor,0.5,-1.8502821852093818,1.0225,0.2823893588646711
DB00687_poorest,0.5,-1.8725118009239106,1.0115,0.27316249742598275
DB00687_richest,0.5,-2.0144816995425905,1.0765,0.2861778293299465
DB00687_rich,0.5,-1.9272563942612448,1.0545,0.2877147024397606
DB00686_poor,1.3333333333333333,-0.3692958823133937,1.4323333333333335,0.2680777250475442
DB00686_poorest,1.6666666666666667,0.8704598794660732,1.4293333333333336,0.2726528113839202
DB00686_richest,1.6666666666666667,0.5419117723033874,1.5146666666666666,0.28048846282472617
DB00686_rich,1.3333333333333333,-0.47430330223720063,1.4643333333333335,0.27619457714525186
DB00685_poor,1.0,-0.10516837870543844,1.019,0.18066266908246426
DB00685_poorest,1.0,-0.14471266882288317,1.029,0.20039710576752348
DB00685_richest,1.0,-0.2526455763199559,1.06,0.23748684174075838
DB00685_rich,1.0,-0.20676766567910382,1.041,0.198290191386261
DB00688_poor,1.6666666666666667,1.127509803208582,1.3723333333333332,0.26104724987378564
DB00688_poorest,1.6666666666666667,1.06818025427707,1.3866666666666667,0.2621280433511667
DB00688_richest,1.6666666666666667,0.9855118387834789,1.4146666666666665,0.255704690783898
DB00688_rich,1.6666666666666667,1.0114952938123958,1.3956666666666668,0.267920178826124
DB08424_poor,1.0,0.27687720757577233,0.925,0.27087820141163077
DB08424_poorest,1.0,0.2458564358778642,0.943,0.23184261903282585
DB08424_richest,1.0,0.1858592621111683,0.963,0.1990753626142622
DB08424_rich,1.0,0.23908057580332814,0.944,0.23423065555131767
DB08423_poor,1.0,0.27687720757577233,0.925,0.27087820141163077
DB08423_poorest,1.0,0.2458564358778642,0.943,0.23184261903282585
DB08423_richest,1.0,0.1858592621111683,0.963,0.1990753626142622
DB08423_rich,1.0,0.23908057580332814,0.944,0.23423065555131767
DB13074_poor,3.0,2.291610435951066,1.957,0.45513844047718055
DB13074_poorest,3.0,2.15362190292551,1.945,0.4898724323739804
DB13074_richest,3.0,2.157385291397491,2.002,0.4625970168516005
DB13074_rich,3.0,2.1987495926848872,1.977,0.4652644409365495
DB02132_poor,2.0,1.313934512407103,1.355,0.4908920451586071
DB02132_poorest,2.0,1.2961174627082133,1.35,0.5014977567247934
DB02132_richest,2.0,1.0966508887545605,1.454,0.4978795034945705
DB02132_rich,2.0,1.180379427084134,1.408,0.5015336479240451
DB07747_poor,2.0,0.0700526428878466,1.967,0.4710743041177262
DB07747_poorest,2.0,0.08481889296799718,1.96,0.4715930449020638
DB07747_richest,2.0,-0.03832962746781181,2.017,0.4435211381659278
DB07747_rich,2.0,0.02813956819601118,1.988,0.42644577615448365
DB07746_poor,1.0,-0.8420535748662278,1.434,0.5154066355801019
DB07746_poorest,1.0,-0.8424061376611294,1.421,0.4997589418909881
DB07746_richest,2.0,0.957166476988543,1.49,0.5328226721902888
DB07746_rich,1.0,-0.8542293753486158,1.441,0.5162547820601762
DB07744_poor,1.0,-0.09520436950481002,1.032,0.3361190265367315
DB07744_poorest,1.0,-0.06682235986001923,1.023,0.34419616499897265
DB07744_richest,1.0,-0.27859644985883564,1.106,0.3804786459185324
DB07744_rich,1.0,-0.13583145623104043,1.05,0.36810324638611924
DB07742_poor,1.0,-0.7245887858054555,1.354,0.48855296539883986
DB07742_poorest,1.0,-0.6920034566431543,1.348,0.502887661411572
DB07742_richest,2.0,1.0988655599134032,1.453,0.49778609864077156
DB07742_rich,2.0,1.2407837576258873,1.382,0.498072283910679
DB07741_poor,0.0,-2.720345848684696,1.333,0.4900112243612384
DB07741_poorest,0.0,-2.7560316106259974,1.37,0.49709154086546276
DB07741_richest,0.0,-2.819033988210081,1.429,0.506911234833082
DB07741_rich,0.0,-2.746109822827242,1.372,0.499615852430645
DB07740_poor,2.0,0.9731236802019037,1.5,0.5138093031466052
DB07740_poorest,2.0,0.9313806308475994,1.52,0.5153639490690051
DB07740_richest,2.0,0.8065097246675841,1.585,0.5145629213225531
DB07740_rich,2.0,0.8851666325242017,1.549,0.5095085867774948
DB13310_poor,1.0,0.547174944163845,0.873,0.23210127100039757
DB13310_poorest,0.5,-1.6782814318680288,0.8825,0.2279117153636469
DB13310_richest,1.0,0.3935141244651573,0.9155,0.21473180947405066
DB13310_rich,1.0,0.4263353818011519,0.911,0.20875583824171243
DB07749_poor,1.0,-1.8028518586082591,1.801,0.44429607245619446
DB07749_poorest,1.0,-1.821818827492511,1.812,0.44570842486989176
DB07749_richest,1.0,-1.9789262932654954,1.842,0.42548325466462245
DB07749_rich,1.0,-2.033908690519424,1.838,0.4120145628494216
DB03081_poor,1.0,-0.8391820719466606,1.455,0.5421946145066364
DB03081_poorest,1.0,-0.8207048061419557,1.434,0.5288137668404634
DB03081_richest,1.0,-1.1018421763917055,1.562,0.5100548990059796
