poorest,poor,rich,richest
IGFBP3,EIF1B,IGFBP3,TLR2
MAZ,ANXA2,MAZ,DMBT1
ANXA7,ELF3,ANXA7,TWIST1
PDGFB,ELK1,EMCN,PRELP
ADAM17,RB1,ADAM17,FOS
S100B,DLG4,S100B,SP3
LAMA4,S100P,CIITA,ANXA1
CIITA,MET,GRB2,HDAC1
GRB2,GLI2,TCF4,SRF
HIF1A,XBP1,CDH1,IGF1
MFGE8,IGFBP3,HIF1A,FBN1
STAT3,MAZ,STAT3,MAD1L1
POLH,ANXA7,TFAP2A,SERPINA10
HGF,ADAM17,KNG1,HDAC3
KNG1,S100B,ADAM12,CTNND1
ADAM12,LAMA4,ETV4,EGLN1
ETV4,CIITA,TLR2,EGR1
CEBPD,GRB2,DMBT1,PPARA
DMBT1,CDH1,TWIST1,NCOA1
NOTCH2NL,HIF1A,NR0B1,UHRF1
TWIST1,TCF4,FOS,PLAT
PRELP,STAT3,SP3,TBP
FOS,TP63,ABL1,TWIST2
SP3,POLH,ANXA1,KDR
ABL1,HGF,SPOCK2,IGF2
ANXA1,KNG1,HDAC1,CD1A
TFCP2,ADAM12,SRF,LDOC1
TGFBI,ETV4,CTF1,EP300
HDAC1,CEBPD,IRF9,COL1A1
SRF,DMBT1,IGF1,MUC5AC
ATP5C1,NOTCH2NL,FBN1,CEBPZ
ANXA5,TWIST1,MAD1L1,ANGPTL2
IRF9,PRELP,SERPINA10,STAT1
SERPIND1,SP3,CRLF1,S100A6
FBN1,FOS,HDAC3,VDR
MAD1L1,ABL1,CTNND1,F2
CRLF1,ANXA1,EGLN1,REL
SERPINA10,ANXA5,EGR1,PPP1CA
HDAC3,SPOCK2,PPARA,HSPG2
CTNND1,HDAC1,IL9,FOXO1
EGLN1,SRF,NCOA1,S100A8
EGR1,SERPIND1,UHRF1,SDC2
NCOA1,IRF9,IL9R,APPBP2
UHRF1,IGF1,TBP,CREBBP
SUFU,FYN,TWIST2,SPI1
TBP,FBN1,KDR,CXCR2
TWIST2,MAD1L1,SOX9,JUND
KDR,SERPINA10,CD1A,RARA
NR4A1,HDAC3,LDOC1,SEMA4B
SOX9,CTNND1,EP300,SELL
CD1A,EGLN1,CEBPZ,CREBZF
LDOC1,PPARA,ANGPTL2,FSTL1
VWA1,EGR1,STAT1,IGFBP5
F13A1,NCOA1,S100A6,PDIA3
EP300,UHRF1,VDR,PPP1R13L
SKIL,SUFU,F2,STAT2
LGALS1,TBP,COMMD1,LILRB2
STAT1,TWIST2,NKX2-1,KLF4
S100A6,KDR,REL,JUNB
VDR,CD1A,HSPG2,CDC20
F2,LDOC1,FOXO1,CBFB
KRTAP10-8,F13A1,SDC2,SERPINB6
COMMD1,EP300,CREBBP,DNMT3A
PPP1R12C,NRG1,SPI1,FOSL1
HSPG2,LGALS1,JUND,COL3A1
PPP1CA,MUC5AC,RARA,IRF1
REL,ANGPTL2,SEMA4B,FOXA2
FOXO1,STAT1,WT1,RUNX3
S100A8,S100A6,COL6A3,DNMT3L
SDC2,VDR,SELL,IL16
CREBBP,F2,GATA1,POU5F1
SPI1,KRTAP10-8,IGFBP5,PRG4
JUND,COMMD1,CREBZF,MFAP1
RARA,PPP1R12C,PDIA3,VWA5A
SEMA4B,REL,HRNR,ZFP36
WT1,HSPG2,PPP1R13L,BMP4
COL6A3,PPP1CA,STAT2,PPBP
GATA1,FOXO1,LILRB2,TNC
IGFBP5,S100A8,KLF4,FGA
PDIA3,SDC2,GATA4,NFKBIA
CUL9,CREBBP,JUNB,CEBPB
PPP1R13L,SPI1,CDC20,HDAC2
STAT2,JUND,CBFB,PRKCD
REV1,RARA,SERPINB6,CDH5
KLF4,SEMA4B,DNMT3A,PAX5
GATA4,WT1,FOSL1,PPARG
CDC20,COL6A3,TNXB,JUN
CBFB,SELL,COL3A1,TP53
DNMT3A,GATA1,IRF1,MXRA5
FOSL1,CREBZF,GREM1,PAPPA
TNXB,IGFBP5,PLXNC1,PCOLCE
ESR1,PDIA3,RUNX3,SERPINH1
IRF1,HRNR,DNMT3L,SIRT1
PLXNC1,CUL9,IL16,LTBP1
DNMT3L,STAT2,POU5F1,ERG
IL16,PPP1R13L,PRG4,RUNX1
NR4A2,REV1,MFAP1,EGFR
POU5F1,LILRB2,VWA5A,DNMT1
PRG4,KLF4,HDAC5,PLG
MFAP1,GATA4,GATA6,ITIH4
VWA5A,JUNB,ZFP36,MAD2L2
HDAC5,CDC20,AR,COL20A1
ZFP36,CBFB,TNC,NFIC
AR,DNMT3A,FGA,STAT6
TNC,FOSL1,NFKBIA,SERPINA1
FGA,TNXB,LIFR,RXRA
NFKBIA,COL3A1,CLCF1,ADAM9
LIFR,IRF1,USF1,RELA
SPOCK2,FOXA2,CEBPB,CEBPA
CLCF1,PLXNC1,HDAC2,SKI
CEBPB,DNMT3L,CDH5,HOXB7
PARP1,IL16,NID1,CDK6
PRKCD,ANXA6,PLXNB1,S100A9
HDAC2,POU5F1,PAX5,HOXA10
PLXNB1,PRG4,PPARG,FBLN1
JUN,ERBB3,JUN,PARP2
TP53,MFAP1,TP53,TFCP2
MXRA5,VWA5A,MXRA5,LEF1
CD7,HDAC5,PAPPA,NA
MEF2A,GATA6,BATF,NA
PCOLCE,ZFP36,PCOLCE,NA
PAPPA,BMP4,SERPINH1,NA
ADAMTSL3,AR,SIRT1,NA
SERPINH1,TNC,BMPR1A,NA
PTTG1,FGA,LTBP1,NA
LTBP1,NFKBIA,ERG,NA
ERG,USF1,RUNX1,NA
RUNX1,SEMA4C,EGFR,NA
EGFR,CEBPB,DNMT1,NA
DNMT1,HDAC2,PLG,NA
PLG,PRKCD,ITIH4,NA
ITIH4,CDH5,NFIC,NA
MAD2L2,PLXNB1,STAT6,NA
NFIC,PPARG,ITGA4,NA
STAT6,TP53,SERPINA1,NA
SERPINA1,JUN,RXRA,NA
RXRA,MXRA5,HIST1H3D,NA
ADAM9,MEF2A,RELA,NA
HIST1H3D,PAPPA,CEBPA,NA
RELA,PCOLCE,CDK6,NA
CEBPA,BATF,SKI,NA
CDK6,SERPINH1,HOXB7,NA
SKI,SIRT1,S100A9,NA
HOXB7,ADAMTSL3,ADAM28,NA
S100A9,LTBP1,HOXA10,NA
FBLN1,ERG,SMOC1,NA
PARP2,RUNX1,FBLN1,NA
ETS1,EGFR,NR5A1,NA
NA,MAD2L2,TFCP2,NA
NA,DNMT1,LEF1,NA
NA,PLG,NA,NA
NA,ITIH4,NA,NA
NA,COL20A1,NA,NA
NA,NFIC,NA,NA
NA,STAT6,NA,NA
NA,SERPINA1,NA,NA
NA,RXRA,NA,NA
NA,ADAM9,NA,NA
NA,HIST1H3D,NA,NA
NA,RELA,NA,NA
NA,MAF,NA,NA
NA,CEBPA,NA,NA
NA,CDK6,NA,NA
NA,HOXB7,NA,NA
NA,SKI,NA,NA
NA,S100A9,NA,NA
NA,HOXA10,NA,NA
NA,PARP2,NA,NA
NA,TFCP2,NA,NA
NA,LEF1,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
